timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-07-02,35.0,36.89,29.11,29.7,29.7,8507583,0.0,1.0
2020-07-06,31.0,31.179,28.68,30.0,30.0,1782569,0.0,1.0
2020-07-07,30.3,30.85,29.44,30.15,30.15,852073,0.0,1.0
2020-07-08,30.25,34.57,30.08,34.31,34.31,1392835,0.0,1.0
2020-07-09,33.96,35.5,32.94,34.0,34.0,1856673,0.0,1.0
2020-07-10,33.75,35.33,33.07,34.9,34.9,488193,0.0,1.0
2020-07-13,35.36,35.97,32.72,32.99,32.99,544929,0.0,1.0
2020-07-14,32.99,32.99,30.32,31.54,31.54,855612,0.0,1.0
2020-07-15,32.0,32.49,31.1,32.41,32.41,569305,0.0,1.0
2020-07-16,32.01,32.47,31.33,32.21,32.21,422960,0.0,1.0
2020-07-17,31.97,33.84,31.22,33.62,33.62,262800,0.0,1.0
2020-07-20,33.97,33.97,31.97,32.72,32.72,161606,0.0,1.0
2020-07-21,32.52,33.64,32.0,32.28,32.28,187474,0.0,1.0
2020-07-22,31.91,32.49,31.4765,32.21,32.21,199497,0.0,1.0
2020-07-23,31.89,33.441,31.7,32.54,32.54,163361,0.0,1.0
2020-07-24,32.01,33.29,31.71,32.94,32.94,188293,0.0,1.0
2020-07-27,33.5,35.39,32.94,35.19,35.19,370593,0.0,1.0
2020-07-28,35.3,35.3018,33.2001,33.67,33.67,103535,0.0,1.0
2020-07-29,33.73,36.72,33.45,35.5,35.5,169096,0.0,1.0
2020-07-30,35.49,35.637,32.69,33.69,33.69,148720,0.0,1.0
2020-07-31,33.66,34.4461,32.013,32.44,32.44,134548,0.0,1.0
2020-08-03,32.57,33.86,32.35,33.03,33.03,112990,0.0,1.0
2020-08-04,32.78,35.8465,32.45,34.58,34.58,207343,0.0,1.0
2020-08-05,34.61,38.7,34.61,37.97,37.97,328997,0.0,1.0
2020-08-06,37.97,42.2,37.97,41.34,41.34,545206,0.0,1.0
2020-08-07,41.4,41.8,36.905,37.0,37.0,279780,0.0,1.0
2020-08-10,37.2,38.48,37.2,37.52,37.52,140801,0.0,1.0
2020-08-11,37.3,38.2885,34.52,36.15,36.15,221437,0.0,1.0
2020-08-12,36.57,38.0,36.23,37.63,37.63,105273,0.0,1.0
2020-08-13,37.15,37.6668,36.55,37.27,37.27,117839,0.0,1.0
2020-08-14,38.0,39.0,34.92,36.81,36.81,307008,0.0,1.0
2020-08-17,36.95,38.99,36.45,37.9,37.9,190957,0.0,1.0
2020-08-18,38.09,39.64,37.44,37.48,37.48,397076,0.0,1.0
2020-08-19,37.58,39.7499,37.58,38.74,38.74,137727,0.0,1.0
2020-08-20,38.66,40.6,38.0,39.97,39.97,172814,0.0,1.0
2020-08-21,39.85,40.85,39.21,39.69,39.69,161454,0.0,1.0
2020-08-24,40.2,41.7399,39.56,40.14,40.14,280473,0.0,1.0
2020-08-25,40.26,41.495,37.075,38.23,38.23,191112,0.0,1.0
2020-08-26,39.66,39.66,35.45,36.0,36.0,595666,0.0,1.0
2020-08-27,36.41,37.2105,35.25,35.28,35.28,424884,0.0,1.0
2020-08-28,35.66,35.85,32.73,34.47,34.47,313776,0.0,1.0
2020-08-31,34.47,34.68,32.2,33.61,33.61,318481,0.0,1.0
