timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-13,90.9,103.0,90.01,97.24,97.24,25158956,0.0,1.0
2021-01-14,103.5,137.98,101.0,114.94,114.94,20858687,0.0,1.0
2021-01-15,123.054,127.24,107.0,117.0,117.0,8310663,0.0,1.0
2021-01-19,117.0,117.675,108.0,110.99,110.99,3304914,0.0,1.0
2021-01-20,110.0,112.0,103.25,106.21,106.21,5091417,0.0,1.0
2021-01-21,107.1599,109.9,104.3,108.97,108.97,1735307,0.0,1.0
2021-01-22,107.19,121.0,107.19,119.95,119.95,4343451,0.0,1.0
2021-01-25,117.11,123.4489,108.0,112.7,112.7,2660045,0.0,1.0
2021-01-26,113.84,114.0,109.51,110.08,110.08,1287386,0.0,1.0
2021-01-27,105.74,108.9,100.8,105.29,105.29,2259264,0.0,1.0
2021-01-28,105.0,106.29,97.205,99.42,99.42,2097386,0.0,1.0
2021-01-29,100.0,104.5839,97.6,99.59,99.59,1836348,0.0,1.0
2021-02-01,100.0,107.65,99.6236,107.61,107.61,1266007,0.0,1.0
2021-02-02,110.0,118.8,110.0,113.0,113.0,1849380,0.0,1.0
2021-02-03,115.9513,115.99,109.1,110.95,110.95,1451665,0.0,1.0
2021-02-04,110.06,110.5,106.38,108.77,108.77,1695856,0.0,1.0
2021-02-05,108.83,109.413,101.25,103.45,103.45,2932280,0.0,1.0
2021-02-08,109.46,123.5,109.0,122.76,122.76,3428040,0.0,1.0
2021-02-09,121.49,144.9,117.04,131.0,131.0,4032074,0.0,1.0
2021-02-10,141.95,146.9,129.0,136.23,136.23,2338467,0.0,1.0
2021-02-11,140.0,140.5,131.16,139.99,139.99,2285556,0.0,1.0
2021-02-12,129.6397,131.67,123.01,125.89,125.89,4903543,0.0,1.0
2021-02-16,129.3,129.3,115.0,119.15,119.15,5642287,0.0,1.0
2021-02-17,116.63,117.5,110.8,112.53,112.53,2772134,0.0,1.0
2021-02-18,109.64,109.95,104.61,105.55,105.55,3589181,0.0,1.0
2021-02-19,110.29,110.75,105.0,105.99,105.99,2973935,0.0,1.0
2021-02-22,105.01,105.72,102.0,104.83,104.83,2948020,0.0,1.0
2021-02-23,99.26,102.35,91.1,102.01,102.01,4105234,0.0,1.0
2021-02-24,99.28,103.75,98.705,102.49,102.49,1894111,0.0,1.0
2021-02-25,99.93,101.0,90.0,94.195,94.195,5436066,0.0,1.0
2021-02-26,92.18,97.82,91.03,93.06,93.06,2565265,0.0,1.0
2021-03-01,95.5,96.35,90.81,91.44,91.44,2922364,0.0,1.0
2021-03-02,92.7,98.19,91.0,91.8,91.8,3733471,0.0,1.0
2021-03-03,91.65,92.38,83.93,86.31,86.31,6083902,0.0,1.0
2021-03-04,85.0,85.45,77.1,84.46,84.46,5611140,0.0,1.0
2021-03-05,82.825,83.04,70.05,81.14,81.14,5385269,0.0,1.0
2021-03-08,80.0841,80.25,72.95,74.31,74.31,3771904,0.0,1.0
2021-03-09,77.25,81.18,75.78,79.66,79.66,3712837,0.0,1.0
2021-03-10,82.705,85.19,78.3,80.76,80.76,2130933,0.0,1.0
2021-03-11,82.36,83.5,80.25,81.25,81.25,2228912,0.0,1.0
2021-03-12,78.0,80.075,76.01,79.57,79.57,2276793,0.0,1.0
2021-03-15,80.0,82.78,79.0001,81.35,81.35,1886730,0.0,1.0
2021-03-16,82.22,84.2,79.5,80.8,80.8,1609330,0.0,1.0
2021-03-17,78.99,81.34,76.77,81.09,81.09,1424660,0.0,1.0
2021-03-18,79.87,80.47,73.1,74.39,74.39,4233832,0.0,1.0
2021-03-19,74.1591,78.51,71.51,77.37,77.37,3185248,0.0,1.0
2021-03-22,77.81,83.46,77.81,81.99,81.99,2158026,0.0,1.0
2021-03-23,81.22,81.75,78.2,78.87,78.87,963814,0.0,1.0
2021-03-24,79.48,79.8,72.52,72.63,72.63,1554964,0.0,1.0
2021-03-25,70.62,71.3,67.72,69.56,69.56,2244422,0.0,1.0
2021-03-26,70.0,72.37,67.02,69.72,69.72,1474147,0.0,1.0
2021-03-29,69.72,73.92,68.67,69.99,69.99,1984354,0.0,1.0
2021-03-30,69.687,69.7414,65.77,66.39,66.39,2254727,0.0,1.0
2021-03-31,67.7135,71.2,65.65,70.72,70.72,2295961,0.0,1.0
2021-04-01,73.0,74.97,70.37,71.45,71.45,1660959,0.0,1.0
2021-04-05,71.74,72.4079,68.4,69.39,69.39,1154770,0.0,1.0
2021-04-06,70.37,73.5,69.7,73.0,73.0,1909061,0.0,1.0
2021-04-07,72.731,72.731,69.75,71.5,71.5,1264480,0.0,1.0
2021-04-08,72.77,72.9,68.97,69.81,69.81,1091174,0.0,1.0
2021-04-09,69.43,71.2,68.38,70.71,70.71,1070750,0.0,1.0
2021-04-12,71.43,71.47,66.73,67.93,67.93,1890903,0.0,1.0
2021-04-13,67.99,70.1799,65.31,70.11,70.11,2493434,0.0,1.0
2021-04-14,70.18,72.2,68.63,68.73,68.73,1540554,0.0,1.0
2021-04-15,70.35,70.59,67.48,68.67,68.67,1222597,0.0,1.0
2021-04-16,70.0,70.14,67.18,69.72,69.72,1315317,0.0,1.0
2021-04-19,68.5,69.56,65.16,66.02,66.02,1948254,0.0,1.0
2021-04-20,65.41,67.1899,63.0236,65.0,65.0,1855187,0.0,1.0
2021-04-21,64.47,67.64,63.79,67.55,67.55,1160386,0.0,1.0
2021-04-22,67.73,70.37,67.1,68.62,68.62,1309765,0.0,1.0
2021-04-23,68.65,74.6,68.65,74.12,74.12,2681627,0.0,1.0
2021-04-26,74.5,78.76,73.7,77.97,77.97,2272911,0.0,1.0
2021-04-27,78.19,78.35,74.72,76.37,76.37,959068,0.0,1.0
2021-04-28,75.31,77.7078,75.31,77.21,77.21,1145135,0.0,1.0
2021-04-29,78.89,79.3,72.8,74.02,74.02,1886821,0.0,1.0
2021-04-30,72.63,74.295,70.23,70.5,70.5,1764870,0.0,1.0
2021-05-03,71.7,71.75,66.31,66.78,66.78,1533978,0.0,1.0
2021-05-04,65.77,66.0,60.13,62.17,62.17,4054431,0.0,1.0
2021-05-05,62.86,63.7,55.85,57.6,57.6,4970437,0.0,1.0
2021-05-06,57.82,57.9098,52.48,54.44,54.44,3874799,0.0,1.0
2021-05-07,57.04,58.7018,53.78,54.0,54.0,3332294,0.0,1.0
2021-05-10,52.65,57.67,52.13,57.0,57.0,5777308,0.0,1.0
2021-05-11,49.88,55.9,46.5,55.45,55.45,7339251,0.0,1.0
2021-05-12,54.4444,54.55,48.63,49.82,49.82,5248209,0.0,1.0
2021-05-13,50.02,50.75,47.12,48.37,48.37,4045961,0.0,1.0
2021-05-14,49.38,54.61,49.06,54.0,54.0,3886591,0.0,1.0
2021-05-17,52.57,52.81,50.01,50.6,50.6,3853933,0.0,1.0
2021-05-18,50.86,53.27,50.23,51.64,51.64,2006633,0.0,1.0
2021-05-19,48.69,50.98,48.67,50.45,50.45,2545103,0.0,1.0
2021-05-20,51.16,56.79,51.11,54.89,54.89,4790069,0.0,1.0
2021-05-21,55.0,56.76,53.32,53.36,53.36,3175604,0.0,1.0
2021-05-24,52.9,53.34,50.88,53.15,53.15,6965006,0.0,1.0
2021-05-25,53.3,54.19,52.63,54.04,54.04,3716584,0.0,1.0
2021-05-26,54.32,57.56,52.61,57.0,57.0,4039454,0.0,1.0
2021-05-27,56.29,57.29,55.03,57.29,57.29,2565642,0.0,1.0
