timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,20.5,21.0,20.31,20.63,3.2183651666497,11564,0.0,1.25
1999-11-02,20.5,20.63,20.0,20.0,3.12008256582618,5004,0.0,1.0
1999-11-03,20.38,20.38,20.0,20.0,3.12008256582618,334,0.0,1.0
1999-11-04,20.0,20.0,20.0,20.0,3.12008256582618,3225,0.0,1.0
1999-11-05,20.0,20.5,20.0,20.25,3.159083597899,7506,0.0,1.0
1999-11-08,20.0,20.0,20.0,20.0,3.12008256582618,2391,0.0,1.0
1999-11-09,20.0,20.0,20.0,20.0,3.12008256582618,1557,0.0,1.0
1999-11-10,20.13,20.13,20.0,20.0,3.12008256582618,13176,0.0,1.0
1999-11-11,20.0,20.0,20.0,20.0,3.12008256582618,4893,0.0,1.0
1999-11-12,20.13,20.13,20.0,20.0,3.12008256582618,11564,0.0,1.0
1999-11-15,20.0,20.0,20.0,20.0,3.12008256582618,6060,0.0,1.0
1999-11-16,20.0,20.06,20.0,20.06,3.12944281352366,1557,0.0,1.0
1999-11-17,20.0,20.25,20.0,20.25,3.159083597899,890,0.0,1.0
1999-11-18,20.0,20.0,20.0,20.0,3.12008256582618,10230,0.0,1.0
1999-11-19,20.0,20.0,20.0,20.0,3.12008256582618,5059,0.0,1.0
1999-11-22,20.0,20.0,20.0,20.0,3.12008256582618,6227,0.0,1.0
1999-11-23,20.0,20.02,20.0,20.0,3.12008256582618,8840,0.0,1.0
1999-11-24,20.0,20.0,20.0,20.0,3.12008256582618,3725,0.0,1.0
1999-11-26,20.0,20.0,20.0,20.0,3.14972335020153,1779,0.19,1.0
1999-11-29,20.0,20.0,20.0,20.0,3.14972335020153,1279,0.0,1.0
1999-11-30,20.0,20.0,20.0,20.0,3.14972335020153,3669,0.0,1.0
1999-12-01,20.09,20.09,20.0,20.0,3.14972335020153,9563,0.0,1.0
1999-12-02,20.0,20.0,20.0,20.0,3.14972335020153,1612,0.0,1.0
1999-12-03,20.0,20.0,20.0,20.0,3.14972335020153,56,0.0,1.0
1999-12-06,20.13,20.13,20.0,20.0,3.14972335020153,2446,0.0,1.0
1999-12-07,20.0,20.13,20.0,20.13,3.17019655197784,28966,0.0,1.0
1999-12-08,20.0,20.0,20.0,20.0,3.14972335020153,4726,0.0,1.0
1999-12-09,20.0,20.0,20.0,20.0,3.14972335020153,6727,0.0,1.0
1999-12-10,20.06,20.06,20.0,20.0,3.14972335020153,11898,0.0,1.0
1999-12-13,20.0,20.06,20.0,20.06,3.15917252025213,1612,0.0,1.0
1999-12-14,20.0,20.0,20.0,20.0,3.14972335020153,5282,0.0,1.0
1999-12-15,20.06,20.06,20.0,20.06,3.15917252025213,21850,0.0,1.0
1999-12-16,20.13,20.13,19.5,20.0,3.14972335020153,19237,0.0,1.0
1999-12-17,19.69,19.69,18.75,18.81,2.96231481086454,18236,0.0,1.0
1999-12-20,18.75,18.75,17.38,17.44,2.74655876137573,11787,0.0,1.0
1999-12-21,17.38,18.11,16.75,17.0,2.6772648476713,23795,0.0,1.0
1999-12-22,17.0,17.13,16.81,16.81,2.64734247584438,3113,0.0,1.0
1999-12-23,17.13,18.5,17.13,18.38,2.8945957588352,5171,0.0,1.0
1999-12-27,17.78,18.5,17.75,18.13,2.85522421695768,27687,0.0,1.0
