timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-05-22,5.35,5.35,5.35,5.35,53.5,1000,0.0,1.0
2018-05-29,5.35,5.35,5.35,5.35,53.5,25,0.0,1.0
2018-06-01,5.25,5.25,5.25,5.25,52.5,150,0.0,1.0
2018-06-21,5.25,5.25,5.25,5.25,52.5,1400,0.0,1.0
2018-06-29,4.82,4.82,4.82,4.82,48.2,200,0.0,1.0
2018-07-06,4.82,4.82,4.82,4.82,48.2,50,0.0,1.0
2018-07-16,4.82,4.82,4.82,4.82,48.2,4000,0.0,1.0
2018-07-19,4.82,4.82,4.82,4.82,48.2,8200,0.0,1.0
2018-07-23,4.65,4.65,4.59,4.59,45.9,5500,0.0,1.0
2018-07-24,4.6112,4.6112,4.6112,4.6112,46.112,4457,0.0,1.0
2018-07-30,4.6112,4.6112,4.6112,4.6112,46.112,686,0.0,1.0
2018-08-03,4.59,4.59,4.59,4.59,45.9,2614,0.0,1.0
2018-09-07,3.8925,3.8925,3.8925,3.8925,38.925,1294,0.0,1.0
2018-09-13,4.54,4.56,4.52,4.52,45.2,7341,0.0,1.0
2018-09-14,4.52,4.52,4.52,4.52,45.2,15,0.0,1.0
2018-09-18,4.5451,4.5451,4.5451,4.5451,45.451,2015,0.0,1.0
2018-10-09,4.67,4.67,4.67,4.67,46.7,5506,0.0,1.0
2018-10-22,4.67,4.67,4.67,4.67,46.7,6000,0.0,1.0
2018-10-23,4.0,4.0,4.0,4.0,40.0,4650,0.0,1.0
2018-10-25,3.8499,3.8499,3.8499,3.8499,38.499,2000,0.0,1.0
2018-10-26,3.61,3.61,3.61,3.61,36.1,200,0.0,1.0
2018-11-09,3.8,3.8,3.8,3.8,38.0,200,0.0,1.0
2018-11-15,3.8,3.8,3.8,3.8,38.0,200,0.0,1.0
2018-11-19,3.35,3.35,3.35,3.35,33.5,300,0.0,1.0
2018-11-26,3.2,3.2,3.2,3.2,32.0,1700,0.0,1.0
2018-12-11,2.88,2.88,2.88,2.88,28.8,1093,0.0,1.0
2018-12-17,2.69,2.69,2.63,2.63,26.3,9125,0.0,1.0
2018-12-20,2.34,2.34,2.34,2.34,23.4,200,0.0,1.0
2018-12-21,2.34,2.34,2.34,2.34,23.4,8432,0.0,1.0
2018-12-24,2.45,2.45,2.45,2.45,24.5,2000,0.0,1.0
2019-01-25,2.55,2.55,2.55,2.55,25.5,1200,0.0,1.0
2019-02-04,2.5005,2.5005,2.5005,2.5005,25.005,8436,0.0,1.0
2019-02-05,2.53,2.53,2.53,2.53,25.3,16564,0.0,1.0
2019-02-08,2.53,2.53,2.53,2.53,25.3,25,0.0,1.0
2019-02-11,2.52,2.52,2.52,2.52,25.2,3200,0.0,1.0
2019-02-19,2.52,2.52,2.52,2.52,25.2,3000,0.0,1.0
2019-03-04,2.67,2.72,2.67,2.72,27.2,6500,0.0,1.0
2019-03-11,2.92,3.1,2.8666,3.0,30.0,21544,0.0,1.0
2019-03-12,2.94,2.95,2.2,2.94,29.4,16500,0.0,1.0
2019-03-13,2.9,2.9,2.87,2.87,28.7,5000,0.0,1.0
2019-03-14,2.77,2.77,2.77,2.77,27.7,1050,0.0,1.0
2019-03-15,2.77,2.77,2.77,2.77,27.7,50,0.0,1.0
2019-03-19,3.15,3.15,3.15,3.15,31.5,1000,0.0,1.0
2019-03-20,3.15,3.15,3.15,3.15,31.5,50,0.0,1.0
