timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-04-23,9.7,9.7,9.7,9.7,9.7,104,0.0,1.0
2021-04-26,9.7,9.7,9.7,9.7,9.7,5,0.0,1.0
2021-04-27,9.71,9.71,9.7,9.7,9.7,101096,0.0,1.0
2021-04-28,9.71,9.75,9.7,9.75,9.75,8350,0.0,1.0
2021-04-29,9.75,9.75,9.75,9.75,9.75,1519,0.0,1.0
2021-04-30,9.75,9.75,9.75,9.75,9.75,22111,0.0,1.0
2021-05-03,9.99,9.99,9.82,9.82,9.82,9190,0.0,1.0
2021-05-04,9.82,9.82,9.75,9.75,9.75,1005,0.0,1.0
2021-05-05,9.75,9.75,9.75,9.75,9.75,32,0.0,1.0
2021-05-06,9.79,9.79,9.79,9.79,9.79,1508,0.0,1.0
2021-05-07,9.8,9.8,9.8,9.8,9.8,209,0.0,1.0
2021-05-10,9.87,9.87,9.8632,9.8632,9.8632,600,0.0,1.0
2021-05-11,9.75,9.75,9.75,9.75,9.75,1500,0.0,1.0
2021-05-12,9.75,9.75,9.75,9.75,9.75,7,0.0,1.0
2021-05-13,9.74,9.74,9.74,9.74,9.74,200,0.0,1.0
2021-05-14,9.87,9.87,9.87,9.87,9.87,104,0.0,1.0
2021-05-17,9.9,9.9,9.77,9.77,9.77,301,0.0,1.0
2021-05-18,9.77,9.77,9.77,9.77,9.77,21,0.0,1.0
2021-05-19,9.77,9.77,9.77,9.77,9.77,0,0.0,1.0
2021-05-20,9.63,9.63,9.63,9.63,9.63,274,0.0,1.0
2021-05-21,9.63,9.63,9.63,9.63,9.63,6,0.0,1.0
2021-05-24,9.63,9.63,9.63,9.63,9.63,0,0.0,1.0
2021-05-25,9.63,9.63,9.63,9.63,9.63,0,0.0,1.0
2021-05-26,9.9025,9.9727,9.9025,9.9727,9.9727,800,0.0,1.0
2021-05-27,9.9727,9.9727,9.9727,9.9727,9.9727,10,0.0,1.0
2021-05-28,9.9727,9.9727,9.9727,9.9727,9.9727,20,0.0,1.0
2021-06-01,9.9727,9.9727,9.9727,9.9727,9.9727,0,0.0,1.0
2021-06-02,9.97,9.97,9.69,9.69,9.69,1230,0.0,1.0
2021-06-03,9.69,9.69,9.63,9.69,9.69,1642,0.0,1.0
2021-06-04,9.69,9.69,9.69,9.69,9.69,8,0.0,1.0
2021-06-07,9.76,9.76,9.66,9.66,9.66,412,0.0,1.0
