timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-02-05,5.35,5.5,5.0,5.05,66.0743060764623,8000,0.0,1.0
2002-02-06,5.0,5.0,2.76,3.17,41.476346586611,120000,0.0,1.0
2002-02-07,3.25,3.35,3.0,3.1,40.5604651162442,10000,0.0,1.0
2002-02-08,3.05,3.2,3.05,3.15,41.2146661665062,6000,0.0,1.0
2002-02-11,3.25,3.3,3.15,3.27,42.784748687135,12000,0.0,1.0
2002-02-12,3.3,3.3,3.15,3.16,41.3455063765586,2000,0.0,1.0
2002-02-13,3.25,3.3,3.25,3.27,42.784748687135,800,0.0,1.0
2002-02-14,3.3,3.3,3.25,3.25,42.5230682670302,16000,0.0,1.0
2002-02-15,3.43,3.43,3.25,3.43,44.8781920479734,4000,0.0,1.0
2002-02-19,3.43,3.43,3.35,3.35,43.8314703675542,4000,0.0,1.0
2002-02-20,3.25,3.25,3.15,3.25,42.5230682670302,6000,0.0,1.0
2002-02-21,3.15,3.3,3.05,3.15,41.2146661665062,4000,0.0,1.0
2002-02-22,3.15,3.2,2.85,2.9,37.9436609151962,8000,0.0,1.0
2002-02-25,3.0,3.0,2.71,2.71,35.4576969242006,2000,0.0,1.0
2002-02-26,2.71,2.76,2.71,2.76,36.1118979744626,2000,0.0,1.0
2002-02-27,2.85,2.9,2.7,2.7,35.3268567141482,6000,0.0,1.0
2002-02-28,2.89,2.95,2.8,2.89,37.8128207051438,2000,0.0,1.0
2002-03-01,3.0,3.39,3.0,3.33,43.5697899474494,14000,0.0,1.0
2002-03-04,3.33,3.4,3.2,3.3,43.1772693172922,4000,0.0,1.0
2002-03-05,3.39,3.5,3.3,3.4,44.4856714178162,8000,0.0,1.0
2002-03-06,3.3,3.38,3.25,3.33,43.5697899474494,6000,0.0,1.0
2002-03-07,3.38,3.38,3.3,3.3,43.1772693172922,2000,0.0,1.0
2002-03-08,3.3,3.35,3.3,3.35,43.8314703675542,2000,0.0,1.0
2002-03-11,3.44,3.44,3.37,3.37,44.093150787659,1400,0.0,1.0
2002-03-12,3.5,3.5,3.4,3.4,44.4856714178162,2000,0.0,1.0
2002-03-13,3.5,3.5,3.41,3.46,45.2707126781306,1800,0.0,1.0
2002-03-14,3.55,3.55,3.46,3.54,46.3174343585498,2000,0.0,1.0
2002-03-15,3.65,3.75,3.65,3.7,48.4108777193883,1700,0.0,1.0
2002-03-18,3.75,3.79,3.7,3.7,48.4108777193883,6000,0.0,1.0
2002-03-19,3.75,3.79,3.75,3.75,49.0650787696503,2000,0.0,1.0
2002-03-20,3.66,3.8,3.66,3.75,49.0650787696503,14000,0.0,1.0
2002-03-21,3.8,3.8,3.75,3.75,49.0650787696503,2000,0.0,1.0
2002-03-22,3.75,3.75,3.68,3.68,48.1491972992835,400,0.0,1.0
2002-03-25,3.6,3.6,3.41,3.41,44.6165116278686,2000,0.0,1.0
2002-03-26,3.41,3.41,3.4,3.4,44.4856714178162,1200,0.0,1.0
2002-03-27,3.3,3.3,3.01,3.01,39.3829032257726,6000,0.0,1.0
2002-03-28,3.11,3.14,3.01,3.13,40.9529857464014,2000,0.0,1.0
2002-04-01,3.2,3.2,3.1,3.15,41.2146661665062,6000,0.0,1.0
2002-04-02,3.2,3.2,3.15,3.2,41.8688672167682,32000,0.0,1.0
2002-04-03,3.16,3.2,2.81,2.81,36.7660990247246,26000,0.0,1.0
2002-04-04,2.85,2.85,2.7,2.75,35.9810577644102,22000,0.0,1.0
2002-04-05,2.8,2.8,2.61,2.61,34.1492948236766,2000,0.0,1.0
2002-04-08,2.61,2.65,2.45,2.64,34.5418154538338,14000,0.0,1.0
2002-04-09,2.64,2.65,2.4,2.4,31.4016504125762,6000,0.0,1.0
2002-04-10,2.45,2.49,2.4,2.49,32.5792123030478,2000,0.0,1.0
2002-04-11,2.4,2.48,2.4,2.44,31.9250112527858,4000,0.0,1.0
2002-04-12,2.35,2.6,2.35,2.6,34.0184546136242,12000,0.0,1.0
2002-04-15,2.6,2.75,2.6,2.7,35.3268567141482,2000,0.0,1.0
