timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-11-04,15.0,15.7,14.16,15.29,15.0370001005335,1674607,0.0,1.0
2021-11-05,15.05,15.39,14.85,15.3,15.0468346329733,309652,0.0,1.0
2021-11-08,15.45,18.5,15.3748,17.98,17.6824893268536,273771,0.0,1.0
2021-11-09,17.45,17.97,15.79,17.53,17.2399353670603,157884,0.0,1.0
2021-11-10,16.89,17.98,16.72,17.1,16.8170504721467,59459,0.0,1.0
2021-11-11,17.3,20.89,17.3,19.8,19.4723742309067,231591,0.0,1.0
2021-11-12,20.0,20.5,19.39,19.87,19.5412159579856,223523,0.0,1.0
2021-11-15,19.65,21.95,19.52,21.71,21.3507699269184,180579,0.0,1.0
2021-11-16,22.0,22.0,21.18,21.41,21.0557339537228,221962,0.0,1.0
2021-11-17,21.0,21.645,20.6518,20.89,20.5443382668505,128012,0.0,1.0
2021-11-18,20.67,21.27,19.89,20.24,19.9050936582601,32419,0.0,1.0
2021-11-19,20.05,21.35,19.255,20.87,20.6033454614896,84026,0.08,1.0
2021-11-22,20.76,21.36,19.46,20.21,19.9517782355872,65437,0.0,1.0
2021-11-23,20.66,20.66,17.715,18.91,18.6683882451734,68071,0.0,1.0
2021-11-24,18.99,20.45,18.06,19.59,19.3396999324668,58872,0.0,1.0
2021-11-26,19.42,19.74,18.43,19.5,19.2508498562074,68663,0.0,1.0
2021-11-29,19.63,20.29,18.98,19.99,19.7345891602864,89209,0.0,1.0
2021-11-30,19.98,20.65,19.32,20.27,20.0110116197602,67133,0.0,1.0
2021-12-01,20.72,21.0,19.57,20.01,19.7543336216774,83367,0.0,1.0
2021-12-02,20.07,20.625,18.91,20.24,19.9813949276737,143588,0.0,1.0
2021-12-03,20.5,20.91,19.22,20.24,19.9813949276737,160162,0.0,1.0
2021-12-06,20.41,22.8,19.8638,21.98,21.6991630686891,329956,0.0,1.0
2021-12-07,22.89,23.7399,19.365,19.75,19.4976556235946,471071,0.0,1.0
2021-12-08,19.67,20.17,17.4,18.0,17.7700152518837,332512,0.0,1.0
2021-12-09,18.13,21.08,17.551,20.6,20.3367952327114,119982,0.0,1.0
2021-12-10,20.25,20.8271,19.1,19.32,19.0731497036885,91404,0.0,1.0
2021-12-13,19.16,19.98,18.6616,19.08,18.8362161669967,26942,0.0,1.0
2021-12-14,18.79,20.2,18.5601,20.08,19.8234392365458,55648,0.0,1.0
2021-12-15,19.83,21.49,19.83,21.47,21.1956793032191,208328,0.0,1.0
2021-12-16,21.39,22.1,20.02,20.42,20.1590950801925,121579,0.0,1.0
2021-12-17,20.5,20.97,19.32,20.6,20.3367952327114,1395985,0.0,1.0
2021-12-20,20.01,21.47,20.01,20.99,20.7218122298355,210286,0.0,1.0
2021-12-21,21.0,21.9999,20.29,20.67,20.4059008475798,179987,0.0,1.0
2021-12-22,21.26,21.7,20.6,21.15,20.8797679209634,96318,0.0,1.0
