timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-10-28,19.95,19.95,13.31,15.0,14.6770314350245,130017,0.0,1.0
2020-10-29,15.35,15.35,13.18,13.66,13.3658832934956,286178,0.0,1.0
2020-10-30,13.5,13.98,12.93,13.4,13.1114814152885,310054,0.0,1.0
2020-11-02,13.22,13.9,12.61,12.72,12.4461226569008,266916,0.0,1.0
2020-11-03,12.81,13.37,12.5,12.73,12.4559073445241,136818,0.0,1.0
2020-11-04,12.85,13.099,12.45,12.64,12.367845155914,509972,0.0,1.0
2020-11-05,12.73,12.9965,11.89,11.98,11.7220557727729,393131,0.0,1.0
2020-11-06,12.06,12.4,10.99,11.4,11.1545438906186,168307,0.0,1.0
2020-11-09,12.05,13.04,12.05,12.53,12.2602135920571,398594,0.0,1.0
2020-11-10,12.46,13.33,12.3492,12.93,12.6516010969911,356652,0.0,1.0
2020-11-11,13.05,14.2,13.05,13.6,13.3071751677555,495781,0.0,1.0
2020-11-12,13.6,14.21,13.5,13.67,13.375667981119,224723,0.0,1.0
2020-11-13,13.71,14.115,13.63,13.94,13.6398545469494,186262,0.0,1.0
2020-11-16,14.18,15.85,13.81,15.05,14.7259548731412,266497,0.0,1.0
2020-11-17,15.09,15.78,14.63,14.96,14.6378926845311,185257,0.0,1.0
2020-11-18,14.69,15.81,14.67,15.41,15.0782036275818,310559,0.0,1.0
2020-11-19,15.15,16.52,15.11,15.69,15.3521748810356,205539,0.0,1.0
2020-11-20,15.72,16.1324,15.13,15.34,15.0097108142184,124981,0.0,1.0
2020-11-23,15.33,16.17,15.2,16.05,15.7044236354762,328906,0.0,1.0
2020-11-24,16.1,18.45,15.66,18.33,17.9353324135999,195305,0.0,1.0
2020-11-25,18.32,19.89,18.25,19.89,19.4617436828425,125417,0.0,1.0
2020-11-27,19.9,21.87,19.75,21.87,21.3991118322657,93524,0.0,1.0
2020-11-30,22.01,23.4438,20.8324,21.82,21.3501883941489,337941,0.0,1.0
2020-12-01,22.26,23.68,22.1301,23.59,23.0820781034818,169359,0.0,1.0
2020-12-02,23.6,24.175,23.01,23.59,23.0820781034818,208644,0.0,1.0
2020-12-03,23.5,25.77,22.01,25.19,24.6476281232178,274145,0.0,1.0
2020-12-04,25.19,27.8986,25.04,26.75,26.1740393924603,491565,0.0,1.0
2020-12-07,26.7,26.7,22.89,23.88,23.365834044559,441329,0.0,1.0
2020-12-08,23.98,24.46,21.91,21.96,21.4871740208758,94947,0.0,1.0
2020-12-09,21.81,22.29,20.33,21.19,20.7337530738779,176917,0.0,1.0
2020-12-10,21.01,22.46,21.01,21.9,21.4284658951357,151959,0.0,1.0
2020-12-11,21.58,21.99,19.76,20.0,19.5693752466993,709134,0.0,1.0
2020-12-14,20.38,20.43,18.3,18.54,18.1408108536903,260048,0.0,1.0
2020-12-15,18.54,20.1,18.54,20.09,19.6574374353095,220921,0.0,1.0
2020-12-16,19.92,21.6,19.7,20.9,20.4499971328008,96866,0.0,1.0
2020-12-17,21.05,21.38,20.82,21.0,20.5478440090343,138849,0.0,1.0
2020-12-18,21.05,21.3,20.6,20.98,20.5282746337876,153140,0.0,1.0
2020-12-21,20.43,21.0,20.0,20.63,20.1858105669703,127025,0.0,1.0
2020-12-22,20.05,20.46,18.71,19.57,19.1486336788953,208280,0.0,1.0
2020-12-23,19.75,21.38,19.61,21.32,20.8609540129815,59810,0.0,1.0
2020-12-24,21.11,21.5,20.7,21.32,20.8609540129815,47319,0.0,1.0
2020-12-28,21.6,22.41,20.95,22.01,21.5360974589926,111966,0.0,1.0
2020-12-29,22.0,22.22,20.72,20.8,20.3521502565673,118787,0.0,1.0
2020-12-30,20.73,23.195,20.7,22.72,22.2308102802504,74729,0.0,1.0
2020-12-31,22.85,23.72,22.5,23.59,23.0820781034818,53512,0.0,1.0
2021-01-04,23.72,25.7,23.22,23.53,23.0233699777417,141647,0.0,1.0
2021-01-05,23.74,24.6199,23.5,24.0,23.4832502960392,101825,0.0,1.0
2021-01-06,23.88,26.94,23.53,24.98,24.4421496831274,133736,0.0,1.0
2021-01-07,24.96,25.295,24.51,24.85,24.3149487440239,120056,0.0,1.0
2021-01-08,25.19,25.4,24.23,24.5,23.9724846772067,81181,0.0,1.0
2021-01-11,24.34,25.225,24.0,24.91,24.373656869764,65911,0.0,1.0
2021-01-12,25.07,25.69,24.7054,25.47,24.9215993766716,121834,0.0,1.0
2021-01-13,25.72,25.89,24.75,25.3,24.7552596870746,69593,0.0,1.0
2021-01-14,25.31,26.15,25.19,25.55,24.9998768776584,120135,0.0,1.0
2021-01-15,25.04,25.63,24.92,24.96,24.4225803078807,105289,0.0,1.0
2021-01-19,25.13,25.47,24.5701,24.68,24.1486090544269,104796,0.0,1.0
2021-01-20,24.59,25.19,24.5101,24.82,24.2855946811538,178645,0.0,1.0
2021-01-21,24.92,25.0,24.57,24.72,24.1877478049203,127932,0.0,1.0
2021-01-22,24.51,25.28,24.51,24.72,24.1877478049203,142150,0.0,1.0
2021-01-25,24.6,24.89,24.0,24.5,23.9724846772067,137714,0.0,1.0
2021-01-26,24.58,24.76,23.79,23.94,23.4245421702991,171942,0.0,1.0
2021-01-27,23.62,24.24,22.45,22.88,22.387365282224,194883,0.0,1.0
2021-01-28,23.27,23.76,22.34,23.17,22.6711212233011,186763,0.0,1.0
2021-01-29,23.29,24.325,22.92,23.09,22.5928437223143,151802,0.0,1.0
2021-02-01,23.32,23.99,22.25,22.58,22.0938246535235,221669,0.0,1.0
2021-02-02,23.07,23.34,22.33,22.37,21.8883462134332,146103,0.0,1.0
2021-02-03,22.45,23.6271,22.44,23.25,22.7493987242879,138943,0.0,1.0
2021-02-04,23.47,23.93,23.47,23.75,23.2386331054554,87698,0.0,1.0
2021-02-05,23.95,24.02,23.61,24.0,23.4832502960392,133861,0.0,1.0
2021-02-08,24.06,24.79,23.91,24.79,24.2562406182838,204947,0.0,1.0
2021-02-09,24.75,25.39,24.51,25.39,24.8433218756848,241597,0.0,1.0
2021-02-10,25.4,25.97,25.21,25.66,25.1075084415152,304745,0.0,1.0
2021-02-11,25.53,26.05,25.04,25.2,24.6574128108411,138901,0.0,1.0
2021-02-12,25.2,25.7751,25.0101,25.45,24.9020300014249,297199,0.0,1.0
2021-02-16,26.24,27.83,25.82,26.44,25.8707140761365,528318,0.0,1.0
2021-02-17,26.45,28.1,26.39,26.61,26.0370537657334,416827,0.0,1.0
2021-02-18,26.68,27.03,25.76,26.22,25.6554509484228,592931,0.0,1.0
2021-02-19,26.1,26.43,25.69,26.0,25.4401878207091,482139,0.0,1.0
2021-02-22,25.94,27.0074,25.5,26.11,25.5478193845659,1032040,0.0,1.0
2021-02-23,26.58,26.58,25.5401,25.99,25.4304031330857,463547,0.0,1.0
2021-02-24,26.07,27.45,23.97,26.37,25.802221262773,1831684,0.0,1.0
2021-02-25,26.9,27.15,26.01,26.12,25.5576040721893,370925,0.0,1.0
2021-02-26,26.02,26.5,25.03,26.28,25.7141590741629,370513,0.0,1.0
2021-03-01,26.74,27.5,26.15,26.24,25.6750203236695,384852,0.0,1.0
2021-03-02,26.24,26.665,26.1103,26.36,25.7924365751497,330016,0.0,1.0
2021-03-03,26.65,26.86,26.1406,26.16,25.5967428226827,566910,0.0,1.0
2021-03-04,26.42,26.77,25.8,26.27,25.7043743865395,594770,0.0,1.0
2021-03-05,26.56,27.5,25.77,26.5,25.9294222018766,637165,0.0,1.0
2021-03-08,26.52,26.52,25.51,25.51,24.960738127165,485779,0.0,1.0
2021-03-09,25.54,26.125,25.0,25.01,24.4715037459975,200988,0.0,1.0
2021-03-10,25.08,25.57,24.5,24.97,24.4323649955041,498899,0.0,1.0
2021-03-11,25.23,26.52,25.13,26.29,25.7239437617862,248463,0.0,1.0
2021-03-12,25.5,26.05,25.25,25.66,25.1075084415152,285824,0.0,1.0
2021-03-15,25.92,25.92,24.05,24.48,23.95291530196,325538,0.0,1.0
2021-03-16,24.18,24.63,24.0,24.05,23.5321737341559,305169,0.0,1.0
2021-03-17,24.07,24.4,23.4,23.92,23.4049727950524,246875,0.0,1.0
2021-03-18,23.75,23.82,22.93,23.03,22.5341355965743,354593,0.0,1.0
2021-03-19,23.03,24.29,23.01,24.13,23.6104512351427,210566,0.0,1.0
2021-03-22,24.13,25.04,23.55,24.3,23.7767909247397,290274,0.0,1.0
2021-03-23,24.01,24.05,22.93,22.96,22.4656427832108,282730,0.0,1.0
2021-03-24,23.21,23.74,23.0,23.49,22.9842312272483,365039,0.0,1.0
2021-03-25,23.37,23.8,22.15,23.8,23.2875565435722,346625,0.0,1.0
2021-03-26,24.12,24.7075,23.85,24.35,23.8257143628564,130715,0.0,1.0
2021-03-29,24.14,24.48,23.5,24.11,23.590881859896,227611,0.0,1.0
2021-03-30,24.21,24.63,23.75,24.25,23.7278674866229,212280,0.0,1.0
2021-03-31,24.25,24.47,23.69,24.06,23.5419584217793,156369,0.0,1.0
2021-04-01,24.29,24.51,23.7,23.89,23.3756187321823,140272,0.0,1.0
2021-04-05,24.08,24.49,23.21,24.0,23.4832502960392,120575,0.0,1.0
2021-04-06,24.16,24.4,23.75,24.12,23.6006665475194,110534,0.0,1.0
2021-04-07,24.18,24.51,24.09,24.14,23.6202359227661,272381,0.0,1.0
2021-04-08,24.01,24.36,23.61,24.18,23.6593746732595,136802,0.0,1.0
2021-04-09,24.17,24.48,24.0,24.25,23.7278674866229,169679,0.0,1.0
2021-04-12,24.4,24.47,24.0,24.22,23.6985134237529,107223,0.0,1.0
2021-04-13,24.27,25.29,23.75,24.99,24.4519343707508,881079,0.0,1.0
2021-04-14,25.0,25.25,24.69,24.7,24.1681784296736,729451,0.0,1.0
2021-04-15,24.85,24.85,24.32,24.65,24.1192549915569,127090,0.0,1.0
2021-04-16,24.66,24.66,23.99,24.16,23.6398052980128,85021,0.0,1.0
2021-04-19,24.19,24.45,23.48,23.95,23.4343268579224,86173,0.0,1.0
2021-04-20,23.62,24.02,22.85,22.97,22.4754274708342,160162,0.0,1.0
2021-04-21,22.82,23.78,22.73,23.46,22.9548771643783,166362,0.0,1.0
2021-04-22,23.5,23.98,23.32,23.9,23.3854034198057,160062,0.0,1.0
2021-04-23,23.88,24.25,21.79,22.45,21.96662371442,533062,0.0,1.0
2021-04-26,22.45,23.3,21.98,22.31,21.8296380876931,252483,0.0,1.0
2021-04-27,22.36,22.7499,22.115,22.31,21.8296380876931,140544,0.0,1.0
2021-04-28,22.31,23.62,22.31,23.59,23.0820781034818,308565,0.0,1.0
2021-04-29,23.79,24.04,23.24,23.8,23.2875565435722,162084,0.0,1.0
2021-04-30,23.6,24.06,23.55,23.7,23.1897096673387,139524,0.0,1.0
2021-05-03,24.07,24.49,23.65,24.02,23.5028196712859,138325,0.0,1.0
2021-05-04,24.01,24.45,23.37,24.02,23.5028196712859,179233,0.0,1.0
2021-05-05,24.1,24.17,23.8,24.0,23.4832502960392,160317,0.0,1.0
2021-05-06,24.06,24.06,23.37,24.0,23.4832502960392,112193,0.0,1.0
2021-05-07,23.75,24.96,23.75,24.93,24.3932262450107,201952,0.0,1.0
2021-05-10,25.22,26.22,23.9,24.07,23.5517431094026,214540,0.0,1.0
2021-05-11,23.6,24.67,23.435,24.55,24.0214081153234,251117,0.0,1.0
2021-05-12,24.6,25.069,23.91,24.47,23.9431306143366,358492,0.0,1.0
2021-05-13,24.99,26.23,24.99,25.86,25.3032021939822,628224,0.0,1.0
2021-05-14,25.59,25.84,23.6,24.13,23.6104512351427,1076060,0.0,1.0
2021-05-17,24.17,25.27,24.04,25.19,24.6476281232178,543964,0.0,1.0
2021-05-18,25.93,29.28,25.4998,28.7,28.0820534790135,1771536,0.0,1.0
2021-05-19,28.23,29.2399,28.2,28.62,28.0037759780267,782271,0.0,1.0
2021-05-20,28.54,29.78,28.09,29.2,28.571287860181,731258,0.0,1.0
2021-05-21,29.44,30.0,29.28,29.49,28.8550438012581,605622,0.0,1.0
2021-05-24,29.95,30.5595,29.04,29.98,29.3344934948023,726176,0.0,1.0
2021-05-25,29.9,30.2376,28.83,28.83,28.209254418117,786170,0.0,1.0
2021-05-26,28.85,30.11,28.49,29.79,29.1485844299586,699240,0.0,1.0
2021-05-27,30.08,30.52,29.6,29.77,29.1290150547119,1161449,0.0,1.0
2021-05-28,30.33,30.8,28.8,29.01,28.3853787953373,360204,0.0,1.0
2021-06-01,29.21,30.65,29.21,30.0,29.354062870049,1081302,0.0,1.0
2021-06-02,30.18,30.69,29.62,29.77,29.1290150547119,973614,0.0,1.0
2021-06-03,29.59,29.82,29.27,29.5,28.8648284888815,1046409,0.0,1.0
2021-06-04,29.58,31.1333,29.58,30.71,30.0487756913068,1289765,0.0,1.0
2021-06-07,31.49,34.09,31.2,32.68,31.9763591531067,1853098,0.0,1.0
2021-06-08,32.26,32.98,31.8,32.83,32.1231294674569,630529,0.0,1.0
2021-06-09,33.15,33.15,32.6,32.77,32.0644213417168,1397231,0.0,1.0
2021-06-10,32.84,33.2299,32.23,32.52,31.8198041511331,1123232,0.0,1.0
2021-06-11,32.52,33.8,32.0,33.28,32.5634404105076,1375895,0.0,1.0
2021-06-14,33.38,34.0,32.97,33.03,32.3188232199239,1558413,0.0,1.0
2021-06-15,32.95,33.24,32.61,32.75,32.0448519664701,1203516,0.0,1.0
2021-06-16,33.09,33.21,32.44,32.6,31.8980816521199,2026091,0.0,1.0
2021-06-17,32.45,32.78,29.99,31.57,30.8902588269149,2082498,0.0,1.0
2021-06-18,30.86,32.94,30.86,32.59,31.8882969644965,2533479,0.0,1.0
2021-06-21,32.6,33.42,32.4,32.75,32.0448519664701,2700341,0.0,1.0
2021-06-22,32.49,32.785,31.9,32.5,31.8002347758864,2178117,0.0,1.0
2021-06-23,32.55,33.21,31.77,32.75,32.0448519664701,1068232,0.0,1.0
2021-06-24,32.83,33.4,32.22,32.94,32.2307610313138,864968,0.0,1.0
2021-06-25,32.92,34.01,32.7,33.23,32.5145169723909,12212601,0.0,1.0
2021-06-28,32.99,33.03,29.9024,30.0,29.354062870049,628806,0.0,1.0
2021-06-29,30.01,30.2357,29.16,29.3,28.6691347364145,538414,0.0,1.0
2021-06-30,29.42,30.15,29.031,30.14,29.4910484967759,595740,0.0,1.0
2021-07-01,30.73,30.98,30.25,30.65,29.9900675655667,419795,0.0,1.0
2021-07-02,30.52,30.6074,29.8,30.09,29.4421250586591,321574,0.0,1.0
2021-07-06,30.08,30.1599,28.21,28.46,27.8472209760531,419815,0.0,1.0
2021-07-07,28.27,28.78,27.55,28.47,27.8570056636765,358252,0.0,1.0
2021-07-08,28.07,29.08,27.62,28.75,28.1309769171303,280021,0.0,1.0
2021-07-09,29.03,29.77,28.74,29.31,28.6789194240378,199732,0.0,1.0
