timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-02-14,48.999,50.4,37.0,41.0,13.3349190759208,10800,0.0,1.0
2005-02-15,42.5,44.0,40.0,40.0,13.0096771472398,1000,0.0,1.0
2005-02-16,42.0,42.0,42.0,42.0,13.6601610046018,500,0.0,1.0
2005-02-17,41.0,42.999,39.51,40.0,13.0096771472398,2100,0.0,1.0
2005-02-18,40.0,40.12,39.0,39.0,12.6844352185588,700,0.0,1.0
2005-02-22,38.75,39.0,38.5,38.5,12.5218142542183,300,0.0,1.0
2005-02-23,38.0,38.0,36.0,36.5,11.8713303968564,2500,0.0,1.0
2005-02-24,36.5,36.5,34.5,34.55,11.2371086359284,5200,0.0,1.0
2005-02-25,34.5,34.5,33.2,33.2,10.7980320322091,6500,0.0,1.0
2005-02-28,33.0,33.0,32.25,32.98,10.7264788078992,6400,0.0,1.0
2005-03-01,32.9,33.0,31.6,32.898,10.6998089697474,6700,0.0,1.0
2005-03-02,32.9,32.9,30.8,31.0,10.0824997891109,4800,0.0,1.0
2005-03-03,31.4,31.6,30.95,30.95,10.0662376926768,3800,0.0,1.0
2005-03-04,31.625,31.75,30.7,30.7,9.98492721050657,4800,0.0,1.0
2005-03-07,31.05,31.05,31.05,31.05,10.0987618855449,100,0.0,1.0
2005-03-08,31.0,31.45,31.0,31.0,10.0824997891109,7300,0.0,1.0
2005-03-09,30.7,30.7,30.7,30.7,9.98492721050657,400,0.0,1.0
2005-03-10,31.25,31.25,30.4,30.4,9.88735463190228,5100,0.0,1.0
2005-03-11,30.4,30.4,30.4,30.4,9.88735463190228,0,0.0,1.0
2005-03-14,30.88,30.88,30.88,30.88,10.0434707576692,400,0.0,1.0
2005-03-15,30.88,31.62,30.88,31.0,10.0824997891109,1300,0.0,1.0
2005-03-16,31.0,31.0,31.0,31.0,10.0824997891109,500,0.0,1.0
2005-03-17,31.0,31.0,29.5,30.0,9.75725786042988,500,0.0,1.0
2005-03-18,30.5,30.5,30.0,30.0,9.75725786042988,800,0.0,1.0
2005-03-21,29.25,29.4,27.0,27.7,9.00920142446359,7000,0.0,1.0
2005-03-22,28.0,28.0,27.6,27.6,8.97667723159549,200,0.0,1.0
2005-03-23,27.25,27.999,27.0,27.3,8.87910465299119,6500,0.0,1.0
2005-03-24,27.3,28.0,27.3,27.998,9.10612351921053,2500,0.0,1.0
2005-03-28,29.0,29.5,28.5,29.342,9.54324867135778,2800,0.0,1.0
2005-03-29,29.4,29.4,29.0,29.0,9.43201593174888,500,0.0,1.0
2005-03-30,29.0,29.25,29.0,29.0,9.43201593174888,4000,0.0,1.0
2005-03-31,28.7,29.0,28.3,29.0,9.43201593174888,2400,0.0,1.0
2005-04-01,29.0,29.0,29.0,29.0,9.43201593174888,1000,0.0,1.0
2005-04-04,28.42,29.19,28.25,28.571,9.29248714434473,6200,0.0,1.0
2005-04-05,28.86,28.86,28.69,28.69,9.33119093385777,400,0.0,1.0
2005-04-06,29.48,29.48,28.83,29.25,9.51332641391913,2600,0.0,1.0
2005-04-07,29.25,29.25,29.25,29.25,9.51332641391913,0,0.0,1.0
2005-04-08,29.0,29.0,29.0,29.0,9.43201593174888,200,0.0,1.0
2005-04-11,29.5,29.5,28.74,28.75,9.35070544957863,1400,0.0,1.0
2005-04-12,28.75,28.75,28.75,28.75,9.35070544957863,0,0.0,1.0
2005-04-13,29.75,30.15,29.5,29.5,9.59463689608938,800,0.0,1.0
2005-04-14,29.0,29.928,28.964,29.499,9.5943116541607,1600,0.0,1.0
2005-04-15,28.75,28.75,28.75,28.75,9.35070544957863,400,0.0,1.0
2005-04-18,28.75,29.0,28.75,29.0,9.43201593174888,1100,0.0,1.0
2005-04-19,28.5,28.5,28.5,28.5,9.26939496740838,100,0.0,1.0
2005-04-20,29.4,29.5,29.4,29.4,9.56211270322128,500,0.0,1.0
2005-04-21,29.9,29.9,29.9,29.9,9.72473366756178,100,0.0,1.0
2005-04-22,30.0,30.001,30.0,30.001,9.75758310235856,3700,0.0,1.0
2005-04-25,30.0,30.0,30.0,30.0,9.75725786042988,6500,0.0,1.0
2005-04-26,30.0,30.0,29.998,29.998,9.75660737657252,400,0.0,1.0
2005-04-27,30.0,30.0,30.0,30.0,9.75725786042988,1100,0.0,1.0
2005-04-28,29.8,29.8,29.75,29.75,9.67594737825963,800,0.0,1.0
2005-04-29,31.0,31.0,30.0,30.0,9.75725786042988,1400,0.0,1.0
2005-05-02,30.0,30.0,30.0,30.0,9.75725786042988,0,0.0,1.0
2005-05-03,30.0,30.0,30.0,30.0,9.75725786042988,0,0.0,1.0
2005-05-04,30.0,30.0,30.0,30.0,9.75725786042988,0,0.0,1.0
2005-05-05,30.0,30.0,30.0,30.0,9.75725786042988,0,0.0,1.0
2005-05-06,29.0,29.9,29.0,29.9,9.72473366756178,200,0.0,1.0
2005-05-09,29.01,29.31,29.01,29.28,9.52308367177956,700,0.0,1.0
2005-05-10,29.28,29.28,29.28,29.28,9.52308367177956,0,0.0,1.0
2005-05-11,29.28,29.28,29.28,29.28,9.52308367177956,0,0.0,1.0
2005-05-12,29.28,29.28,29.28,29.28,9.52308367177956,0,0.0,1.0
2005-05-13,31.05,31.05,30.0,30.0,9.75725786042988,14600,0.0,1.0
2005-05-16,30.3,31.03,30.19,30.19,9.81905382687927,1500,0.0,1.0
2005-05-17,30.5,30.5,30.0,30.03,9.76701511829031,2000,0.0,1.0
2005-05-18,30.03,30.03,30.03,30.03,9.76701511829031,0,0.0,1.0
2005-05-19,30.03,30.03,30.03,30.03,9.76701511829031,0,0.0,1.0
2005-05-20,30.03,30.03,30.03,30.03,9.76701511829031,0,0.0,1.0
2005-05-23,30.5,30.5,30.5,30.5,9.91987882477038,300,0.0,1.0
2005-05-24,30.1,30.25,29.55,29.55,9.61089899252343,1100,0.0,1.0
2005-05-25,30.1,30.1,30.1,30.1,9.78978205329798,200,0.0,1.0
2005-05-26,30.1,30.1,30.1,30.1,9.78978205329798,0,0.0,1.0
2005-05-27,30.7,31.5,30.05,30.66,9.97191753335933,600,0.0,1.0
2005-05-31,30.66,30.66,30.66,30.66,9.97191753335933,0,0.0,1.0
2005-06-01,30.66,30.66,30.66,30.66,10.1280336591262,0,0.48,1.0
2005-06-02,30.66,30.66,30.66,30.66,10.1280336591262,0,0.0,1.0
2005-06-03,29.0,29.02,29.0,29.02,9.5862862618344,200,0.0,1.0
2005-06-06,29.02,29.02,29.02,29.02,9.5862862618344,0,0.0,1.0
2005-06-07,28.0,30.05,26.964,30.05,9.92653005403597,3800,0.0,1.0
2005-06-08,28.83,28.83,28.83,28.83,9.52352284385547,200,0.0,1.0
2005-06-09,29.0,29.0,29.0,29.0,9.57967958625767,200,0.0,1.0
2005-06-10,29.44,29.7,28.7,28.7,9.48057945260673,1400,0.0,1.0
2005-06-13,28.7,28.7,28.7,28.7,9.48057945260673,0,0.0,1.0
2005-06-14,29.5,29.5,29.5,29.5,9.74484647567591,100,0.0,1.0
2005-06-15,28.71,28.712,28.71,28.712,9.48454345795277,200,0.0,1.0
2005-06-16,29.0,29.0,29.0,29.0,9.57967958625767,200,0.0,1.0
2005-06-17,28.04,28.7999,28.04,28.7999,9.51357979711249,1200,0.0,1.0
2005-06-20,28.99,29.0,28.99,29.0,9.57967958625767,500,0.0,1.0
2005-06-21,29.5,29.5,29.0,29.0,9.57967958625767,900,0.0,1.0
2005-06-22,28.66,28.66,28.62,28.62,9.45415275029981,500,0.0,1.0
2005-06-23,28.62,28.62,28.62,28.62,9.45415275029981,0,0.0,1.0
2005-06-24,29.0,29.12,29.0,29.0,9.57967958625767,1300,0.0,1.0
2005-06-27,29.25,29.25,29.25,29.25,9.66226303096679,100,0.0,1.0
2005-06-28,29.25,30.0,29.25,29.97,9.90010335172905,1000,0.0,1.0
2005-06-29,29.97,29.97,29.97,29.97,9.90010335172905,0,0.0,1.0
2005-06-30,29.97,29.97,29.97,29.97,9.90010335172905,0,0.0,1.0
2005-07-01,29.97,29.97,29.97,29.97,9.90010335172905,0,0.0,1.0
2005-07-05,28.0,28.0,28.0,28.0,9.2493458074212,600,0.0,1.0
2005-07-06,28.95,28.95,28.95,28.95,9.56316289731585,100,0.0,1.0
2005-07-07,28.5,28.71,28.32,28.5,9.41451269683944,3000,0.0,1.0
