timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-10-31,22.0,22.1,20.3,21.0,19.7902838795777,16022300,0.0,1.0
2013-11-01,21.4,23.0,21.1,22.53,21.2321474193755,2283500,0.0,1.0
2013-11-04,21.9,22.78,21.84,22.01,20.7421022947384,425800,0.0,1.0
2013-11-05,21.83,22.97,21.5,22.73,21.4206263134668,880100,0.0,1.0
2013-11-06,23.0,23.0,21.88,22.11,20.836341741784,795500,0.0,1.0
2013-11-07,21.9,22.45,20.8,21.31,20.0824261654191,953500,0.0,1.0
2013-11-08,21.67,21.9,20.94,21.25,20.0258824971918,416300,0.0,1.0
2013-11-11,21.3,21.5,20.38,20.57,19.3850542572816,458000,0.0,1.0
2013-11-12,20.45,20.795,19.95,20.48,19.3002387549406,778100,0.0,1.0
2013-11-13,20.12,21.16,20.12,20.88,19.677196543123,205500,0.0,1.0
2013-11-14,20.99,21.9,20.99,21.6,20.3557205618514,555500,0.0,1.0
2013-11-15,21.5,21.71,21.075,21.19,19.9693388289644,238400,0.0,1.0
2013-11-18,21.65,22.24,20.88,21.28,20.0541543313054,280200,0.0,1.0
2013-11-19,21.19,21.3,20.958,21.09,19.8750993819188,292500,0.0,1.0
2013-11-20,21.2,21.52,21.041,21.25,20.0258824971918,519400,0.0,1.0
2013-11-21,21.28,21.89,21.28,21.81,20.5536234006472,248100,0.0,1.0
2013-11-22,22.02,22.36,21.61,22.0,20.7326783500338,532800,0.0,1.0
2013-11-25,22.23,22.5,21.26,21.4,20.1672416677602,77800,0.0,1.0
2013-11-26,21.8,22.15,21.48,21.81,20.5536234006472,354600,0.0,1.0
2013-11-27,21.78,22.22,21.68,21.81,20.5536234006472,151500,0.0,1.0
2013-11-29,22.02,22.02,21.54,21.74,20.4876557877152,47700,0.0,1.0
2013-12-02,21.72,22.0,21.55,21.83,20.5724712900563,203900,0.0,1.0
2013-12-03,21.75,21.75,21.44,21.6,20.3557205618514,189100,0.0,1.0
2013-12-04,21.55,22.2,21.45,22.14,20.8646135758977,162600,0.0,1.0
2013-12-05,22.15,22.16,21.7201,22.05,20.7797980735566,233000,0.0,1.0
2013-12-06,22.15,22.91,21.87,22.34,21.0530924699889,159900,0.0,1.0
2013-12-09,22.27,22.35,21.91,22.04,20.7703741288521,215200,0.0,1.0
2013-12-10,21.91,22.48,21.5062,21.8,20.5441994559426,298300,0.0,1.0
2013-12-11,21.86,21.9,21.45,21.55,20.3086008383286,218000,0.0,1.0
2013-12-12,21.6,21.98,21.5,21.53,20.2897529489195,342300,0.0,1.0
2013-12-13,21.58,21.88,21.39,21.53,20.2897529489195,224600,0.0,1.0
2013-12-16,21.54,21.67,21.4,21.47,20.2332092806921,774400,0.0,1.0
2013-12-17,21.57,21.97,21.25,21.83,20.5724712900563,383600,0.0,1.0
2013-12-18,21.51,22.75,21.51,22.33,21.0436685252843,479900,0.0,1.0
2013-12-19,22.37,22.49,21.672,21.94,20.6761346818065,115400,0.0,1.0
2013-12-20,21.8,23.09,21.5043,23.09,21.759888322831,3088300,0.0,1.0
2013-12-23,23.04,23.28,22.85,23.0,21.6750728204899,389800,0.0,1.0
2013-12-24,23.04,23.3199,22.91,23.1,21.7693122675355,104000,0.0,1.0
2013-12-26,23.17,23.91,23.17,23.42,22.0708784980815,197200,0.0,1.0
2013-12-27,23.52,23.79,23.405,23.61,22.2499334474681,206700,0.0,1.0
2013-12-30,23.6067,23.93,23.18,23.65,22.2876292262864,169100,0.0,1.0
2013-12-31,23.62,24.1,23.52,24.06,22.6740109591734,232100,0.0,1.0
2014-01-02,23.91,24.06,23.12,23.37,22.0237587745587,199900,0.0,1.0
2014-01-03,23.36,24.76,23.36,24.01,22.6268912356506,411100,0.0,1.0
2014-01-06,24.17,24.4325,23.67,23.91,22.5326517886049,236000,0.0,1.0
2014-01-07,23.95,24.065,23.61,23.77,22.4007165627411,180500,0.0,1.0
2014-01-08,23.7,23.7,23.09,23.24,21.9012474933994,170500,0.0,1.0
2014-01-09,23.26,23.26,22.8,23.1,21.7693122675355,286500,0.0,1.0
2014-01-10,23.16,23.44,22.9,23.27,21.929519327513,155600,0.0,1.0
2014-01-13,23.17,23.43,23.1625,23.26,21.9200953828085,136300,0.0,1.0
2014-01-14,23.0,24.27,22.61,23.49,22.1368461110134,701800,0.0,1.0
2014-01-15,23.5,24.75,23.44,24.62,23.2017518626288,267800,0.0,1.0
2014-01-16,24.5,24.66,23.8,24.13,22.7399785721053,339500,0.0,1.0
2014-01-17,24.19,25.06,24.18,24.84,23.4090786461291,232000,0.0,1.0
2014-01-21,25.04,25.234,24.38,24.83,23.3996547014245,129300,0.0,1.0
2014-01-22,24.91,25.54,24.7,25.18,23.7294927660842,178700,0.0,1.0
