timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-08-02,18.63,19.69,18.5,19.0,12.4469546937008,25829900,0.0,1.0
2000-08-03,18.0,19.0,18.0,18.25,11.9556275347389,3285700,0.0,1.0
2000-08-04,18.75,19.5,18.25,19.5,12.7745061330087,2037000,0.0,1.0
2000-08-07,19.5,19.94,19.19,19.44,12.7351999602917,641900,0.0,1.0
2000-08-08,19.5,19.63,19.44,19.5,12.7745061330087,817800,0.0,1.0
2000-08-09,19.5,19.75,16.75,17.19,11.2612184834061,7149700,0.0,1.0
2000-08-10,17.0,17.06,15.19,16.0,10.4816460578533,2597300,0.0,1.0
2000-08-11,16.0,18.13,15.94,18.13,11.877015189305,1083000,0.0,1.0
2000-08-14,18.25,18.5,17.94,18.5,12.1194032543928,381500,0.0,1.0
2000-08-15,18.5,18.88,18.5,18.75,12.2831789740468,293900,0.0,1.0
2000-08-16,18.75,19.13,18.75,19.06,12.4862608664177,390200,0.0,1.0
2000-08-17,19.38,20.31,19.31,19.44,12.7351999602917,889200,0.0,1.0
2000-08-18,19.63,20.06,19.13,20.0,13.1020575723166,378600,0.0,1.0
2000-08-21,20.0,20.5,20.0,20.38,13.3509966661906,507700,0.0,1.0
2000-08-22,20.38,20.56,19.88,19.88,13.0234452268827,614100,0.0,1.0
2000-08-23,19.69,19.75,19.19,19.44,12.7351999602917,145100,0.0,1.0
2000-08-24,19.56,19.75,19.38,19.44,12.7351999602917,160200,0.0,1.0
2000-08-25,19.38,19.5,19.38,19.44,12.7351999602917,100000,0.0,1.0
2000-08-28,19.31,19.88,19.13,19.75,12.9382818526626,336100,0.0,1.0
2000-08-29,19.75,19.75,19.25,19.38,12.6958937875748,254300,0.0,1.0
2000-08-30,19.38,19.63,19.31,19.56,12.8138123057256,441200,0.0,1.0
2000-08-31,19.5,19.88,19.31,19.81,12.9775880253796,873700,0.0,1.0
2000-09-01,19.88,19.88,19.5,19.63,12.8596695072287,199700,0.0,1.0
2000-09-05,19.25,19.38,18.75,18.81,12.3224851467637,892700,0.0,1.0
2000-09-06,18.69,18.81,17.88,18.0,11.7918518150849,343500,0.0,1.0
2000-09-07,18.0,18.0,17.0,17.38,11.3856880303431,571300,0.0,1.0
2000-09-08,17.31,17.5,16.69,16.75,10.9729732168151,564900,0.0,1.0
2000-09-11,16.63,16.63,15.75,16.31,10.6847279502242,1062100,0.0,1.0
2000-09-12,16.5,18.5,16.5,18.19,11.9163213620219,332100,0.0,1.0
2000-09-13,18.25,18.25,17.75,18.06,11.8311579878019,304900,0.0,1.0
2000-09-14,18.06,18.06,17.5,17.69,11.588769922714,188500,0.0,1.0
2000-09-15,17.63,17.63,17.25,17.5,11.464300375777,481700,0.0,1.0
2000-09-18,17.5,17.5,17.06,17.5,11.464300375777,200800,0.0,1.0
2000-09-19,17.38,17.38,17.0,17.0,11.1367489364691,743900,0.0,1.0
2000-09-20,17.0,17.06,17.0,17.06,11.176055109186,40900,0.0,1.0
2000-09-21,17.0,17.06,17.0,17.06,11.176055109186,47500,0.0,1.0
2000-09-22,17.06,17.06,17.0,17.0,11.1367489364691,620400,0.0,1.0
2000-09-25,17.0,17.13,16.56,16.56,10.8485036698781,255900,0.0,1.0
2000-09-26,16.56,16.56,16.06,16.25,10.6454217775072,982500,0.0,1.0
2000-09-27,16.38,17.13,16.06,16.81,11.0122793895321,208600,0.0,1.0
2000-09-28,16.88,17.13,16.38,17.0,11.1367489364691,161600,0.0,1.0
2000-09-29,17.0,17.63,17.0,17.38,11.3856880303431,159700,0.0,1.0
2000-10-02,17.38,17.63,17.25,17.25,11.3005246561231,14300,0.0,1.0
2000-10-03,17.19,17.25,17.0,17.0,11.1367489364691,29700,0.0,1.0
2000-10-04,17.0,17.0,16.5,16.56,10.8485036698781,48700,0.0,1.0
2000-10-05,16.56,16.63,16.38,16.5,10.8091974971612,361700,0.0,1.0
2000-10-06,16.44,16.44,14.63,14.63,9.58415511414958,171800,0.0,1.0
2000-10-09,14.63,14.69,13.38,13.38,8.7652765158798,497800,0.0,1.0
2000-10-10,11.5,11.75,10.5,11.63,7.61884647830209,3430600,0.0,1.0
2000-10-11,11.56,11.63,11.0,11.0,7.20613166477412,366700,0.0,1.0
