timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-08-06,15.05,15.05,14.9,14.95,10.3120909444299,55100,0.0,1.0
2001-08-07,14.68,14.68,14.46,14.6,10.0706707550954,15200,0.0,1.0
2001-08-08,14.5,14.5,14.16,14.25,9.8292505657609,35500,0.0,1.0
2001-08-09,14.21,14.29,14.0,14.05,9.69129617185548,30300,0.0,1.0
2001-08-10,14.25,14.48,14.22,14.24,9.82235284606563,33600,0.0,1.0
2001-08-13,14.8,15.35,14.65,15.25,10.519022535288,44400,0.0,1.0
2001-08-14,15.1,15.45,15.08,15.32,10.5673065731549,1131800,0.0,1.0
2001-08-15,14.55,14.7,14.5,14.58,10.0568753157048,28100,0.0,1.0
2001-08-16,14.4,15.1,14.4,14.8,10.2086251490008,59300,0.0,1.0
2001-08-17,14.4,14.5,14.35,14.35,9.8982277627136,15400,0.0,1.0
2001-08-20,13.55,13.74,13.4,13.54,9.33951246739667,42200,0.0,1.0
2001-08-21,13.65,14.25,13.6,14.0,9.93271636118996,69600,0.4,1.0
2001-08-22,14.9,15.22,14.75,15.15,10.7486180622877,54700,0.0,1.0
2001-08-23,15.1,15.15,14.66,14.95,10.6067221142707,22800,0.0,1.0
2001-08-24,15.25,15.43,15.15,15.3,10.8550400233005,30000,0.0,1.0
2001-08-27,15.3,15.3,15.2,15.3,10.8550400233005,24800,0.0,1.0
2001-08-28,15.1,15.1,14.7,14.8,10.500300153258,36800,0.0,1.0
2001-08-29,14.7,14.77,14.69,14.69,10.4222573818486,8700,0.0,1.0
2001-08-30,14.6,14.6,14.01,14.1,10.0036643351985,37500,0.0,1.0
2001-08-31,14.03,14.03,13.75,13.9,9.86176838718146,20200,0.0,1.0
2001-09-04,13.77,13.95,13.7,13.8,9.79082041317296,28100,0.0,1.0
2001-09-05,14.0,14.35,14.0,14.06,9.97528514559506,20600,0.0,1.0
2001-09-06,14.1,14.3,14.1,14.16,10.0462331196036,68000,0.0,1.0
2001-09-07,14.1,14.18,14.0,14.1,10.0036643351985,21800,0.0,1.0
2001-09-10,13.7,13.7,13.5,13.7,9.71987243916446,55800,0.0,1.0
2001-09-17,13.0,13.3,12.5,12.7,9.01039269907946,74400,0.0,1.0
2001-09-18,12.65,12.65,12.25,12.25,8.69112681604122,50800,0.0,1.0
2001-09-19,12.1,12.1,10.95,11.35,8.05259504996472,109700,0.0,1.0
