timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,32.69,32.69,32.12,32.25,10.5502406450313,38500,0.0,1.0
1999-11-02,32.25,32.56,32.19,32.19,10.5306122903429,177000,0.0,1.0
1999-11-03,32.19,32.69,32.19,32.69,10.6941819127465,41000,0.0,1.0
1999-11-04,32.75,32.88,32.38,32.5,10.6320254562331,32900,0.0,1.0
1999-11-05,32.62,33.75,32.62,33.75,11.0409495122421,56200,0.0,1.0
1999-11-08,33.62,33.62,33.0,33.0,10.7955950786367,37000,0.0,1.0
1999-11-09,33.0,33.12,32.0,32.06,10.488084188518,50100,0.0,1.0
1999-11-10,32.0,32.38,32.0,32.06,10.488084188518,43600,0.0,1.0
1999-11-11,32.06,32.19,32.0,32.12,10.5077125432064,40800,0.0,1.0
1999-11-12,32.12,32.38,32.06,32.19,10.5306122903429,29900,0.0,1.0
1999-11-15,32.75,33.31,32.44,32.62,10.67128216561,67600,0.0,1.0
1999-11-16,32.88,33.31,32.81,33.19,10.8577515351501,46000,0.0,1.0
1999-11-17,33.38,33.5,32.5,32.62,10.67128216561,39400,0.0,1.0
1999-11-18,32.75,33.38,32.75,32.81,10.7334386221234,57100,0.0,1.0
1999-11-19,32.94,32.94,32.5,32.56,10.6516538109216,54100,0.0,1.0
1999-11-22,32.56,32.81,31.75,31.88,10.4291991244527,157600,0.0,1.0
1999-11-23,31.94,31.94,31.81,31.88,10.4291991244527,92100,0.0,1.0
1999-11-24,31.81,32.0,31.75,31.81,10.4062993773162,45200,0.0,1.0
1999-11-26,31.69,31.81,31.56,31.62,10.3441429208028,14100,0.0,1.0
1999-11-29,31.5,31.56,30.69,31.06,10.1609449437108,75600,0.0,1.0
1999-11-30,31.19,31.69,31.0,31.38,10.2656295020491,71900,0.0,1.0
1999-12-01,31.25,31.56,31.25,31.31,10.2427297549126,50900,0.0,1.0
1999-12-02,31.19,31.75,31.19,31.62,10.3441429208028,61900,0.0,1.0
1999-12-03,31.62,32.62,31.5,32.56,10.6516538109216,47300,0.0,1.0
1999-12-06,32.62,33.19,32.5,32.62,10.67128216561,72200,0.0,1.0
1999-12-07,32.5,32.94,32.5,32.62,10.67128216561,36900,0.0,1.0
1999-12-08,32.62,33.81,32.62,33.69,11.0213211575537,90400,0.0,1.0
1999-12-09,33.69,33.69,33.19,33.38,10.9199079916634,109600,0.0,1.0
1999-12-10,33.38,33.38,33.06,33.19,10.8577515351501,77600,0.0,1.0
1999-12-13,33.44,33.62,31.88,31.88,10.4291991244527,195400,0.0,1.0
1999-12-14,31.88,31.94,30.56,30.56,9.99737532130721,61100,0.0,1.0
1999-12-15,30.69,31.38,30.62,31.38,10.2656295020491,101900,0.0,1.0
1999-12-16,31.5,32.0,31.38,31.94,10.4488274791411,118100,0.0,1.0
1999-12-17,31.81,32.19,31.19,32.19,10.5306122903429,139000,0.0,1.0
1999-12-20,32.0,32.0,31.5,31.69,10.3670426679393,61300,0.0,1.0
1999-12-21,31.5,31.81,31.44,31.75,10.3866710226277,91800,0.0,1.0
1999-12-22,31.62,32.31,31.62,32.25,10.5502406450313,62600,0.0,1.0
1999-12-23,32.38,33.19,32.38,33.06,10.8152234333251,61900,0.0,1.0
1999-12-27,33.12,33.12,32.25,32.25,10.5502406450313,111600,0.0,1.0
1999-12-28,32.06,32.88,31.81,32.25,10.5502406450313,40500,0.0,1.0
1999-12-29,32.75,33.0,32.62,32.75,10.7138102674349,94500,0.0,1.0
1999-12-30,32.5,32.56,32.12,32.12,10.5404264676871,55400,0.1,1.0
1999-12-31,32.25,32.75,31.62,32.75,10.7471658411193,65900,0.0,1.0
2000-01-03,32.75,33.0,31.5,31.62,10.3763475998838,35700,0.0,1.0
2000-01-04,31.38,31.38,30.38,30.38,9.96943200773147,49600,0.0,1.0
2000-01-05,30.75,31.94,30.69,31.38,10.2975897433382,46200,0.0,1.0
2000-01-06,31.25,31.31,30.69,30.75,10.0908503699059,40600,0.0,1.0
2000-01-07,30.75,31.19,30.62,31.19,10.2352397735729,26200,0.0,1.0
2000-01-10,30.94,31.12,30.38,30.38,9.96943200773147,39800,0.0,1.0
2000-01-11,30.5,30.5,29.62,29.81,9.78238209843565,51400,0.0,1.0
2000-01-12,29.69,29.69,29.25,29.44,9.66096373626117,55200,0.0,1.0
2000-01-13,29.38,31.0,29.38,30.94,10.1532003396712,60900,0.0,1.0
2000-01-14,30.81,31.31,30.25,30.38,9.96943200773147,69800,0.0,1.0
2000-01-18,30.25,30.25,29.31,29.5,9.68065320039757,51700,0.0,1.0
2000-01-19,28.88,28.88,25.94,25.94,8.51241166163773,395200,0.0,1.0
2000-01-20,24.62,24.75,22.44,22.5,7.38354905115069,648100,0.0,1.0
2000-01-21,22.75,24.0,22.75,24.0,7.87578565456074,655600,0.0,1.0
2000-01-24,24.25,25.0,24.06,24.38,8.00048559409128,582600,0.0,1.0
2000-01-25,24.38,24.81,24.0,24.69,8.10221449212936,297600,0.0,1.0
2000-01-26,24.75,24.75,24.06,24.12,7.91516458283354,326600,0.0,1.0
2000-01-27,24.38,24.69,23.88,23.88,7.83640672628793,292300,0.0,1.0
2000-01-28,23.81,23.88,23.0,23.0,7.54762791895404,146200,0.0,1.0
2000-01-31,22.88,23.0,22.62,23.0,7.54762791895404,425600,0.0,1.0
2000-02-01,23.0,23.0,22.88,22.94,7.52793845481764,205000,0.0,1.0
2000-02-02,22.94,23.12,22.94,23.0,7.54762791895404,61400,0.0,1.0
2000-02-03,23.0,23.44,23.0,23.38,7.67232785848458,128900,0.0,1.0
2000-02-04,23.31,23.38,23.25,23.31,7.64935681699212,596300,0.0,1.0
2000-02-07,23.5,23.75,23.5,23.56,7.73139625089379,157700,0.0,1.0
2000-02-08,23.56,23.88,23.56,23.62,7.75108571503019,189600,0.0,1.0
2000-02-09,23.56,23.88,23.56,23.56,7.73139625089379,114700,0.0,1.0
2000-02-10,23.62,23.69,23.38,23.38,7.67232785848458,152900,0.0,1.0
2000-02-11,23.38,23.5,23.31,23.38,7.67232785848458,71200,0.0,1.0
2000-02-14,23.31,23.31,23.06,23.12,7.58700684722684,175500,0.0,1.0
2000-02-15,23.25,23.62,23.25,23.44,7.69201732262099,100600,0.0,1.0
2000-02-16,23.5,23.56,23.38,23.38,7.67232785848458,57800,0.0,1.0
2000-02-17,23.38,23.62,23.38,23.5,7.71170678675739,166700,0.0,1.0
2000-02-18,23.56,23.56,23.0,23.0,7.54762791895404,251400,0.0,1.0
2000-02-22,23.0,24.38,23.0,24.38,8.00048559409128,157600,0.0,1.0
2000-02-23,24.25,24.69,23.75,24.5,8.03986452236409,141000,0.0,1.0
2000-02-24,24.5,24.62,24.31,24.38,8.00048559409128,157700,0.0,1.0
2000-02-25,24.38,25.19,23.88,23.88,7.83640672628793,129300,0.0,1.0
2000-02-28,24.0,24.06,23.56,23.69,7.77405675652266,142900,0.0,1.0
2000-02-29,23.88,23.88,23.12,23.56,7.73139625089379,218000,0.0,1.0
2000-03-01,23.62,24.06,23.56,23.88,7.83640672628793,128000,0.0,1.0
2000-03-02,23.94,23.94,23.56,23.56,7.73139625089379,53800,0.0,1.0
