timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-09-01,25.0,33.68,25.0,31.45,29.1582059021875,1540500,0.0,1.0
2021-09-02,30.82,32.21,29.2,29.2,27.0721657343045,1611200,0.0,1.0
2021-09-03,29.43,29.43,28.14,28.77,26.6735002799979,1720500,0.0,1.0
2021-09-07,29.48,29.99,28.75,28.75,26.6549577007278,1484900,0.0,1.0
2021-09-08,28.66,29.25,28.45,29.0,26.8867399416037,1702600,0.0,1.0
2021-09-09,28.52,29.0,27.19,28.2,26.1450367708009,1130100,0.0,1.0
2021-09-10,28.02,28.26,27.0,27.0,25.0324820145966,1162500,0.0,1.0
2021-09-13,26.53,27.63,26.51,27.4,25.403333599998,898600,0.0,1.0
2021-09-14,27.0,28.46,25.81,26.0,24.105353051093,2357600,0.0,1.0
2021-09-15,25.54,25.7,22.29,24.91,23.0947824808741,7906800,0.0,1.0
2021-09-16,24.0,24.88,24.0,24.7,22.9000853985384,3065000,0.0,1.0
2021-09-17,24.95,26.06,24.95,25.42,23.5676182522609,4088500,0.0,1.0
2021-09-20,24.51,26.5,24.03,26.1,24.1980659474434,15028357,0.0,1.0
2021-09-21,25.9,27.01,25.6,26.53,24.5967314017499,9939058,0.0,1.0
2021-09-22,26.8,26.95,26.03,26.37,24.4483907675893,8743085,0.0,1.0
2021-09-23,26.22,26.9,25.48,26.65,24.7079868773703,5527089,0.0,1.0
2021-09-24,26.66,28.31,26.54,27.9,25.8668980817498,4745356,0.0,1.0
2021-09-27,27.95,28.38,27.23,27.46,25.4589613378082,3571918,0.0,1.0
2021-09-28,27.0,27.18,26.37,26.77,24.8192423529908,4744169,0.0,1.0
2021-09-29,26.78,26.915,25.95,26.75,24.8006997737207,4555160,0.0,1.0
2021-09-30,26.52,26.57,25.9,26.0,24.105353051093,2552239,0.0,1.0
2021-10-01,26.0,26.12,25.57,26.03,24.1331669199981,2021715,0.0,1.0
2021-10-04,25.77,26.44,25.5,26.41,24.4854759261295,1673772,0.0,1.0
2021-10-05,26.24,26.78,25.88,26.38,24.4576620572244,2268399,0.0,1.0
2021-10-06,25.74,27.15,25.74,27.05,25.0788384627718,2540478,0.0,1.0
2021-10-07,26.99,27.94,26.8,27.53,25.5238603652535,2645118,0.0,1.0
2021-10-08,27.4,28.04,27.29,27.75,25.7278287372243,2069567,0.0,1.0
2021-10-11,27.55,28.57,27.55,28.23,26.172850639706,943301,0.0,1.0
2021-10-12,28.2,28.5,27.9,28.28,26.2192070878812,1320595,0.0,1.0
2021-10-13,28.2,28.52,27.75,28.37,26.3026486945965,859334,0.0,1.0
2021-10-14,28.38,29.06,28.21,28.85,26.7476705970782,1476528,0.0,1.0
2021-10-15,28.78,29.035,28.1,28.11,26.0615951640856,1073379,0.0,1.0
2021-10-18,27.57,28.13,27.12,27.99,25.9503396884651,937649,0.0,1.0
2021-10-19,28.0,28.58,27.79,28.52,26.441718039122,550200,0.0,1.0
2021-10-20,28.41,29.035,28.16,28.9,26.7940270452534,1255743,0.0,1.0
2021-10-21,28.9,28.98,28.4759,28.79,26.692042859268,666060,0.0,1.0
2021-10-22,28.64,29.02,28.41,28.87,26.7662131763483,668914,0.0,1.0
2021-10-25,28.95,28.9978,28.42,28.75,26.6549577007278,670503,0.0,1.0
2021-10-26,28.59,29.02,28.45,28.9,26.7940270452534,2383059,0.0,1.0
2021-10-27,28.83,28.83,27.925,28.12,26.0708664537206,1308196,0.0,1.0
2021-10-28,27.98,28.37,27.88,27.98,25.9410683988301,693060,0.0,1.0
2021-10-29,27.95,28.02,26.84,27.07,25.0973810420418,1709598,0.0,1.0
2021-11-01,27.09,27.48,26.94,27.33,25.3384345725528,1137207,0.0,1.0
2021-11-02,27.36,27.94,27.2,27.43,25.4311474689031,959120,0.0,1.0
2021-11-03,27.44,28.21,27.2427,27.96,25.92252581956,914779,0.0,1.0
2021-11-04,27.95,28.0,26.95,27.38,25.3847910207279,1055436,0.0,1.0
2021-11-05,27.36,27.83,27.29,27.4,25.403333599998,651967,0.0,1.0
2021-11-08,27.45,28.12,27.43,27.83,25.8019990543046,751385,0.0,1.0
2021-11-09,27.95,28.02,27.18,27.41,25.4126048896331,1130967,0.0,1.0
2021-11-10,29.0,31.7912,28.28,30.42,28.2032630697788,5090631,0.0,1.0
2021-11-11,30.23,32.93,30.04,32.88,30.4840003199976,2227785,0.0,1.0
2021-11-12,32.47,33.59,32.27,33.11,30.6972399816034,1446824,0.0,1.0
2021-11-15,33.07,34.23,33.06,33.98,31.5038421798515,1450131,0.0,1.0
2021-11-16,33.85,35.12,33.58,34.81,32.2733592195595,1643328,0.0,1.0
2021-11-17,34.58,36.74,34.58,36.36,33.7104091129901,1847348,0.0,1.0
2021-11-18,35.77,36.15,34.63,34.66,32.5978543567858,1389985,0.5,1.0
2021-11-19,34.7,34.86,33.83,33.97,31.9489068811314,1367080,0.0,1.0
2021-11-22,33.72,34.55,33.5,33.95,31.9300968093733,1260394,0.0,1.0
2021-11-23,33.67,35.3,33.5,33.64,31.6385406971227,1231253,0.0,1.0
2021-11-24,33.33,34.275,33.13,34.17,32.1370075987124,605620,0.0,1.0
2021-11-26,33.26,33.26,31.94,32.87,30.9143529344359,1013789,0.0,1.0
2021-11-29,33.13,33.765,32.42,33.15,31.1776939390493,1103266,0.0,1.0
2021-11-30,33.01,33.31,31.66,31.66,29.7763435930709,1378539,0.0,1.0
2021-12-01,32.11,33.82,32.02,32.89,30.933163006194,1616056,0.0,1.0
2021-12-02,32.9,34.07,32.03,34.03,32.0053370964057,1647355,0.0,1.0
2021-12-03,34.0,34.4,33.385,34.15,32.1181975269542,1899439,0.0,1.0
2021-12-06,34.53,39.57,34.19,38.82,36.5103492824704,5104531,0.0,1.0
2021-12-07,37.65,38.68,36.91,37.5,35.2688845464358,2831216,0.0,1.0
2021-12-08,37.53,38.47,36.81,37.99,35.7297313045093,2156557,0.0,1.0
