timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-04-08,20.85,22.84,19.1,20.08,20.08,1063768,0.0,1.0
2020-04-09,20.1,23.1894,20.1,21.57,21.57,150901,0.0,1.0
2020-04-13,22.02,25.85,22.0,23.23,23.23,158230,0.0,1.0
2020-04-14,23.68,27.49,23.68,27.49,27.49,108354,0.0,1.0
2020-04-15,26.98,27.6568,25.1056,27.18,27.18,82445,0.0,1.0
2020-04-16,26.96,27.595,26.6601,27.1191,27.1191,46994,0.0,1.0
2020-04-17,27.26,28.6046,24.5,26.7,26.7,104042,0.0,1.0
2020-04-20,26.98,28.05,25.56,28.0,28.0,170066,0.0,1.0
2020-04-21,27.9,30.6644,27.05,27.06,27.06,57014,0.0,1.0
2020-04-22,27.5,30.25,27.5,28.58,28.58,55747,0.0,1.0
2020-04-23,28.29,29.47,27.81,29.47,29.47,46464,0.0,1.0
2020-04-24,29.38,30.89,29.0,30.59,30.59,62815,0.0,1.0
2020-04-27,30.6,31.3,30.02,30.4,30.4,26823,0.0,1.0
2020-04-28,30.5,31.09,30.3984,30.9,30.9,49206,0.0,1.0
2020-04-29,31.0,31.495,27.725,29.97,29.97,121381,0.0,1.0
2020-04-30,29.47,30.08,28.05,29.55,29.55,12105,0.0,1.0
2020-05-01,29.25,29.47,28.19,28.8,28.8,14104,0.0,1.0
2020-05-04,28.9,30.43,28.6,29.02,29.02,38993,0.0,1.0
2020-05-05,29.5,30.42,28.264,28.8,28.8,35624,0.0,1.0
2020-05-06,28.8,29.2,25.65,27.86,27.86,84395,0.0,1.0
2020-05-07,27.98,29.46,26.31,26.85,26.85,48406,0.0,1.0
2020-05-08,28.01,28.495,27.0,27.385,27.385,36997,0.0,1.0
2020-05-11,27.73,28.0,26.212,27.28,27.28,35629,0.0,1.0
2020-05-12,27.37,32.75,27.37,29.65,29.65,115555,0.0,1.0
2020-05-13,29.5,31.59,27.5,28.75,28.75,43812,0.0,1.0
2020-05-14,28.25,29.185,27.1562,28.18,28.18,37985,0.0,1.0
2020-05-15,27.8,29.87,27.8,28.6,28.6,45216,0.0,1.0
2020-05-18,29.0,30.71,28.355,28.355,28.355,34840,0.0,1.0
2020-05-19,28.54,29.99,26.26,27.41,27.41,38015,0.0,1.0
2020-05-20,28.05,28.7875,25.6,27.65,27.65,105082,0.0,1.0
2020-05-21,27.52,28.0,26.65,27.32,27.32,86015,0.0,1.0
2020-05-22,26.42,27.63,26.335,27.31,27.31,29480,0.0,1.0
2020-05-26,27.5,27.5,26.0744,26.76,26.76,16740,0.0,1.0
2020-05-27,27.0,31.0,26.49,28.42,28.42,54229,0.0,1.0
2020-05-28,28.5,28.73,27.02,28.0,28.0,32138,0.0,1.0
2020-05-29,27.82,30.0,25.84,28.74,28.74,78693,0.0,1.0
2020-06-01,28.6,30.0,27.5,29.5,29.5,31306,0.0,1.0
2020-06-02,29.77,32.3,29.2,31.98,31.98,50459,0.0,1.0
2020-06-03,33.06,36.75,30.23,34.44,34.44,75328,0.0,1.0
2020-06-04,34.14,35.41,32.21,32.22,32.22,47473,0.0,1.0
2020-06-05,33.51,34.165,31.69,31.83,31.83,42937,0.0,1.0
2020-06-08,32.09,35.95,28.88,35.1,35.1,76173,0.0,1.0
2020-06-09,34.59,37.4,33.415,35.81,35.81,56525,0.0,1.0
2020-06-10,35.54,36.2,34.5035,35.52,35.52,84927,0.0,1.0
2020-06-11,34.34,34.34,33.025,33.72,33.72,156510,0.0,1.0
2020-06-12,33.4,35.625,33.4,34.3,34.3,43508,0.0,1.0
2020-06-15,34.18,39.115,33.98,35.56,35.56,119300,0.0,1.0
2020-06-16,36.67,37.0,35.5698,35.94,35.94,107932,0.0,1.0
2020-06-17,36.09,37.0,35.25,35.29,35.29,114386,0.0,1.0
2020-06-18,35.0,37.0,33.82,36.77,36.77,121147,0.0,1.0
2020-06-19,36.8,40.63,35.91,38.52,38.52,465189,0.0,1.0
2020-06-22,38.2,40.2,36.3101,37.65,37.65,181700,0.0,1.0
2020-06-23,38.09,41.98,37.5,40.21,40.21,220418,0.0,1.0
2020-06-24,40.7,41.9159,37.0,39.0,39.0,141330,0.0,1.0
2020-06-25,39.54,42.26,39.36,40.39,40.39,150389,0.0,1.0
2020-06-26,40.85,41.5,37.695,38.63,38.63,899904,0.0,1.0
2020-06-29,39.53,40.02,37.39,38.0,38.0,78200,0.0,1.0
2020-06-30,37.75,38.75,36.16,37.51,37.51,82700,0.0,1.0
2020-07-01,36.07,39.2,35.51,36.46,36.46,183000,0.0,1.0
2020-07-02,36.81,37.78,34.8,35.8,35.8,75500,0.0,1.0
2020-07-06,36.37,36.37,34.04,34.62,34.62,66800,0.0,1.0
2020-07-07,34.68,35.17,33.56,33.71,33.71,30400,0.0,1.0
2020-07-08,33.51,34.77,33.05,34.4,34.4,71000,0.0,1.0
2020-07-09,34.6,36.56,33.21,33.43,33.43,40400,0.0,1.0
2020-07-10,33.19,33.58,31.36,32.75,32.75,101400,0.0,1.0
2020-07-13,33.47,33.52,30.3,30.8,30.8,78600,0.0,1.0
2020-07-14,30.61,31.67,30.32,31.2,31.2,36400,0.0,1.0
2020-07-15,31.76,31.9,28.97,29.96,29.96,89800,0.0,1.0
2020-07-16,29.75,31.89,29.73,31.22,31.22,174300,0.0,1.0
2020-07-17,30.87,31.32,30.02,30.07,30.07,33200,0.0,1.0
2020-07-20,29.93,30.435,29.5,29.52,29.52,33019,0.0,1.0
2020-07-21,29.58,30.57,29.25,29.41,29.41,44686,0.0,1.0
2020-07-22,29.26,29.84,28.32,29.23,29.23,70333,0.0,1.0
2020-07-23,28.61,28.61,26.83,27.87,27.87,71673,0.0,1.0
2020-07-24,28.01,28.15,26.92,27.04,27.04,21931,0.0,1.0
2020-07-27,27.15,31.59,26.29,29.74,29.74,169681,0.0,1.0
2020-07-28,29.61,30.795,27.527,28.9,28.9,211771,0.0,1.0
2020-07-29,28.375,32.52,25.71,30.44,30.44,161503,0.0,1.0
2020-07-30,29.82,32.51,28.02,30.64,30.64,149562,0.0,1.0
2020-07-31,30.48,33.08,29.02,32.1,32.1,49609,0.0,1.0
2020-08-03,32.06,33.99,30.26,32.43,32.43,222469,0.0,1.0
2020-08-04,32.38,34.5446,31.42,32.5,32.5,108996,0.0,1.0
2020-08-05,32.73,38.25,31.585,35.97,35.97,79229,0.0,1.0
2020-08-06,36.01,36.01,34.4,35.81,35.81,12380,0.0,1.0
2020-08-07,35.35,36.83,34.65,36.3,36.3,33828,0.0,1.0
2020-08-10,36.23,38.13,35.4,36.16,36.16,32546,0.0,1.0
2020-08-11,36.5,38.23,34.88,35.93,35.93,193961,0.0,1.0
2020-08-12,36.33,37.6,34.945,36.01,36.01,53963,0.0,1.0
2020-08-13,36.0,39.93,35.49,39.05,39.05,151306,0.0,1.0
2020-08-14,39.0,39.15,37.4963,38.58,38.58,28923,0.0,1.0
2020-08-17,34.83,40.59,34.83,40.35,40.35,32442,0.0,1.0
2020-08-18,40.39,41.46,39.2,40.63,40.63,26473,0.0,1.0
2020-08-19,40.2,44.3506,39.69,41.65,41.65,147169,0.0,1.0
2020-08-20,41.6,48.0,40.12,46.18,46.18,165510,0.0,1.0
2020-08-21,45.89,48.88,44.6162,45.58,45.58,41746,0.0,1.0
2020-08-24,45.6,48.965,44.05,48.25,48.25,111656,0.0,1.0
2020-08-25,49.07,65.5,46.5,62.21,62.21,201685,0.0,1.0
2020-08-26,61.07,61.07,51.92,53.56,53.56,143117,0.0,1.0
2020-08-27,53.56,58.12,52.42,52.79,52.79,74889,0.0,1.0
2020-08-28,52.53,59.9,48.356,53.06,53.06,158794,0.0,1.0
2020-08-31,52.7,55.09,50.0,53.54,53.54,95811,0.0,1.0
2020-09-01,52.7,54.025,50.145,53.43,53.43,45325,0.0,1.0
2020-09-02,54.66,57.58,51.51,55.95,55.95,107865,0.0,1.0
2020-09-03,56.5,57.0,50.05,50.77,50.77,90276,0.0,1.0
2020-09-04,50.41,50.85,47.29,49.06,49.06,53066,0.0,1.0
2020-09-08,48.8,50.17,44.79,48.5,48.5,62936,0.0,1.0
2020-09-09,48.62,53.145,47.84,49.51,49.51,73609,0.0,1.0
2020-09-10,49.91,51.55,46.14,47.25,47.25,29217,0.0,1.0
2020-09-11,47.25,47.95,43.5775,44.51,44.51,42488,0.0,1.0
2020-09-14,46.83,47.32,44.51,45.08,45.08,59618,0.0,1.0
2020-09-15,45.34,47.57,43.77,45.91,45.91,107767,0.0,1.0
2020-09-16,47.02,47.5,44.63,45.79,45.79,39517,0.0,1.0
2020-09-17,44.37,46.19,44.33,44.99,44.99,39964,0.0,1.0
2020-09-18,45.94,47.12,42.36,45.19,45.19,166462,0.0,1.0
2020-09-21,44.52,45.25,41.44,43.02,43.02,110625,0.0,1.0
2020-09-22,43.41,44.2684,39.895,42.55,42.55,70654,0.0,1.0
2020-09-23,42.14,43.27,41.095,41.25,41.25,32594,0.0,1.0
2020-09-24,40.95,44.9599,39.43,41.15,41.15,32617,0.0,1.0
2020-09-25,41.19,42.2516,40.375,40.61,40.61,24550,0.0,1.0
2020-09-28,40.9,42.8,39.39,39.81,39.81,39379,0.0,1.0
2020-09-29,39.655,41.08,38.3,39.38,39.38,28393,0.0,1.0
2020-09-30,39.34,40.2211,38.1,38.57,38.57,39799,0.0,1.0
2020-10-01,38.78,39.205,36.85,37.61,37.61,78177,0.0,1.0
2020-10-02,37.16,39.36,36.22,36.76,36.76,88851,0.0,1.0
2020-10-05,37.2,38.49,34.51,36.14,36.14,429635,0.0,1.0
2020-10-06,36.57,37.78,34.17,36.0,36.0,297296,0.0,1.0
2020-10-07,36.32,40.89,36.32,40.0,40.0,52564,0.0,1.0
2020-10-08,40.69,47.9899,39.44,46.32,46.32,445043,0.0,1.0
2020-10-09,46.71,48.85,44.0,45.62,45.62,330322,0.0,1.0
