timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,22.75,23.25,22.38,23.19,7.99345065101729,1480000,0.0,1.0
1999-11-02,23.25,23.25,22.06,22.25,7.66943842109249,871950,0.0,1.0
1999-11-03,21.75,22.38,21.5,22.13,7.62807515769783,927800,0.0,1.0
1999-11-04,22.13,22.19,21.63,22.0,7.58326495568695,530150,0.0,1.0
1999-11-05,22.13,22.19,20.94,21.25,7.32474455947035,788900,0.0,1.0
1999-11-08,21.38,22.94,21.38,22.88,7.88659555391443,1708350,0.0,1.0
1999-11-09,24.38,24.94,24.13,24.88,8.5759832771587,1582950,0.0,1.0
1999-11-10,25.13,26.19,25.0,26.0,8.96204040217549,2021350,0.0,1.0
1999-11-11,25.5,25.56,24.56,24.63,8.48980981175317,1327250,0.0,1.0
1999-11-12,24.75,27.19,24.69,26.88,9.26537100040297,1975100,0.0,1.0
1999-11-15,26.88,28.25,26.56,28.25,9.73760159082529,2277600,0.0,1.0
1999-11-16,28.25,28.94,27.69,28.44,9.8030934245335,2145100,0.0,1.0
1999-11-17,28.69,30.06,28.63,29.88,10.2994525852694,2726600,0.0,1.0
1999-11-18,30.0,30.0,28.81,29.13,10.0409321890528,2154150,0.0,1.0
1999-11-19,29.75,29.94,28.88,29.0,9.99612198704189,2444750,0.0,1.0
1999-11-22,29.25,30.31,28.69,28.88,9.95475872364723,2308350,0.0,1.0
1999-11-23,28.63,28.69,27.56,27.94,9.63074649372243,1840100,0.0,1.0
1999-11-24,27.94,29.38,27.81,28.5,9.82377505623082,1427600,0.0,1.0
1999-11-26,28.75,28.75,28.06,28.25,9.73760159082529,232250,0.0,1.0
1999-11-29,27.75,27.75,26.88,27.25,9.39290772920316,992300,0.0,1.0
1999-11-30,26.94,28.44,26.94,27.88,9.6100648620251,1665200,0.0,1.0
1999-12-01,27.88,30.75,27.88,30.56,10.5338444111724,1941250,0.0,1.0
1999-12-02,29.94,30.13,28.69,29.63,10.2132791198638,2356300,0.0,1.0
