timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,48.94,49.88,48.94,49.44,11.4122129196175,139000,0.0,1.0
1999-11-02,49.31,50.31,49.31,49.94,11.52762769429,121700,0.0,1.0
1999-11-03,49.94,50.38,49.75,49.75,11.4837700799144,43500,0.0,1.0
1999-11-04,50.0,52.0,50.0,51.5,11.8877217912682,137600,0.0,1.0
1999-11-05,51.5,52.31,51.5,51.88,11.9754370200193,136800,0.0,1.0
1999-11-08,51.94,52.19,51.62,51.62,11.9154213371896,49700,0.0,1.0
1999-11-09,51.69,52.69,51.62,52.25,12.060843953277,80300,0.0,1.0
1999-11-10,52.5,52.94,52.06,52.12,12.0308361118621,106400,0.0,1.0
1999-11-11,52.12,52.44,52.06,52.06,12.0169863389014,35400,0.0,1.0
1999-11-12,51.81,52.38,50.81,52.19,12.0469941803163,109400,0.0,1.0
1999-11-15,52.25,52.31,51.88,52.31,12.0746937262377,74600,0.0,1.0
1999-11-16,52.31,52.44,51.56,51.88,11.9754370200193,74400,0.0,1.0
1999-11-17,51.94,52.19,51.38,51.44,11.8738720183075,79300,0.0,1.0
1999-11-18,51.5,52.25,51.31,52.19,12.0469941803163,66900,0.0,1.0
1999-11-19,52.06,52.19,51.5,51.5,11.8877217912682,97900,0.0,1.0
1999-11-22,51.5,51.81,51.31,51.31,11.8438641768927,63800,0.0,1.0
1999-11-23,51.38,51.38,49.62,49.69,11.4699203069537,59700,0.0,1.0
1999-11-24,49.88,50.25,49.88,50.06,11.5553272402114,52900,0.0,1.0
1999-11-26,50.06,50.19,50.0,50.19,11.5853350816262,24600,0.0,1.0
1999-11-29,50.31,50.31,49.0,49.44,11.4122129196175,57100,0.0,1.0
1999-11-30,49.38,50.38,49.38,50.06,11.5553272402114,126300,0.0,1.0
1999-12-01,50.06,50.19,49.81,49.94,11.52762769429,41600,0.0,1.0
1999-12-02,49.94,50.75,49.94,50.44,11.6430424689625,43200,0.0,1.0
