timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-11-19,21.15,22.89,19.5,21.87,21.87,2749774,0.0,1.0
2020-11-20,22.05,22.16,20.12,20.75,20.75,401301,0.0,1.0
2020-11-23,21.0,21.24,19.71,19.94,19.94,294358,0.0,1.0
2020-11-24,19.85,21.0,18.67,20.1,20.1,492818,0.0,1.0
2020-11-25,20.15,22.16,20.04,20.72,20.72,257262,0.0,1.0
2020-11-27,21.75,22.01,20.9101,21.54,21.54,261016,0.0,1.0
2020-11-30,21.89,22.4117,21.5,21.92,21.92,240738,0.0,1.0
2020-12-01,22.11,24.27,21.75,23.42,23.42,608723,0.0,1.0
2020-12-02,23.5,23.65,22.22,22.75,22.75,225353,0.0,1.0
2020-12-03,22.75,23.15,21.19,21.85,21.85,268490,0.0,1.0
2020-12-04,21.88,22.5,21.02,21.74,21.74,191001,0.0,1.0
2020-12-07,21.7,22.15,21.08,21.59,21.59,170574,0.0,1.0
2020-12-08,21.59,21.97,20.2262,20.3,20.3,165793,0.0,1.0
2020-12-09,20.82,21.37,19.27,20.65,20.65,143406,0.0,1.0
2020-12-10,20.5,20.7351,19.91,20.1,20.1,77924,0.0,1.0
2020-12-11,20.0,20.45,19.99,20.2,20.2,138383,0.0,1.0
2020-12-14,20.74,22.15,20.74,21.88,21.88,360496,0.0,1.0
2020-12-15,22.08,23.0,21.8683,22.14,22.14,328645,0.0,1.0
2020-12-16,22.47,23.75,22.0595,22.63,22.63,298393,0.0,1.0
2020-12-17,22.98,24.88,22.68,24.23,24.23,270424,0.0,1.0
2020-12-18,24.95,27.5,24.95,27.25,27.25,579545,0.0,1.0
2020-12-21,27.0,29.74,26.9454,29.05,29.05,420974,0.0,1.0
2020-12-22,29.33,31.71,28.85,30.79,30.79,246005,0.0,1.0
2020-12-23,30.55,33.74,30.55,33.5,33.5,277498,0.0,1.0
2020-12-24,34.81,36.4,33.81,35.45,35.45,234369,0.0,1.0
2020-12-28,35.9,37.0,35.6,35.68,35.68,206661,0.0,1.0
2020-12-29,35.27,36.17,33.25,34.46,34.46,214049,0.0,1.0
