timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-31,18.0,22.95,17.52,22.07,22.07,8294593,0.0,1.0
2020-02-03,22.51,25.21,21.66,22.8,22.8,3764727,0.0,1.0
2020-02-04,23.44,24.66,22.73,23.79,23.79,1892352,0.0,1.0
2020-02-05,24.33,24.86,23.7,24.14,24.14,1361728,0.0,1.0
2020-02-06,24.0,26.0,24.0,25.0,25.0,3084017,0.0,1.0
2020-02-07,25.38,27.89,25.03,26.69,26.69,1481365,0.0,1.0
2020-02-10,27.54,28.58,24.75,25.19,25.19,1882218,0.0,1.0
2020-02-11,25.5,25.73,23.56,24.71,24.71,1175914,0.0,1.0
2020-02-12,24.81,25.25,23.8,23.86,23.86,1658224,0.0,1.0
2020-02-13,23.74,24.2793,20.24,20.69,20.69,3101111,0.0,1.0
2020-02-14,21.16,22.73,21.16,22.55,22.55,1029317,0.0,1.0
2020-02-18,22.89,23.35,22.31,23.04,23.04,545816,0.0,1.0
2020-02-19,23.18,25.4399,23.02,25.0,25.0,1141952,0.0,1.0
2020-02-20,24.96,24.966,22.63,24.49,24.49,738375,0.0,1.0
2020-02-21,24.43,24.49,23.4789,24.0,24.0,294453,0.0,1.0
2020-02-24,23.17,23.99,22.24,22.29,22.29,574517,0.0,1.0
2020-02-25,23.05,23.84,21.51,23.64,23.64,930722,0.0,1.0
2020-02-26,23.85,24.0,22.62,22.98,22.98,664996,0.0,1.0
2020-02-27,23.0,23.25,21.76,22.45,22.45,703815,0.0,1.0
2020-02-28,22.11,22.83,21.04,21.62,21.62,540551,0.0,1.0
2020-03-02,21.71,22.6,19.64,20.42,20.42,995221,0.0,1.0
2020-03-03,20.46,20.8488,19.72,20.08,20.08,873912,0.0,1.0
2020-03-04,20.48,21.76,20.3,21.47,21.47,578248,0.0,1.0
2020-03-05,21.5,24.17,21.01,23.95,23.95,1075293,0.0,1.0
2020-03-06,24.06,24.35,22.5,23.6,23.6,867646,0.0,1.0
2020-03-09,21.95,22.88,21.43,22.3,22.3,449812,0.0,1.0
2020-03-10,22.89,25.71,22.11,25.64,25.64,1243166,0.0,1.0
2020-03-11,26.31,27.7,23.29,24.3,24.3,1114274,0.0,1.0
2020-03-12,22.4,23.65,18.02,19.1,19.1,992932,0.0,1.0
2020-03-13,20.7,21.85,16.16,21.3,21.3,1312262,0.0,1.0
2020-03-16,17.18,22.75,17.18,20.51,20.51,1126227,0.0,1.0
2020-03-17,20.96,22.4799,19.6646,21.35,21.35,1000237,0.0,1.0
2020-03-18,20.31,21.6428,16.21,17.71,17.71,1344662,0.0,1.0
2020-03-19,17.3,18.42,15.0,16.51,16.51,1985192,0.0,1.0
2020-03-20,16.86,21.88,16.81,19.49,19.49,4063971,0.0,1.0
2020-03-23,19.95,20.45,18.6,20.12,20.12,1180144,0.0,1.0
