timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-21,28.0,30.245,24.0,26.05,26.05,10593568,0.0,1.0
2021-07-22,25.5,28.0,25.192,27.01,27.01,1416746,0.0,1.0
2021-07-23,27.0,27.47,26.1204,27.0,27.0,628937,0.0,1.0
2021-07-26,27.5,29.45,26.66,28.48,28.48,814479,0.0,1.0
2021-07-27,28.99,29.19,26.27,27.25,27.25,2202283,0.0,1.0
2021-07-28,26.77,28.11,26.51,27.3,27.3,696417,0.0,1.0
2021-07-29,27.36,29.25,27.14,28.48,28.48,642836,0.0,1.0
2021-07-30,28.71,29.0,27.22,27.5,27.5,563237,0.0,1.0
2021-08-02,27.86,28.25,27.3539,28.21,28.21,274208,0.0,1.0
2021-08-03,28.25,28.54,27.63,28.07,28.07,219620,0.0,1.0
2021-08-04,27.99,28.94,27.9606,28.65,28.65,300212,0.0,1.0
2021-08-05,28.65,29.92,28.06,29.79,29.79,565747,0.0,1.0
2021-08-06,30.0,30.76,29.93,30.31,30.31,322307,0.0,1.0
2021-08-09,30.08,32.81,30.03,32.38,32.38,266269,0.0,1.0
2021-08-10,32.83,32.97,31.78,32.75,32.75,232652,0.0,1.0
2021-08-11,32.6,34.49,32.58,34.14,34.14,483750,0.0,1.0
2021-08-12,34.39,36.96,34.13,34.67,34.67,680947,0.0,1.0
2021-08-13,34.67,35.6538,34.32,35.15,35.15,411062,0.0,1.0
2021-08-16,35.32,37.55,35.11,36.49,36.49,479043,0.0,1.0
2021-08-17,36.52,37.07,34.88,35.4,35.4,207539,0.0,1.0
2021-08-18,35.39,37.09,35.1001,36.16,36.16,230350,0.0,1.0
2021-08-19,35.9,36.9684,34.51,34.89,34.89,277458,0.0,1.0
2021-08-20,35.12,38.18,34.7984,36.8,36.8,474195,0.0,1.0
2021-08-23,37.1,39.57,36.9,38.86,38.86,221324,0.0,1.0
2021-08-24,39.37,39.7067,35.17,37.47,37.47,636882,0.0,1.0
2021-08-25,37.25,38.1,35.66,37.99,37.99,181895,0.0,1.0
2021-08-26,37.33,37.8624,36.21,36.58,36.58,145111,0.0,1.0
2021-08-27,36.74,37.97,36.65,37.66,37.66,295023,0.0,1.0
2021-08-30,37.99,38.5,36.11,37.8,37.8,231220,0.0,1.0
2021-08-31,38.37,38.835,36.77,36.95,36.95,420251,0.0,1.0
2021-09-01,37.37,38.5693,36.0,36.46,36.46,481052,0.0,1.0
2021-09-02,36.42,36.775,34.74,34.84,34.84,251703,0.0,1.0
2021-09-03,35.36,36.27,34.85,35.7,35.7,121865,0.0,1.0
2021-09-07,35.72,36.4022,33.09,33.59,33.59,471611,0.0,1.0
2021-09-08,33.55,33.76,32.66,33.07,33.07,587313,0.0,1.0
2021-09-09,33.09,33.9236,32.78,32.8,32.8,405217,0.0,1.0
2021-09-10,32.88,33.6399,31.61,31.77,31.77,166219,0.0,1.0
2021-09-13,31.78,32.055,29.045,29.43,29.43,303547,0.0,1.0
2021-09-14,29.99,30.5697,28.06,29.39,29.39,378007,0.0,1.0
2021-09-15,29.3,31.61,28.65,31.06,31.06,648100,0.0,1.0
2021-09-16,30.9,31.83,30.19,31.14,31.14,450516,0.0,1.0
2021-09-17,31.14,31.83,30.52,30.67,30.67,2744633,0.0,1.0
2021-09-20,29.93,32.63,29.88,31.49,31.49,359897,0.0,1.0
2021-09-21,31.88,34.17,31.5,33.71,33.71,498271,0.0,1.0
2021-09-22,33.77,33.94,32.48,33.56,33.56,402183,0.0,1.0
2021-09-23,33.6,35.38,32.151,35.01,35.01,659236,0.0,1.0
2021-09-24,34.96,36.18,34.4702,35.21,35.21,288795,0.0,1.0
2021-09-27,35.01,35.15,34.5,35.08,35.08,261782,0.0,1.0
2021-09-28,34.71,34.885,32.8,33.39,33.39,409033,0.0,1.0
2021-09-29,33.69,33.83,32.25,33.62,33.62,201901,0.0,1.0
2021-09-30,33.74,35.36,33.74,35.16,35.16,279803,0.0,1.0
2021-10-01,35.12,36.44,34.28,36.28,36.28,261715,0.0,1.0
2021-10-04,35.7,36.62,34.58,34.65,34.65,252486,0.0,1.0
