timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,13.56,13.56,13.5,13.5,2.8149868150755,7000,0.0,1.0
1999-11-02,13.5,13.5,13.5,13.5,2.8149868150755,2000,0.0,1.0
1999-11-03,13.56,13.88,13.56,13.88,2.89422348098133,1100,0.0,1.0
1999-11-04,13.81,14.0,13.75,13.81,2.87962725305131,8700,0.0,1.0
1999-11-05,13.75,13.81,13.69,13.81,2.87962725305131,7600,0.0,1.0
1999-11-08,13.75,13.75,13.56,13.75,2.86711620053986,9600,0.0,1.0
1999-11-09,13.69,13.81,13.63,13.69,2.85460514802841,8300,0.0,1.0
1999-11-10,13.75,14.0,13.75,13.88,2.89422348098133,4600,0.0,1.0
1999-11-11,13.75,14.0,13.75,13.88,2.89422348098133,35000,0.0,1.0
1999-11-12,13.88,13.88,13.75,13.75,2.86711620053986,6600,0.0,1.0
1999-11-15,13.75,14.0,13.75,13.75,2.86711620053986,18900,0.0,1.0
1999-11-16,13.69,13.81,13.5,13.56,2.82749786758695,12800,0.0,1.0
1999-11-17,13.56,13.56,13.38,13.5,2.8149868150755,5700,0.0,1.0
1999-11-18,13.38,13.69,13.31,13.56,2.82749786758695,5000,0.0,1.0
1999-11-19,13.63,13.63,13.38,13.5,2.8149868150755,13500,0.0,1.0
1999-11-22,13.38,13.56,13.25,13.25,2.76285742961114,35400,0.0,1.0
1999-11-23,13.19,13.19,13.0,13.06,2.72323909665822,5300,0.0,1.0
1999-11-24,13.06,13.25,13.0,13.0,2.71072804414678,36100,0.0,1.0
1999-11-26,13.13,13.13,12.69,12.88,2.68570593912388,4400,0.0,1.0
1999-11-29,12.81,13.06,12.75,12.88,2.68570593912388,20000,0.0,1.0
1999-11-30,12.88,13.0,12.75,13.0,2.71072804414678,18500,0.0,1.0
1999-12-01,13.13,13.13,12.75,12.75,2.65859865868242,6300,0.0,1.0
1999-12-02,12.44,12.5,12.0,12.19,2.54182883524225,21800,0.0,1.0
1999-12-03,12.25,12.38,12.06,12.19,2.54182883524225,6100,0.0,1.0
1999-12-06,12.25,12.44,12.06,12.19,2.54182883524225,9500,0.0,1.0
1999-12-07,12.19,12.19,11.88,11.88,2.47718839726644,20200,0.0,1.0
1999-12-08,12.0,12.0,11.94,11.94,2.48969944977789,4000,0.0,1.0
1999-12-09,12.0,12.06,11.75,12.06,2.51472155480078,8100,0.0,1.0
1999-12-10,12.0,12.38,11.88,12.19,2.54182883524225,11800,0.0,1.0
1999-12-13,12.19,12.31,12.13,12.25,2.55433988775369,16900,0.0,1.0
1999-12-14,12.38,12.38,12.0,12.0,2.50221050228933,12800,0.0,1.0
1999-12-15,12.0,12.06,11.81,12.0,2.50221050228933,21600,0.0,1.0
1999-12-16,11.88,12.0,11.81,11.88,2.47718839726644,7800,0.0,1.0
1999-12-17,11.88,12.38,11.88,12.0,2.50221050228933,19100,0.0,1.0
1999-12-20,12.0,12.63,12.0,12.56,2.6189803257295,37000,0.0,1.0
1999-12-21,12.44,12.56,12.38,12.44,2.59395822070661,31300,0.0,1.0
1999-12-22,12.56,12.56,12.25,12.38,2.58144716819516,37100,0.0,1.0
1999-12-23,12.5,12.63,12.31,12.5,2.60646927321805,4800,0.0,1.0
1999-12-27,12.5,13.25,12.5,13.0,2.71072804414678,24600,0.0,1.0
1999-12-28,12.88,12.88,12.5,12.5,2.60646927321805,7500,0.0,1.0
1999-12-29,12.19,12.5,12.19,12.44,2.68153558828673,24900,0.42,1.0
1999-12-30,12.5,12.75,12.25,12.38,2.66860213689628,36600,0.0,1.0
1999-12-31,12.38,12.63,12.38,12.63,2.72249151768983,18600,0.0,1.0
2000-01-03,12.62,12.62,12.5,12.56,2.70740249106764,9700,0.0,1.0
2000-01-04,12.69,13.0,12.69,12.94,2.78931434987382,17900,0.0,1.0
2000-01-05,12.94,12.94,12.5,12.75,2.74835842047073,4900,0.0,1.0
2000-01-06,12.56,12.56,12.38,12.5,2.69446903967719,3400,0.0,1.0
2000-01-07,12.44,12.69,12.44,12.63,2.72249151768983,206900,0.0,1.0
2000-01-10,12.63,12.69,12.44,12.5,2.69446903967719,8800,0.0,1.0
2000-01-11,12.5,12.5,12.5,12.5,2.69446903967719,5600,0.0,1.0
2000-01-12,12.5,13.5,12.31,13.5,2.91002656285136,14300,0.0,1.0
2000-01-13,13.63,13.75,13.5,13.5,2.91002656285136,3900,0.0,1.0
2000-01-14,13.69,13.75,13.5,13.63,2.938049040864,16500,0.0,1.0
