timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-11-18,52.0,56.2,46.01,49.5,49.5,11489584,0.0,1.0
2021-11-19,45.5,53.2218,43.23,53.0,53.0,2766921,0.0,1.0
2021-11-22,51.52,51.8,44.113,44.38,44.38,1659043,0.0,1.0
2021-11-23,44.84,46.82,39.0,39.38,39.38,1678829,0.0,1.0
2021-11-24,38.0,43.35,37.5,41.01,41.01,2234578,0.0,1.0
2021-11-26,40.0,40.5535,38.19,40.05,40.05,438167,0.0,1.0
2021-11-29,40.94,42.27,39.61,41.75,41.75,442742,0.0,1.0
2021-11-30,41.9,44.22,38.18,38.18,38.18,541358,0.0,1.0
2021-12-01,38.5,38.9,32.57,32.66,32.66,1548710,0.0,1.0
2021-12-02,33.54,33.92,29.9,30.67,30.67,3044521,0.0,1.0
2021-12-03,30.4,31.32,24.33,24.82,24.82,3628755,0.0,1.0
2021-12-06,25.6,27.45,24.66,27.42,27.42,1943313,0.0,1.0
2021-12-07,28.52,31.6,27.6,30.9,30.9,1582667,0.0,1.0
2021-12-08,31.16,34.49,30.8,33.0,33.0,1441839,0.0,1.0
2021-12-09,33.0,33.2591,30.2,30.46,30.46,988455,0.0,1.0
2021-12-10,30.5,32.5,30.0,31.94,31.94,834891,0.0,1.0
2021-12-13,32.7,33.85,28.66,29.52,29.52,986993,0.0,1.0
2021-12-14,29.5,30.5991,28.36,29.75,29.75,855911,0.0,1.0
2021-12-15,30.18,31.83,29.15,30.81,30.81,382177,0.0,1.0
2021-12-16,31.26,31.5,28.61,30.06,30.06,1251250,0.0,1.0
2021-12-17,29.0,30.29,27.39,27.95,27.95,1371147,0.0,1.0
2021-12-20,26.82,28.42,26.06,27.14,27.14,735514,0.0,1.0
2021-12-21,27.16,28.9,26.08,28.8,28.8,754803,0.0,1.0
2021-12-22,28.8,32.49,28.6,29.81,29.81,1125794,0.0,1.0
2021-12-23,29.5,32.32,29.5,31.36,31.36,458677,0.0,1.0
2021-12-27,31.17,36.33,31.13,35.03,35.03,1308303,0.0,1.0
2021-12-28,34.88,34.88,30.51,30.84,30.84,990582,0.0,1.0
2021-12-29,30.61,33.03,29.65,31.39,31.39,475933,0.0,1.0
2021-12-30,31.8,34.43,31.2503,32.02,32.02,503686,0.0,1.0
2021-12-31,32.0,33.44,31.55,32.0,32.0,385866,0.0,1.0
2022-01-03,32.66,32.77,30.95,31.48,31.48,617258,0.0,1.0
2022-01-04,31.3,32.07,28.78,30.31,30.31,926747,0.0,1.0
2022-01-05,30.0,30.46,25.63,26.05,26.05,1536504,0.0,1.0
2022-01-06,26.71,27.4572,24.89,26.99,26.99,1515391,0.0,1.0
2022-01-07,26.21,27.51,25.08,27.05,27.05,970318,0.0,1.0
2022-01-10,26.53,27.68,25.52,27.22,27.22,784060,0.0,1.0
2022-01-11,27.22,28.51,26.96,27.41,27.41,411652,0.0,1.0
2022-01-12,27.86,28.91,27.16,27.91,27.91,577847,0.0,1.0
2022-01-13,28.1,28.7,27.01,27.19,27.19,972540,0.0,1.0
2022-01-14,26.57,28.45,25.55,26.21,26.21,707979,0.0,1.0
2022-01-18,25.3,25.9,22.81,23.68,23.68,1710422,0.0,1.0
2022-01-19,24.41,26.5,23.8,25.01,25.01,828351,0.0,1.0
2022-01-20,25.32,27.35,24.61,24.83,24.83,921177,0.0,1.0
2022-01-21,24.24,25.11,23.1,24.55,24.55,636758,0.0,1.0
2022-01-24,23.22,30.95,21.3,30.28,30.28,2788264,0.0,1.0
2022-01-25,28.13,32.0,26.49,31.0,31.0,1652549,0.0,1.0
2022-01-26,31.0,33.24,30.3,31.2,31.2,1669165,0.0,1.0
2022-01-27,31.13,31.27,27.34,28.49,28.49,665266,0.0,1.0
2022-01-28,27.98,29.71,27.16,29.2,29.2,547991,0.0,1.0
2022-01-31,29.0,31.11,28.4237,30.25,30.25,606101,0.0,1.0
2022-02-01,30.57,32.4,29.71,30.65,30.65,830302,0.0,1.0
2022-02-02,31.02,31.02,27.0,28.0,28.0,925166,0.0,1.0
2022-02-03,27.26,28.78,25.31,26.47,26.47,707644,0.0,1.0
2022-02-04,26.59,27.6386,25.77,26.8,26.8,378239,0.0,1.0
2022-02-07,26.72,29.2,26.26,26.57,26.57,515774,0.0,1.0
2022-02-08,26.39,29.47,26.05,28.8,28.8,536460,0.0,1.0
2022-02-09,29.12,30.7,28.87,29.89,29.89,528413,0.0,1.0
2022-02-10,28.64,33.26,28.62,30.55,30.55,790560,0.0,1.0
2022-02-11,30.57,31.7,27.16,27.35,27.35,444085,0.0,1.0
2022-02-14,27.55,29.41,26.75,27.19,27.19,556558,0.0,1.0
2022-02-15,27.5,29.07,27.47,28.74,28.74,472619,0.0,1.0
2022-02-16,27.69,28.17,26.8,27.8,27.8,645072,0.0,1.0
2022-02-17,27.1,27.97,25.75,25.93,25.93,644661,0.0,1.0
2022-02-18,26.0,26.275,23.315,24.23,24.23,1585160,0.0,1.0
2022-02-22,24.14,25.61,23.6,24.44,24.44,973752,0.0,1.0
2022-02-23,24.64,25.067,23.401,24.09,24.09,1279199,0.0,1.0
2022-02-24,23.18,25.25,22.84,25.05,25.05,1103885,0.0,1.0
2022-02-25,24.87,25.74,23.63,24.13,24.13,947226,0.0,1.0
2022-02-28,24.09,26.0,23.1,25.33,25.33,916745,0.0,1.0
2022-03-01,25.33,25.7,22.66,23.01,23.01,801464,0.0,1.0
2022-03-02,23.69,24.125,22.12,24.08,24.08,946081,0.0,1.0
2022-03-03,23.58,24.19,21.18,21.35,21.35,2016736,0.0,1.0
2022-03-04,24.875,27.2056,24.0,26.78,26.78,4618989,0.0,1.0
2022-03-07,26.96,27.63,25.83,27.02,27.02,1208130,0.0,1.0
2022-03-08,26.68,31.9299,26.291,29.9,29.9,2078664,0.0,1.0
