timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,23.25,23.25,23.06,23.16,10.5739634094188,2700,0.0,1.0
1999-11-02,22.94,23.75,22.94,23.75,10.8433346707123,26300,0.0,1.0
1999-11-03,23.0,24.0,23.0,24.0,10.9574750356672,5500,0.0,1.0
1999-11-04,23.75,23.75,22.94,23.06,10.5283072634369,6300,0.0,1.0
1999-11-05,23.31,23.75,23.06,23.75,10.8433346707123,3200,0.0,1.0
1999-11-08,23.25,23.25,22.5,23.0,10.5009135758477,16100,0.0,1.0
1999-11-09,23.0,24.63,23.0,24.63,11.2451087553534,14000,0.0,1.0
1999-11-10,24.25,24.25,23.63,24.13,11.0168280254437,3100,0.0,1.0
1999-11-11,23.69,23.69,23.5,23.5,10.7291943057574,1200,0.0,1.0
1999-11-12,23.5,23.63,22.75,23.0,10.5009135758477,22100,0.0,1.0
1999-11-15,22.75,23.5,22.75,23.19,10.5876602532134,22700,0.0,1.0
1999-11-16,23.44,23.5,22.75,23.5,10.7291943057574,12800,0.0,1.0
1999-11-17,23.5,23.5,22.88,23.25,10.6150539408026,3300,0.0,1.0
1999-11-18,23.03,23.38,23.0,23.25,10.6150539408026,9800,0.0,1.0
1999-11-19,23.5,23.5,23.0,23.0,10.5009135758477,1500,0.0,1.0
1999-11-22,23.25,23.5,23.0,23.06,10.5283072634369,2700,0.0,1.0
1999-11-23,23.44,23.88,23.44,23.63,10.788547295534,4200,0.0,1.0
1999-11-24,23.31,23.69,23.31,23.69,10.8159409831231,4800,0.0,1.0
1999-11-26,23.31,23.63,23.31,23.31,10.6424476283917,2800,0.0,1.0
1999-11-29,23.31,23.75,23.31,23.75,10.8433346707123,5100,0.0,1.0
1999-11-30,23.75,24.0,23.13,23.13,10.5602665656242,14700,0.0,1.0
1999-12-01,23.63,23.75,23.13,23.13,10.5602665656242,1900,0.0,1.0
1999-12-02,23.44,23.56,22.63,22.75,10.3867732108928,57700,0.0,1.0
1999-12-03,22.75,23.0,22.56,22.63,10.3319858357145,20100,0.0,1.0
1999-12-06,22.75,23.25,22.75,23.25,10.6150539408026,31600,0.0,1.0
1999-12-07,23.25,23.25,22.88,23.13,10.5602665656242,53900,0.0,1.0
1999-12-08,23.0,23.0,22.63,22.81,10.414166898482,28600,0.0,1.0
1999-12-09,22.63,23.0,22.63,22.75,10.3867732108928,16400,0.0,1.0
1999-12-10,22.75,23.5,22.69,23.31,10.6424476283917,33800,0.0,1.0
1999-12-13,23.25,23.75,23.13,23.44,10.7018006181683,31700,0.0,1.0
1999-12-14,23.5,23.63,22.63,23.5,10.7291943057574,36500,0.0,1.0
1999-12-15,23.44,23.44,22.75,23.0,10.5009135758477,19400,0.0,1.0
1999-12-16,22.88,23.0,22.75,22.81,10.414166898482,15300,0.0,1.0
1999-12-17,23.19,23.19,22.75,22.75,10.3867732108928,33800,0.0,1.0
1999-12-20,22.75,23.0,22.75,23.0,10.5009135758477,12600,0.0,1.0
1999-12-21,22.75,22.88,22.5,22.75,10.3867732108928,8200,0.0,1.0
1999-12-22,22.66,23.0,22.66,22.75,10.3867732108928,6400,0.0,1.0
1999-12-23,23.06,23.06,22.75,23.0,10.5009135758477,31500,0.0,1.0
1999-12-27,22.75,23.31,22.75,23.0,10.5009135758477,8100,0.0,1.0
1999-12-28,22.81,23.5,22.81,23.5,10.7291943057574,92000,0.0,1.0
1999-12-29,23.13,23.16,22.88,22.88,10.5374384926333,30500,0.2,1.0
1999-12-30,23.5,23.5,22.88,23.19,10.6802097309513,3600,0.0,1.0
1999-12-31,22.88,23.38,22.75,23.19,10.6802097309513,15700,0.0,1.0
2000-01-03,23.06,23.5,22.62,23.44,10.7953478263691,43200,0.0,1.0
2000-01-04,22.75,22.75,21.69,22.25,10.2472904921805,10700,0.0,1.0
2000-01-05,22.0,22.38,22.0,22.19,10.2196573492803,9500,0.0,1.0
2000-01-06,21.75,22.25,21.75,22.25,10.2472904921805,7800,0.0,1.0
2000-01-07,21.75,22.13,21.13,21.13,9.73147182470896,22400,0.0,1.0
2000-01-10,21.19,21.94,21.19,21.5,9.90187620592724,5500,0.0,1.0
2000-01-11,21.38,21.75,21.38,21.38,9.84660992012672,16100,0.0,1.0
2000-01-12,21.19,21.25,21.0,21.25,9.78673811050949,6600,0.0,1.0
2000-01-13,21.25,21.75,20.88,21.5,9.90187620592724,20700,0.0,1.0
