timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-07-29,5.0,5.0,5.0,5.0,5.0,230,0.0,1.0
2020-07-30,5.0,5.0,5.0,5.0,5.0,100,0.0,1.0
2020-07-31,8.0,8.0,8.0,8.0,8.0,130,0.0,1.0
2020-08-03,10.0,20.0,10.0,10.0,10.0,381,0.0,1.0
2020-08-04,10.0,10.0,10.0,10.0,10.0,0,0.0,1.0
2020-08-05,10.0,10.0,10.0,10.0,10.0,52,0.0,1.0
2020-08-06,25.0,25.0,25.0,25.0,25.0,202,0.0,1.0
2020-08-07,30.0,40.0,30.0,30.0,30.0,1576,0.0,1.0
2020-08-10,50.0,50.0,50.0,50.0,50.0,110,0.0,1.0
2020-08-11,20.0,27.0,20.0,20.0,20.0,4582,0.0,1.0
2020-08-12,20.0,20.0,20.0,20.0,20.0,10,0.0,1.0
2020-08-13,20.0,20.0,20.0,20.0,20.0,0,0.0,1.0
2020-08-14,27.0,27.0,15.0,17.0,17.0,1372,0.0,1.0
2020-08-17,9.5,9.5,8.5,9.0,9.0,1962,0.0,1.0
2020-08-18,8.0,8.0,8.0,8.0,8.0,2134,0.0,1.0
2020-08-19,8.0,8.0,8.0,8.0,8.0,2590,0.0,1.0
2020-08-20,5.8,6.05,5.8,6.05,6.05,6849,0.0,1.0
2020-08-21,6.1,6.1,5.5,5.75,5.75,3280,0.0,1.0
2020-08-24,5.0,6.0,5.0,5.75,5.75,6800,0.0,1.0
2020-08-25,5.75,5.75,5.75,5.75,5.75,1815,0.0,1.0
2020-08-26,5.2,5.75,5.2,5.75,5.75,450,0.0,1.0
2020-08-27,5.84,5.85,5.1,5.7,5.7,5900,0.0,1.0
2020-08-28,5.7,5.7,5.7,5.7,5.7,5000,0.0,1.0
2020-08-31,5.71,5.71,5.4,5.4,5.4,4631,0.0,1.0
2020-09-01,5.5,7.0,5.5,5.5,5.5,21916,0.0,1.0
2020-09-02,5.5,5.5,5.5,5.5,5.5,110,0.0,1.0
2020-09-03,5.5,5.5,5.5,5.5,5.5,0,0.0,1.0
2020-09-04,5.55,5.55,4.99,5.0,5.0,3689,0.0,1.0
2020-09-08,5.5,5.5,5.0,5.0,5.0,2755,0.0,1.0
2020-09-09,5.02,5.02,5.0,5.0,5.0,510,0.0,1.0
2020-09-10,5.5,5.5,5.5,5.5,5.5,866,0.0,1.0
2020-09-11,5.25,5.25,5.05,5.05,5.05,550,0.0,1.0
2020-09-14,5.05,5.05,5.05,5.05,5.05,650,0.0,1.0
2020-09-15,5.25,5.49,5.25,5.3,5.3,5895,0.0,1.0
2020-09-16,5.0,5.0,5.0,5.0,5.0,1000,0.0,1.0
2020-09-17,5.0,5.0,5.0,5.0,5.0,3937,0.0,1.0
2020-09-18,5.125,5.25,5.125,5.2,5.2,5933,0.0,1.0
2020-09-21,5.16,5.16,5.1,5.1,5.1,11275,0.0,1.0
2020-09-22,5.05,5.15,5.0,5.0,5.0,4973,0.0,1.0
2020-09-23,5.0,5.0,5.0,5.0,5.0,0,0.0,1.0
2020-09-24,4.6,4.6,4.51,4.51,4.51,670,0.0,1.0
2020-09-25,4.75,4.75,4.75,4.75,4.75,400,0.0,1.0
2020-09-28,4.6,4.6,4.6,4.6,4.6,4100,0.0,1.0
2020-09-29,4.6,4.6,4.5,4.5,4.5,1050,0.0,1.0
2020-09-30,4.7,4.7,4.7,4.7,4.7,310,0.0,1.0
2020-10-01,4.7,4.7,4.7,4.7,4.7,25,0.0,1.0
2020-10-02,4.7,4.7,4.7,4.7,4.7,0,0.0,1.0
2020-10-05,4.25,4.5,4.25,4.5,4.5,351,0.0,1.0
2020-10-06,4.5,4.7,4.3,4.3,4.3,1453,0.0,1.0
2020-10-07,4.5,4.5,4.5,4.5,4.5,1404,0.0,1.0
2020-10-08,4.5,4.5,4.5,4.5,4.5,4,0.0,1.0
2020-10-09,4.5,4.5,4.5,4.5,4.5,70,0.0,1.0
2020-10-12,4.45,4.45,4.45,4.45,4.45,300,0.0,1.0
2020-10-13,4.45,4.45,4.45,4.45,4.45,0,0.0,1.0
2020-10-14,4.2,4.2,4.15,4.15,4.15,485,0.0,1.0
2020-10-15,4.0,4.05,3.99,4.0,4.0,2941,0.0,1.0
2020-10-16,4.0,4.0,4.0,4.0,4.0,91,0.0,1.0
2020-10-19,4.0,4.0,4.0,4.0,4.0,0,0.0,1.0
2020-10-20,3.5,3.5,3.5,3.5,3.5,1600,0.0,1.0
2020-10-21,3.5,3.5,3.5,3.5,3.5,500,0.0,1.0
2020-10-22,3.5,3.5,3.5,3.5,3.5,0,0.0,1.0
