timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,4.188,4.375,4.0,4.219,3.42910515917017,715900,0.0,1.0
1999-11-02,4.266,5.125,4.219,5.0,4.06388381034625,265000,0.0,1.0
1999-11-03,5.188,5.375,4.875,5.0,4.06388381034625,163300,0.0,1.0
1999-11-04,5.0,5.063,4.875,4.938,4.01349165109796,260800,0.0,1.0
1999-11-05,5.0,5.063,4.875,4.938,4.01349165109796,161000,0.0,1.0
1999-11-08,4.953,5.063,4.875,4.938,4.01349165109796,295200,0.0,1.0
1999-11-09,5.047,5.25,5.0,5.188,4.25326079590839,276200,0.045,1.0
1999-11-10,5.281,5.375,5.031,5.125,4.20161171531043,268200,0.0,1.0
1999-11-11,5.156,5.75,5.063,5.375,4.40656838434996,900800,0.0,1.0
1999-11-12,5.719,5.75,5.031,5.125,4.20161171531043,322900,0.0,1.0
1999-11-15,5.156,5.5,5.125,5.125,4.20161171531043,127900,0.0,1.0
1999-11-16,5.313,5.438,4.75,4.844,3.97124041930999,301700,0.0,1.0
1999-11-17,4.984,5.25,4.625,5.063,4.15078246138862,210000,0.0,1.0
1999-11-18,5.313,5.563,4.969,4.969,4.07371875382976,200500,0.0,1.0
1999-11-19,5.047,5.125,4.75,4.938,4.04830412686885,181000,0.0,1.0
1999-11-22,5.0,5.031,4.781,4.969,4.07371875382976,236000,0.0,1.0
1999-11-23,5.0,5.063,4.844,4.844,3.97124041930999,428300,0.0,1.0
1999-11-24,5.0,5.0,4.563,4.625,3.79169837723136,274400,0.0,1.0
1999-11-26,4.813,5.0,4.625,4.844,3.97124041930999,118900,0.0,1.0
1999-11-29,4.719,4.875,4.563,4.563,3.74086912330956,130000,0.0,1.0
1999-11-30,4.531,4.75,4.453,4.5,3.68922004271159,487300,0.0,1.0
1999-12-01,4.625,4.625,4.0,4.375,3.58674170819183,395500,0.0,1.0
1999-12-02,4.375,4.625,4.313,4.5,3.68922004271159,448800,0.0,1.0
1999-12-03,4.547,4.75,4.5,4.563,3.74086912330956,459700,0.0,1.0
1999-12-06,4.5,4.75,4.5,4.688,3.84334745782932,305800,0.0,1.0
1999-12-07,4.688,4.75,4.063,4.25,3.48426337367206,161100,0.0,1.0
1999-12-08,4.25,4.563,4.125,4.438,3.63839078878979,218300,0.0,1.0
