timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,32.94,33.25,32.62,33.25,11.1918335841044,5300,0.0,1.0
1999-11-02,33.88,33.88,33.0,33.12,11.1480760392643,14600,0.0,1.0
1999-11-03,33.62,34.0,33.25,33.88,11.4038893783296,46000,0.0,1.0
1999-11-04,33.88,34.0,33.0,34.0,11.444280958182,13900,0.0,1.0
1999-11-05,34.0,34.0,33.25,34.0,11.444280958182,1700,0.0,1.0
1999-11-08,33.25,33.25,33.0,33.0,11.1076844594119,1300,0.0,1.0
1999-11-09,33.0,33.25,33.0,33.0,11.1076844594119,1000,0.0,1.0
1999-11-10,33.25,33.75,33.0,33.31,11.2120293740306,11800,0.0,1.0
1999-11-11,32.0,33.0,32.0,32.88,11.0672928795595,23200,0.0,1.0
1999-11-12,33.25,33.25,32.75,32.75,11.0235353347194,1600,0.0,1.0
1999-11-15,33.5,33.5,32.75,32.75,11.0235353347194,12900,0.0,1.0
1999-11-16,32.75,33.5,32.75,32.75,11.0235353347194,900,0.0,1.0
1999-11-17,32.75,32.75,32.75,32.75,11.0235353347194,5000,0.0,1.0
1999-11-18,32.88,33.0,32.88,32.94,11.0874886694857,6800,0.0,1.0
1999-11-19,32.94,32.94,32.75,32.75,11.0235353347194,1700,0.0,1.0
1999-11-22,32.75,33.0,32.75,32.88,11.0672928795595,6700,0.0,1.0
1999-11-23,32.75,33.0,32.75,33.0,11.1076844594119,3800,0.0,1.0
1999-11-24,32.88,33.0,32.75,32.88,11.0672928795595,46900,0.0,1.0
1999-11-26,33.0,33.5,33.0,33.5,11.2759827087969,13500,0.0,1.0
1999-11-29,33.0,34.0,33.0,34.0,11.444280958182,13800,0.0,1.0
1999-11-30,34.5,35.5,33.25,35.5,11.9491757063371,6600,0.0,1.0
1999-12-01,35.25,35.25,33.75,33.75,11.3601318334895,20600,0.0,1.0
1999-12-02,33.75,33.75,33.0,33.0,11.1076844594119,5700,0.0,1.0
1999-12-03,33.0,33.25,33.0,33.0,11.1076844594119,4500,0.0,1.0
1999-12-06,33.0,33.53,32.25,33.0,11.1076844594119,3700,0.0,1.0
1999-12-07,33.44,33.44,33.0,33.0,11.1076844594119,22700,0.0,1.0
1999-12-08,33.19,33.19,32.75,32.75,11.0235353347194,17700,0.0,1.0
1999-12-09,32.75,32.88,32.75,32.75,11.0235353347194,9000,0.0,1.0
1999-12-10,32.75,32.75,32.5,32.5,10.9393862100269,1500,0.0,1.0
1999-12-13,32.56,32.62,32.56,32.62,10.9797777898793,3300,0.0,1.0
1999-12-14,32.72,32.75,32.62,32.75,11.0874886694857,9200,0.19,1.0
1999-12-15,32.56,32.94,32.56,32.94,11.1518130312323,16000,0.0,1.0
1999-12-16,32.94,33.31,32.62,32.88,11.1315000748913,23300,0.0,1.0
1999-12-17,32.81,33.56,32.81,32.88,11.1315000748913,16700,0.0,1.0
1999-12-20,32.94,33.0,32.81,32.91,11.1416565530618,3500,0.0,1.0
1999-12-21,33.12,33.25,33.0,33.0,11.1721259875734,17800,0.0,1.0
1999-12-22,33.0,33.0,32.88,32.88,11.1315000748913,13600,0.0,1.0
1999-12-23,33.06,33.25,32.88,33.06,11.1924389439144,38600,0.0,1.0
1999-12-27,33.0,33.12,33.0,33.12,11.2127519002555,500,0.0,1.0
1999-12-28,33.0,33.0,32.56,32.75,11.0874886694857,2600,0.0,1.0
1999-12-29,33.0,33.25,32.75,33.0,11.1721259875734,47200,0.0,1.0
1999-12-30,33.12,33.25,32.5,32.75,11.0874886694857,4100,0.0,1.0
1999-12-31,32.75,32.75,32.75,32.75,11.0874886694857,900,0.0,1.0
2000-01-03,33.06,33.38,32.5,33.38,11.3007747110667,5800,0.0,1.0
2000-01-04,33.38,33.5,33.19,33.19,11.23645034932,6000,0.0,1.0
2000-01-05,33.31,34.0,33.0,33.25,11.2567633056611,29500,0.0,1.0
2000-01-06,33.19,33.5,33.19,33.25,11.2567633056611,2600,0.0,1.0
2000-01-07,33.25,33.38,32.94,33.38,11.3007747110667,13000,0.0,1.0
