timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-21,55.0,55.0,39.995,42.5,42.5,96100,0.0,1.0
2021-07-22,42.75,42.75,39.79,40.9,40.9,401200,0.0,1.0
2021-07-23,41.98,42.2,40.99,42.14,42.14,114400,0.0,1.0
2021-07-26,40.2,41.5,40.06,41.2,41.2,22000,0.0,1.0
2021-07-27,41.5,41.52,41.1,41.435,41.435,83000,0.0,1.0
2021-07-28,41.5,42.5,40.05,42.0,42.0,89200,0.0,1.0
2021-07-29,41.76,45.04,41.76,43.69,43.69,49900,0.0,1.0
2021-07-30,43.25,44.79,43.0,44.79,44.79,155000,0.0,1.0
2021-08-02,45.25,47.0,45.0,45.99,45.99,216100,0.0,1.0
2021-08-03,48.0,63.74,47.97,58.23,58.23,25163380,0.0,1.0
2021-08-04,61.44,64.53,57.5,57.92,57.92,5179300,0.0,1.0
2021-08-05,59.9,62.94,58.75,58.77,58.77,3749670,0.0,1.0
2021-08-06,59.0,59.42,56.5,57.67,57.67,4238848,0.0,1.0
2021-08-09,57.62,75.43,56.35,69.24,69.24,7722807,0.0,1.0
2021-08-10,68.8,76.0,68.12,73.66,73.66,3931614,0.0,1.0
2021-08-11,72.13,75.495,67.37,69.09,69.09,3199539,0.0,1.0
2021-08-12,68.9,75.13,68.5,71.46,71.46,1788376,0.0,1.0
2021-08-13,70.75,75.47,69.84,74.77,74.77,1884274,0.0,1.0
2021-08-16,73.89,74.01,69.75,71.8,71.8,1380861,0.0,1.0
2021-08-17,70.78,72.3,66.25,71.82,71.82,2053158,0.0,1.0
2021-08-18,70.81,72.14,69.17,71.69,71.69,3258984,0.0,1.0
2021-08-19,65.7,71.18,65.45,69.15,69.15,4839987,0.0,1.0
2021-08-20,69.35,70.69,68.0,69.11,69.11,1939591,0.0,1.0
2021-08-23,68.58,68.87,65.47,66.09,66.09,2696452,0.0,1.0
2021-08-24,65.0,70.36,64.36,67.39,67.39,2439927,0.0,1.0
2021-08-25,68.79,71.8312,68.21,70.0,70.0,1193013,0.0,1.0
2021-08-26,69.75,70.47,67.82,70.1,70.1,1550426,0.0,1.0
2021-08-27,70.45,70.7,67.35,68.64,68.64,1091893,0.0,1.0
2021-08-30,68.32,68.88,66.85,66.92,66.92,1104634,0.0,1.0
2021-08-31,66.34,66.71,64.7,66.3,66.3,1157172,0.0,1.0
2021-09-01,68.03,69.48,65.0,67.79,67.79,1750757,0.0,1.0
2021-09-02,67.51,67.83,65.9,66.07,66.07,866790,0.0,1.0
2021-09-03,65.79,67.11,65.17,67.0,67.0,534737,0.0,1.0
2021-09-07,66.01,66.02,62.53,64.21,64.21,1798843,0.0,1.0
2021-09-08,64.58,64.58,61.63,63.56,63.56,878283,0.0,1.0
2021-09-09,63.47,64.07,61.56,63.69,63.69,1259003,0.0,1.0
2021-09-10,63.52,63.65,61.31,61.67,61.67,782131,0.0,1.0
2021-09-13,61.68,62.11,58.94,60.5,60.5,2130444,0.0,1.0
2021-09-14,59.64,60.4,58.6223,60.18,60.18,899781,0.0,1.0
2021-09-15,59.66,61.13,58.25,61.03,61.03,1213553,0.0,1.0
2021-09-16,60.87,62.28,60.22,61.36,61.36,859918,0.0,1.0
2021-09-17,62.04,63.82,61.13,61.82,61.82,3920635,0.0,1.0
2021-09-20,59.82,60.76,58.6,60.33,60.33,1286373,0.0,1.0
2021-09-21,60.65,61.87,59.45,61.8,61.8,1441727,0.0,1.0
2021-09-22,61.47,61.5267,59.55,59.99,59.99,1155554,0.0,1.0
2021-09-23,60.94,62.435,60.0,61.97,61.97,1085681,0.0,1.0
2021-09-24,61.07,61.23,60.17,60.25,60.25,828886,0.0,1.0
2021-09-27,60.27,61.42,58.2,58.37,58.37,1057206,0.0,1.0
2021-09-28,58.51,59.42,57.6,57.91,57.91,981959,0.0,1.0
2021-09-29,58.06,58.26,56.28,56.49,56.49,1030939,0.0,1.0
2021-09-30,56.8,56.82,53.57,55.26,55.26,3098674,0.0,1.0
2021-10-01,55.01,55.57,53.51,54.56,54.56,1514328,0.0,1.0
2021-10-04,54.49,54.88,52.19,52.36,52.36,1231619,0.0,1.0
2021-10-05,51.9,52.81,51.545,52.3,52.3,1203266,0.0,1.0
2021-10-06,51.9,52.02,50.45,50.77,50.77,1894679,0.0,1.0
2021-10-07,51.56,54.44,51.55,53.48,53.48,1026229,0.0,1.0
2021-10-08,53.73,54.85,52.05,52.1,52.1,633075,0.0,1.0
2021-10-11,52.39,53.47,50.25,50.43,50.43,920180,0.0,1.0
2021-10-12,50.47,50.656,48.12,50.37,50.37,1435426,0.0,1.0
2021-10-13,50.15,50.74,49.53,49.99,49.99,1350505,0.0,1.0
2021-10-14,50.15,53.13,49.99,51.34,51.34,811923,0.0,1.0
2021-10-15,51.95,53.065,51.18,52.43,52.43,1324227,0.0,1.0
2021-10-18,52.8,53.12,50.81,52.44,52.44,845045,0.0,1.0
2021-10-19,52.97,52.97,51.72,52.37,52.37,727515,0.0,1.0
2021-10-20,51.92,55.16,51.92,55.09,55.09,1423707,0.0,1.0
2021-10-21,55.04,57.72,54.65,56.35,56.35,1272781,0.0,1.0
2021-10-22,56.09,56.64,54.365,54.62,54.62,878472,0.0,1.0
2021-10-25,55.0,55.62,53.8,54.83,54.83,745590,0.0,1.0
2021-10-26,55.13,55.56,53.31,53.77,53.77,686263,0.0,1.0
2021-10-27,53.25,53.36,50.88,51.0,51.0,1014727,0.0,1.0
2021-10-28,50.8,52.25,50.06,51.08,51.08,880845,0.0,1.0
2021-10-29,51.08,51.63,49.54,50.47,50.47,1061738,0.0,1.0
2021-11-01,51.0,51.24,49.58,49.84,49.84,4622887,0.0,1.0
2021-11-02,50.0,50.25,48.94,48.96,48.96,2058268,0.0,1.0
2021-11-03,49.06,54.9,49.01,52.75,52.75,3043272,0.0,1.0
2021-11-04,53.57,55.0,51.58,51.68,51.68,2610324,0.0,1.0
2021-11-05,52.49,53.78,50.36,51.39,51.39,1135015,0.0,1.0
2021-11-08,51.38,51.81,50.11,50.23,50.23,1094201,0.0,1.0
2021-11-09,50.46,51.2,49.2,50.42,50.42,1447753,0.0,1.0
2021-11-10,50.1,51.19,48.645,49.64,49.64,1199295,0.0,1.0
2021-11-11,49.95,50.69,49.33,50.33,50.33,1424154,0.0,1.0
2021-11-12,50.75,51.85,50.375,51.46,51.46,1633974,0.0,1.0
2021-11-15,51.5,52.3043,50.65,51.2,51.2,1217362,0.0,1.0
2021-11-16,52.01,52.23,50.2608,51.63,51.63,1301018,0.0,1.0
2021-11-17,51.31,52.79,50.415,50.51,50.51,2796758,0.0,1.0
2021-11-18,55.14,60.375,54.69,57.91,57.91,6106792,0.0,1.0
2021-11-19,56.01,56.6,54.74,55.43,55.43,1830346,0.0,1.0
2021-11-22,55.54,59.7978,55.22,58.9,58.9,1450804,0.0,1.0
2021-11-23,57.8,58.3,54.82,56.53,56.53,1218674,0.0,1.0
2021-11-24,56.0,57.45,54.36,55.52,55.52,963852,0.0,1.0
2021-11-26,54.44,54.46,51.09,53.88,53.88,1514358,0.0,1.0
2021-11-29,54.2,56.276,53.45,55.87,55.87,1317904,0.0,1.0
2021-11-30,55.4,55.4,52.18,54.28,54.28,1434383,0.0,1.0
2021-12-01,55.07,56.22,51.88,51.92,51.92,1572406,0.0,1.0
2021-12-02,52.21,54.06,51.96,53.95,53.95,540576,0.0,1.0
2021-12-03,54.054,54.84,52.0301,53.06,53.06,1015127,0.0,1.0
2021-12-06,53.15,54.35,51.81,52.1,52.1,995753,0.0,1.0
2021-12-07,53.77,55.61,53.45,54.45,54.45,777435,0.0,1.0
2021-12-08,54.04,54.86,52.945,54.61,54.61,1680438,0.0,1.0
2021-12-09,53.86,54.07,51.5,51.81,51.81,1270492,0.0,1.0
2021-12-10,52.0,52.02,49.92,50.61,50.61,1114806,0.0,1.0
2021-12-13,50.5,50.77,49.4,49.9,49.9,1580955,0.0,1.0
2021-12-14,49.38,50.54,48.83,49.98,49.98,1017779,0.0,1.0
2021-12-15,50.22,50.73,47.38,49.07,49.07,1728287,0.0,1.0
2021-12-16,50.26,50.83,48.21,49.06,49.06,1615175,0.0,1.0
2021-12-17,48.77,49.84,47.72,49.53,49.53,2242709,0.0,1.0
2021-12-20,48.08,48.44,45.65,46.78,46.78,1435826,0.0,1.0
2021-12-21,47.33,48.49,47.19,47.57,47.57,1397299,0.0,1.0
2021-12-22,47.89,48.85,47.64,48.11,48.11,617767,0.0,1.0
2021-12-23,48.62,49.77,47.92,49.11,49.11,590119,0.0,1.0
2021-12-27,49.01,49.795,47.92,48.7,48.7,926104,0.0,1.0
2021-12-28,48.61,49.6,48.29,48.58,48.58,644751,0.0,1.0
2021-12-29,52.19,55.97,52.11,54.5,54.5,7746290,0.0,1.0
2021-12-30,55.0,57.35,54.66,55.46,55.46,3387644,0.0,1.0
2021-12-31,55.75,56.57,55.18,55.54,55.54,1367762,0.0,1.0
2022-01-03,55.99,57.1497,55.4,56.14,56.14,1684781,0.0,1.0
2022-01-04,56.39,57.56,55.0,57.18,57.18,1358213,0.0,1.0
2022-01-05,56.79,58.85,56.07,56.1,56.1,2042901,0.0,1.0
2022-01-06,55.89,58.1,55.2,56.8,56.8,1326908,0.0,1.0
2022-01-07,57.0,58.0,56.26,56.82,56.82,1312636,0.0,1.0
2022-01-10,56.16,56.27,51.845,53.12,53.12,2062054,0.0,1.0
2022-01-11,53.3,56.17,52.92,55.73,55.73,1545108,0.0,1.0
2022-01-12,56.14,56.73,54.62,56.22,56.22,887642,0.0,1.0
2022-01-13,56.34,58.16,55.465,56.64,56.64,1096220,0.0,1.0
2022-01-14,55.9,59.32,55.03,56.33,56.33,1465912,0.0,1.0
2022-01-18,56.33,56.55,53.84,54.41,54.41,1722302,0.0,1.0
2022-01-19,54.88,55.9707,53.37,53.5,53.5,1374268,0.0,1.0
2022-01-20,53.51,54.72,51.66,51.94,51.94,1414430,0.0,1.0
2022-01-21,51.11,53.78,50.72,52.47,52.47,1894580,0.0,1.0
2022-01-24,50.8,54.61,49.38,54.46,54.46,2070159,0.0,1.0
2022-01-25,54.06,55.22,52.7329,54.06,54.06,1212486,0.0,1.0
2022-01-26,55.05,56.21,53.36,53.47,53.47,1650013,0.0,1.0
2022-01-27,54.3,56.9,54.0802,56.4,56.4,2476018,0.0,1.0
2022-01-28,55.86,56.1,54.43,55.71,55.71,1309206,0.0,1.0
2022-01-31,54.96,55.94,53.55,55.83,55.83,964633,0.0,1.0
2022-02-01,55.92,57.67,55.6,57.41,57.41,1027652,0.0,1.0
2022-02-02,57.47,57.62,55.17,56.21,56.21,865114,0.0,1.0
2022-02-03,55.18,57.45,54.83,56.01,56.01,1133796,0.0,1.0
2022-02-04,55.68,57.94,55.1666,57.5,57.5,1360948,0.0,1.0
2022-02-07,58.13,60.45,57.61,59.24,59.24,1256099,0.0,1.0
2022-02-08,59.08,62.25,58.28,62.11,62.11,1449210,0.0,1.0
2022-02-09,62.234,62.9,61.37,61.94,61.94,1502571,0.0,1.0
2022-02-10,60.5,65.2,59.74,62.92,62.92,1076234,0.0,1.0
2022-02-11,62.82,63.66,61.59,61.68,61.68,819798,0.0,1.0
2022-02-14,59.95,61.8,59.69,60.35,60.35,1220570,0.0,1.0
2022-02-15,60.87,62.24,58.4,59.95,59.95,2223756,0.0,1.0
2022-02-16,59.96,61.13,59.22,60.22,60.22,1106803,0.0,1.0
2022-02-17,59.51,60.95,58.05,58.29,58.29,1280909,0.0,1.0
2022-02-18,58.92,60.065,56.63,58.91,58.91,1430280,0.0,1.0
2022-02-22,58.06,60.05,57.47,58.09,58.09,1157155,0.0,1.0
2022-02-23,58.05,58.05,55.01,55.18,55.18,1586058,0.0,1.0
2022-02-24,53.11,55.69,52.33,55.4,55.4,1473787,0.0,1.0
2022-02-25,55.21,56.23,53.065,56.01,56.01,967265,0.0,1.0
2022-02-28,54.95,55.53,52.41,53.63,53.63,1509968,0.0,1.0
2022-03-01,53.25,53.54,50.4965,50.93,50.93,1252508,0.0,1.0
2022-03-02,51.81,54.41,51.34,54.33,54.33,2977387,0.0,1.0
2022-03-03,54.3,58.24,54.26,55.29,55.29,1811190,0.0,1.0
2022-03-04,54.19,54.19,50.01,50.48,50.48,2014492,0.0,1.0
2022-03-07,50.14,50.26,42.31,42.34,42.34,4343209,0.0,1.0
2022-03-08,42.56,45.38,40.8993,44.93,44.93,3032243,0.0,1.0
2022-03-09,46.45,47.58,45.45,45.88,45.88,1298559,0.0,1.0
2022-03-10,44.59,47.53,44.38,47.26,47.26,1545168,0.0,1.0
2022-03-11,47.52,48.27,46.66,46.9,46.9,1291406,0.0,1.0
2022-03-14,47.25,49.655,46.73,47.45,47.45,1567166,0.0,1.0
2022-03-15,47.34,49.29,46.82,47.65,47.65,910277,0.0,1.0
2022-03-16,48.02,52.04,48.02,51.49,51.49,1494699,0.0,1.0
2022-03-17,51.0,52.605,51.0,51.96,51.96,925958,0.0,1.0
2022-03-18,51.93,52.26,50.25,50.92,50.92,2208859,0.0,1.0
