timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-07-01,25.85,26.09,25.75,26.0,24.367165289921,122100,0.0,1.0
2005-07-05,26.1,26.1,25.9,25.99,24.3577933032711,69600,0.0,1.0
2005-07-06,26.3,26.75,26.2,26.6,24.9294844889192,72600,0.0,1.0
2005-07-07,26.6,26.6,26.2,26.25,24.6014649561703,58900,0.0,1.0
2005-07-08,26.37,26.37,26.09,26.23,24.5827209828703,76900,0.0,1.0
2005-07-11,26.5,26.5,26.34,26.4,24.7420447559198,46100,0.0,1.0
2005-07-12,26.5,27.2,26.4,27.15,25.4449437546675,171800,0.0,1.0
2005-07-13,27.65,28.5,27.65,27.9,26.1478427534153,92000,0.0,1.0
2005-07-14,27.95,28.0,27.9,27.93,26.1759587133652,89600,0.0,1.0
2005-07-15,28.0,28.1,27.85,27.9,26.1478427534153,40800,0.0,1.0
2005-07-18,28.05,28.14,27.8,27.85,26.1009828201654,35500,0.0,1.0
2005-07-19,27.8,27.8,27.03,27.04,25.3418519015179,43500,0.0,1.0
2005-07-20,27.14,27.29,26.81,26.95,25.2575040216682,48300,0.0,1.0
2005-07-21,27.0,27.28,26.56,27.15,25.4449437546675,90600,0.0,1.0
2005-07-22,27.25,27.49,27.15,27.25,25.5386636211672,70000,0.0,1.0
2005-07-25,27.35,28.65,27.35,28.35,26.5695821526639,29800,0.0,1.0
2005-07-26,28.45,28.65,28.25,28.4,26.6164420859138,46300,0.0,1.0
2005-07-27,28.9,30.95,28.7,30.75,28.8188589486566,251700,0.0,1.0
2005-07-28,30.75,30.85,29.65,29.65,27.78794041716,75900,0.0,1.0
2005-07-29,29.65,30.95,29.4,30.9,28.9594387484062,64800,0.0,1.0
2005-08-01,30.9,30.95,29.76,29.95,28.069100016659,50600,0.0,1.0
2005-08-02,30.2,30.75,30.0,30.75,28.8188589486566,38100,0.0,1.0
2005-08-03,30.95,31.5,30.8,31.45,29.4748980141545,77800,0.0,1.0
2005-08-04,31.45,31.5,30.5,30.6,28.6782791489071,29300,0.0,1.0
2005-08-05,30.5,30.5,29.1,29.75,27.8816602836597,70500,0.0,1.0
2005-08-08,29.9,29.95,29.71,29.75,27.8816602836597,17400,0.0,1.0
2005-08-09,29.75,29.75,28.65,28.8,26.9913215519125,49100,0.0,1.0
2005-08-10,29.0,29.0,27.72,27.74,25.9978909670158,47100,0.0,1.0
2005-08-11,27.94,28.85,27.05,27.4,25.6792434209168,71500,0.0,1.0
2005-08-12,27.75,28.8,27.5,28.5,26.7101619524135,54800,0.0,1.0
2005-08-15,28.6,28.75,28.5,28.5,26.7101619524135,20600,0.0,1.0
2005-08-16,28.5,28.6,28.17,28.2,26.4290023529144,42100,0.0,1.0
2005-08-17,28.2,28.75,28.2,28.4,26.6164420859138,15200,0.0,1.0
2005-08-18,28.31,28.75,28.31,28.65,26.850741752163,6600,0.0,1.0
2005-08-19,28.7,28.75,28.5,28.75,26.9444616186627,10100,0.0,1.0
2005-08-22,28.75,28.8,28.6,28.8,26.9913215519125,33100,0.0,1.0
2005-08-23,28.85,29.65,28.82,29.51,27.6567326040604,37900,0.0,1.0
2005-08-24,29.52,29.52,28.5,29.25,27.4130609511612,27900,0.0,1.0
2005-08-25,29.2,29.8,29.1,29.8,27.9285202169095,17600,0.0,1.0
2005-08-26,29.82,29.99,29.8,29.8,27.9285202169095,5000,0.0,1.0
2005-08-29,29.9,29.9,29.3,29.55,27.6942205506603,13800,0.0,1.0
2005-08-30,29.7,29.8,28.5,28.7,26.8976016854128,19600,0.0,1.0
2005-08-31,28.9,29.5,28.9,29.5,27.6473606174104,45700,0.0,1.0
2005-09-01,29.75,29.85,29.5,29.68,27.8160563771099,15600,0.0,1.0
2005-09-02,29.78,29.79,29.55,29.68,27.8160563771099,4800,0.0,1.0
2005-09-06,29.7,30.0,29.4,29.5,27.6473606174104,8700,0.0,1.0
2005-09-07,29.41,29.75,29.4,29.5,27.6473606174104,5100,0.0,1.0
2005-09-08,30.0,30.0,28.4,28.8,26.9913215519125,33500,0.0,1.0
2005-09-09,28.8,28.89,28.7,28.7,26.8976016854128,9400,0.0,1.0
2005-09-12,28.62,28.7,28.3,28.54,26.7476498990133,17100,0.0,1.0
2005-09-13,28.7,29.0,28.65,28.85,27.0381814851624,35100,0.0,1.0
2005-09-14,28.75,28.85,28.27,28.5,26.7101619524135,14500,0.0,1.0
2005-09-15,28.6,28.6,28.0,28.2,26.4290023529144,11100,0.0,1.0
2005-09-16,28.2,28.5,28.2,28.36,26.5789541393139,14300,0.0,1.0
2005-09-19,28.45,28.67,28.2,28.35,26.5695821526639,13100,0.0,1.0
2005-09-20,28.3,28.6,28.2,28.47,26.6820459924635,6100,0.0,1.0
