timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,8.0,8.063,7.813,8.063,5.17370702253159,31267,0.0,1.0
1999-11-02,8.0,8.0,7.625,7.75,4.97286734771423,61867,0.0,1.0
1999-11-03,7.75,8.0,7.688,8.0,5.13328242344694,24867,0.0,1.0
1999-11-04,7.813,8.0,7.813,7.875,5.05307488558058,16267,0.0,1.0
1999-11-05,7.813,7.938,7.719,7.75,4.97286734771423,50800,0.0,1.0
1999-11-08,7.75,7.813,7.625,7.688,4.93308440893251,42000,0.0,1.0
1999-11-09,7.688,7.75,7.625,7.625,4.89265980984787,59200,0.0,1.0
1999-11-10,7.719,7.813,7.5,7.625,4.89265980984787,25067,0.0,1.0
1999-11-11,7.531,7.625,7.5,7.625,4.89265980984787,69800,0.0,1.0
1999-11-12,7.609,7.813,7.5,7.688,4.93308440893251,30000,0.0,1.0
1999-11-15,7.656,7.875,7.625,7.75,4.97286734771423,21800,0.0,1.0
1999-11-16,7.625,7.875,7.625,7.625,4.89265980984787,46467,0.0,1.0
1999-11-17,7.531,7.625,7.375,7.438,4.77266933319979,116400,0.0,1.0
1999-11-18,7.594,7.813,7.5,7.813,5.01329194679887,55667,0.0,1.0
1999-11-19,7.625,7.813,7.438,7.5,4.81245227198151,61067,0.0,1.0
1999-11-22,7.5,7.625,7.25,7.5,4.81245227198151,28267,0.0,1.0
1999-11-23,7.313,7.5,7.313,7.313,4.69246179533344,52067,0.0,1.0
1999-11-24,7.375,7.625,7.313,7.375,4.73224473411515,23800,0.0,1.0
1999-11-26,7.375,7.5,7.375,7.375,4.73224473411515,9000,0.0,1.0
1999-11-29,7.438,7.5,7.125,7.313,4.69246179533344,52267,0.0,1.0
1999-11-30,7.25,7.25,7.0,7.063,4.53204671960072,90000,0.0,1.0
1999-12-01,7.0,7.188,6.5,6.75,4.33120704478336,141200,0.0,1.0
1999-12-02,6.875,7.25,6.813,7.031,4.51151358990693,98200,0.0,1.0
1999-12-03,7.0,7.063,6.813,6.875,4.41141458264972,88400,0.0,1.0
1999-12-06,6.875,7.0,6.75,6.875,4.41141458264972,93467,0.0,1.0
1999-12-07,6.719,6.938,6.563,6.875,4.41141458264972,150267,0.0,1.0
1999-12-08,6.875,6.938,6.813,6.875,4.41141458264972,106600,0.0,1.0
1999-12-09,6.875,6.938,6.875,6.875,4.41141458264972,84000,0.0,1.0
1999-12-10,6.938,6.969,6.875,6.969,4.47173065112522,67000,0.0,1.0
1999-12-13,7.0,7.0,6.875,6.938,4.45183918173436,49600,0.0,1.0
1999-12-14,6.875,6.938,6.656,6.813,4.371631643868,111400,0.0,1.0
1999-12-15,6.813,6.938,6.625,6.625,4.250999506917,84000,0.0,1.0
1999-12-16,6.781,6.875,6.5,6.5,4.17079196905064,104200,0.0,1.0
1999-12-17,6.5,6.656,6.5,6.656,4.27089097630786,57867,0.0,1.0
1999-12-20,6.656,7.0,6.625,6.844,4.39152311325886,86400,0.0,1.0
1999-12-21,6.875,6.938,6.625,6.625,4.250999506917,37267,0.0,1.0
1999-12-22,6.688,7.0,6.531,7.0,4.49162212051607,100667,0.0,1.0
1999-12-23,6.969,7.375,6.969,7.0,4.49162212051607,150467,0.0,1.0
1999-12-27,7.313,7.406,7.063,7.375,4.73224473411515,111800,0.0,1.0
1999-12-28,7.063,7.5,7.0,7.5,4.81245227198151,140600,0.0,1.0
1999-12-29,7.375,7.5,7.031,7.25,4.65203719624879,106000,0.0,1.0
1999-12-30,7.25,7.938,7.25,7.625,4.89265980984787,141467,0.0,1.0
1999-12-31,7.625,7.938,7.563,7.625,4.89265980984787,42067,0.0,1.0
2000-01-03,7.78,8.13,7.75,8.13,5.21669826282796,66800,0.0,1.0
2000-01-04,7.938,8.25,7.75,7.938,5.09349948466523,57067,0.0,1.0
2000-01-05,8.375,8.438,7.875,8.125,5.2134899613133,70867,0.0,1.0
2000-01-06,8.063,8.25,7.75,8.156,5.23338143070416,63600,0.0,1.0
2000-01-07,8.0,8.438,8.0,8.375,5.37390503704602,78067,0.0,1.0
2000-01-10,8.438,8.625,8.313,8.469,5.43422110552152,34267,0.0,1.0
2000-01-11,8.563,8.563,8.188,8.188,5.25391456039795,15067,0.0,1.0
2000-01-12,8.188,8.375,8.0,8.125,5.2134899613133,90000,0.0,1.0
2000-01-13,8.125,8.5,8.125,8.438,5.41432963613066,66200,0.0,1.0
2000-01-14,8.5,8.75,8.375,8.5,5.45411257491238,68267,0.0,1.0
2000-01-18,8.281,8.5,7.75,8.125,5.2134899613133,64600,0.0,1.0
2000-01-19,8.125,8.438,7.938,8.438,5.41432963613066,43800,0.0,1.0
2000-01-20,8.469,8.516,8.438,8.5,5.45411257491238,59000,0.0,1.0
