timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-09-20,23.0,23.0,23.0,23.0,23.0,100,0.0,1.0
2022-09-21,23.0,23.0,23.0,23.0,23.0,0,0.0,1.0
2022-09-22,23.0,23.0,23.0,23.0,23.0,0,0.0,1.0
2022-09-23,23.0,23.0,23.0,23.0,23.0,0,0.0,1.0
2022-09-26,23.0,23.0,23.0,23.0,23.0,0,0.0,1.0
2022-09-27,23.0,23.0,23.0,23.0,23.0,0,0.0,1.0
2022-09-28,23.0,23.0,23.0,23.0,23.0,0,0.0,1.0
2022-09-29,23.0,23.0,23.0,23.0,23.0,0,0.0,1.0
2022-09-30,21.05,26.0,18.0,26.0,26.0,138100,0.0,1.0
2022-10-03,17.53,19.07,13.3,14.97,14.97,1140100,0.0,1.0
2022-10-04,15.0,16.97,15.0,15.42,15.42,746620,0.0,1.0
2022-10-05,15.2,15.89,15.05,15.58,15.58,492827,0.0,1.0
2022-10-06,15.65,16.82,14.75,15.51,15.51,721551,0.0,1.0
2022-10-07,15.43,15.63,14.94,14.94,14.94,457756,0.0,1.0
2022-10-10,14.96,15.36,13.65,13.74,13.74,630236,0.0,1.0
2022-10-11,14.16,15.43,13.88,14.0,14.0,457434,0.0,1.0
2022-10-12,14.0,14.05,13.17,13.18,13.18,406410,0.0,1.0
2022-10-13,13.05,14.05,12.85,13.53,13.53,329995,0.0,1.0
2022-10-14,13.51,13.8,12.45,12.9,12.9,263148,0.0,1.0
2022-10-17,13.31,13.69,12.57,13.04,13.04,311680,0.0,1.0
2022-10-18,13.05,13.73,12.88,12.93,12.93,493161,0.0,1.0
2022-10-19,12.7,13.04,11.76,12.72,12.72,896440,0.0,1.0
2022-10-20,12.62,13.45,12.5,12.87,12.87,612558,0.0,1.0
2022-10-21,12.79,14.03,12.67,13.91,13.91,257866,0.0,1.0
2022-10-24,14.1,14.27,13.7,13.82,13.82,255744,0.0,1.0
2022-10-25,13.7,13.94,13.17,13.18,13.18,511877,0.0,1.0
2022-10-26,13.25,13.3,12.85,12.93,12.93,440432,0.0,1.0
2022-10-27,12.98,13.595,12.8906,13.12,13.12,342607,0.0,1.0
2022-10-28,13.27,13.44,12.66,13.19,13.19,360033,0.0,1.0
2022-10-31,13.01,14.05,12.95,13.97,13.97,508023,0.0,1.0
2022-11-01,14.0,14.0,12.86,13.3,13.3,236039,0.0,1.0
2022-11-02,13.07,13.49,12.669,12.88,12.88,297847,0.0,1.0
2022-11-03,13.05,13.05,11.75,11.75,11.75,399283,0.0,1.0
2022-11-04,12.04,12.11,10.88,11.25,11.25,519262,0.0,1.0
2022-11-07,11.31,11.94,11.03,11.64,11.64,197547,0.0,1.0
2022-11-08,11.54,11.74,11.2275,11.23,11.23,326076,0.0,1.0
2022-11-09,11.35,11.35,10.33,10.58,10.58,295028,0.0,1.0
2022-11-10,11.0,11.475,10.84,11.04,11.04,240643,0.0,1.0
2022-11-11,11.2,11.62,11.08,11.21,11.21,413865,0.0,1.0
2022-11-14,11.11,11.39,10.45,10.87,10.87,332891,0.0,1.0
2022-11-15,10.99,11.39,10.93,11.34,11.34,593766,0.0,1.0
2022-11-16,11.25,11.4,10.81,10.86,10.86,211638,0.0,1.0
2022-11-17,10.93,11.08,10.25,10.78,10.78,349098,0.0,1.0
2022-11-18,10.85,11.1,10.44,10.59,10.59,517034,0.0,1.0
2022-11-21,10.31,10.55,10.05,10.27,10.27,284693,0.0,1.0
2022-11-22,10.23,10.43,10.04,10.38,10.38,236225,0.0,1.0
2022-11-23,10.31,10.45,10.09,10.32,10.32,191686,0.0,1.0
2022-11-25,10.35,10.4822,10.28,10.35,10.35,93889,0.0,1.0
2022-11-28,10.25,10.3396,10.08,10.24,10.24,369966,0.0,1.0
2022-11-29,10.28,10.4184,10.12,10.16,10.16,222535,0.0,1.0
2022-11-30,10.08,10.71,9.72,10.71,10.71,1162460,0.0,1.0
2022-12-01,10.7,11.1042,10.605,10.68,10.68,1049685,0.0,1.0
2022-12-02,10.45,10.585,10.21,10.43,10.43,249814,0.0,1.0
2022-12-05,10.43,10.79,10.28,10.46,10.46,240157,0.0,1.0
2022-12-06,10.43,10.43,9.95,10.31,10.31,202929,0.0,1.0
2022-12-07,10.25,10.35,10.04,10.13,10.13,206094,0.0,1.0
2022-12-08,10.13,11.035,10.0,10.79,10.79,513611,0.0,1.0
2022-12-09,10.61,10.67,10.2,10.47,10.47,286358,0.0,1.0
2022-12-12,10.35,10.53,9.85,10.47,10.47,218065,0.0,1.0
2022-12-13,10.5,10.94,10.04,10.12,10.12,288734,0.0,1.0
2022-12-14,10.12,10.3,9.75,9.95,9.95,238255,0.0,1.0
2022-12-15,9.76,9.85,9.08,9.11,9.11,249217,0.0,1.0
2022-12-16,9.02,9.27,9.01,9.12,9.12,1474720,0.0,1.0
2022-12-19,9.17,9.17,8.85,8.9,8.9,293222,0.0,1.0
2022-12-20,8.89,9.02,8.61,8.75,8.75,192814,0.0,1.0
2022-12-21,8.74,9.03,8.73,8.91,8.91,475380,0.0,1.0
2022-12-22,8.8,8.87,8.33,8.57,8.57,237943,0.0,1.0
2022-12-23,8.5,8.6,8.15,8.35,8.35,424448,0.0,1.0
2022-12-27,8.36,8.585,8.23,8.48,8.48,261567,0.0,1.0
2022-12-28,8.49,8.59,8.22,8.31,8.31,155776,0.0,1.0
2022-12-29,8.36,8.78,8.34,8.72,8.72,212255,0.0,1.0
2022-12-30,8.63,8.74,8.5143,8.61,8.61,188830,0.0,1.0
