fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-25,0.21,0.16,0.05,31.25
2022-06-30,2022-07-26,0.18,0.14,0.04,28.5714
2022-03-31,2022-04-26,0.18,0.19,-0.01,-5.2632
2021-12-31,2022-02-08,0.14,0.12,0.02,16.6667
2021-09-30,2021-10-26,0.17,0.18,-0.01,-5.5556
2021-06-30,2021-07-27,0.15,0.11,0.04,36.3636
2021-03-31,2021-04-27,0.02,0.03,-0.01,-33.3333
2020-12-31,2021-02-09,0.05,0.14,-0.09,-64.2857
2020-09-30,2020-10-27,0.08,0.16,-0.08,-50
2020-06-30,2020-07-28,0.13,0.11,0.02,18.1818
2020-03-31,2020-04-28,0.2,0.31,-0.11,-35.4839
2019-12-31,2020-02-11,0.22,0.25,-0.03,-12
2019-09-30,2019-10-29,0.22,0.27,-0.05,-18.5185
2019-06-30,2019-07-30,0.18,0.2,-0.02,-10
2019-03-31,2019-04-30,0.24,0.23,0.01,4.3478
2018-12-31,2019-02-12,0.14,-0.03,0.17,566.6667
2018-09-30,2018-10-30,0.22,0.04,0.18,450
2018-06-30,2018-07-31,0.07,0.13,-0.06,-46.1538
2018-03-31,2018-05-01,-0.01,0.17,-0.18,-105.8824
2017-12-31,2018-02-13,0.15,0.2,-0.05,-25
2017-09-30,2017-10-31,0.19,0.16,0.03,18.75
2017-06-30,2017-08-01,0.12,0.17,-0.05,-29.4118
2017-03-31,2017-05-02,0.16,0.19,-0.03,-15.7895
2016-12-31,2017-02-14,0.19,0.21,-0.02,-9.5238
2016-09-30,2016-11-01,0.19,0.22,-0.03,-13.6364
2016-06-30,2016-07-26,0.17,0.2,-0.03,-15
2016-03-31,2016-04-26,0.17,0.16,0.01,6.25
2015-12-31,2016-02-16,0.18,0.14,0.04,28.5714
2015-09-30,2015-11-03,0.3,0.19,0.11,57.8947
2015-06-30,2015-07-28,0.2,0.15,0.05,33.3333
2015-03-31,2015-04-28,0.18,0.11,0.07,63.6364
2014-12-31,2015-02-17,0.16,0.11,0.05,45.4545
2014-09-30,2014-11-04,0.15,0.1,0.05,50
2014-06-30,2014-07-29,0.1,0.06,0.04,66.6667
2014-03-31,2014-04-29,0.11,0.07,0.04,57.1429
2013-12-31,2014-02-18,0.11,0.06,0.05,83.3333
2013-09-30,2013-11-05,0.11,0.05,0.06,120
2013-06-30,2013-07-30,0.08,0.03,0.05,166.6667
2013-03-31,2013-04-30,0.08,0.01,0.07,700
2012-12-31,2013-02-19,0.09,None,None,None
2012-09-30,2012-11-06,0.08,0.01,0.07,700
2012-06-30,2012-08-03,0.04,0.01,0.03,300
2012-03-31,2012-05-01,0.05,-0.01,0.06,600
2011-12-31,2012-03-06,0.01,-0.05,0.06,120
2011-09-30,2011-11-08,0.08,0.02,0.06,300
2011-06-30,2011-08-09,0.01,-0.23,0.24,104.3478
2011-03-31,2011-05-11,-0.0226,None,None,None
