fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,1.21,1.13,0.08,7.0796
2022-06-30,2022-08-03,1.32,1,0.32,32
2022-03-31,2022-05-04,1.22,0.92,0.3,32.6087
2021-12-31,2022-02-07,1.05,0.84,0.21,25
2021-09-30,2021-11-03,0.82,0.71,0.11,15.493
2021-06-30,2021-08-04,0.55,0.45,0.1,22.2222
2021-03-31,2021-05-04,0.48,0.32,0.16,50
2020-12-31,2021-02-10,0.32,0.3,0.02,6.6667
2020-09-30,2020-11-05,0.32,0.24,0.08,33.3333
2020-06-30,2020-08-04,0.39,0.27,0.12,44.4444
2020-03-31,2020-05-05,0.33,0.25,0.08,32
2019-12-31,2020-02-05,0.29,0.16,0.13,81.25
2019-09-30,2019-10-31,0.02,-0.01,0.03,300
2019-06-30,2019-08-06,0.02,-0.03,0.05,166.6667
2019-03-31,2019-05-07,0.18,0.11,0.07,63.6364
2018-12-31,2019-02-06,0.25,0.2,0.05,25
2018-09-30,2018-11-01,0.26,0.18,0.08,44.4444
2018-06-30,2018-08-02,0.43,0.35,0.08,22.8571
2018-03-31,2018-05-02,0.41,0.38,0.03,7.8947
2017-12-31,2018-02-06,0.47,0.39,0.08,20.5128
2017-09-30,2017-11-02,0.35,0.28,0.07,25
2017-06-30,2017-08-03,0.42,0.33,0.09,27.2727
2017-03-31,2017-05-04,0.29,0.21,0.08,38.0952
2016-12-31,2017-02-01,0.13,0.1,0.03,30
2016-09-30,2016-11-02,0.07,0.04,0.03,75
2016-06-30,2016-08-02,0.1,0.04,0.06,150
2016-03-31,2016-05-02,0.08,0.03,0.05,166.6667
2015-12-31,2016-02-02,0.04,0.02,0.02,100
2015-09-30,2015-11-04,0.2,0.16,0.04,25
2015-06-30,2015-08-04,0.2,0.12,0.08,66.6667
2015-03-31,2015-05-05,0.08,0.02,0.06,300
2014-12-31,2015-02-05,0.0056,-0.11,0.1156,105.0909
2014-09-30,2014-11-05,-0.08,-0.15,0.07,46.6667
2014-06-30,2014-08-04,-0.24,-0.24,0,0
2014-03-31,2014-05-06,0.006,0.03,-0.024,-80
2013-12-31,2014-02-04,0.04,0.08,-0.04,-50
2013-09-30,2013-11-06,-0.16,-0.12,-0.04,-33.3333
2013-06-30,2013-08-01,-0.16,-0.2,0.04,20
2013-03-31,2013-05-02,-0.28,-0.28,0,0
2012-12-31,2013-02-04,-0.84,-0.28,-0.56,-200
2012-09-30,2012-11-01,-0.28,-0.32,0.04,12.5
2012-06-30,2012-08-02,-0.0175,-0.2,0.1825,91.25
2012-03-31,2012-05-03,-0.36,-0.32,-0.04,-12.5
2011-12-31,2012-02-02,-0.04,-0.16,0.12,75
2011-09-30,2011-10-25,0.04,0.02,0.02,100
2011-06-30,2011-08-04,0.16,0.06,0.1,166.6667
2011-03-31,2011-04-27,0.08,0.1,-0.02,-20
2010-12-31,2011-02-01,0.08,0.12,-0.04,-33.3333
2010-09-30,2010-11-03,-0.2,-0.2,0,0
2010-06-30,2010-07-28,-0.16,-0.36,0.2,55.5556
2010-03-31,2010-05-05,-0.4265,None,None,None
2009-12-31,2010-02-18,-0.3863,None,None,None
2009-09-30,2009-11-05,-0.6,-0.66,0.06,9.0909
2009-06-30,2009-08-07,-0.88,-0.84,-0.04,-4.7619
2009-03-31,2009-05-11,-1.12,-0.72,-0.4,-55.5556
2008-12-31,2009-03-31,-5.48,-0.84,-4.64,-552.381
2008-09-30,2008-11-04,-0.96,-0.92,-0.04,-4.3478
2008-06-30,2008-08-08,-0.64,-0.47,-0.17,-36.1702
2008-03-31,2008-05-07,-0.44,-0.37,-0.07,-18.9189
2007-12-31,2008-01-31,-0.32,-0.36,0.04,11.1111
2007-09-30,2007-11-01,-0.12,-0.15,0.03,20
2007-06-30,2007-08-01,0.2,0.26,-0.06,-23.0769
2007-03-31,2007-05-02,0.12,0.17,-0.05,-29.4118
2006-12-31,2007-01-31,0.6,0.48,0.12,25
2006-09-30,2006-11-01,0.48,0.58,-0.1,-17.2414
2006-06-30,2006-08-02,0.48,0.47,0.01,2.1277
2006-03-31,2006-05-04,0.04,0.06,-0.02,-33.3333
2005-12-31,2006-02-08,0.04,-0.12,0.16,133.3333
2005-09-30,2005-10-26,-0.08,-0.21,0.13,61.9048
2005-06-30,2005-07-27,0.2,0.16,0.04,25
2005-03-31,2005-05-04,0.2,0.15,0.05,33.3333
2004-12-31,2005-02-03,0.28,0.23,0.05,21.7391
2004-09-30,2004-11-03,0.76,1.27,-0.51,-40.1575
2004-06-30,2004-07-28,1.32,1.06,0.26,24.5283
2004-03-31,2004-04-27,0.52,0.38,0.14,36.8421
2003-12-31,2004-01-28,0.12,0.09,0.03,33.3333
2003-09-30,2003-10-27,-0.68,-0.68,0,0
2003-06-30,2003-07-29,-0.36,-0.4,0.04,10
2003-03-31,2003-05-01,-0.24,-0.27,0.03,11.1111
2002-12-31,2003-01-23,-0.28,-0.32,0.04,12.5
2002-09-30,2002-10-23,0.0078,-0.04,0.0478,119.5
2002-06-30,2002-07-18,-0.08,-0.17,0.09,52.9412
2002-03-31,2002-04-24,-0.72,-0.82,0.1,12.1951
2001-12-31,2002-01-22,-0.64,-0.67,0.03,4.4776
2001-09-30,2001-10-24,-0.56,-0.7,0.14,20
2001-06-30,2001-07-25,-0.0886,-0.03,-0.0586,-195.3333
2001-03-31,2001-04-19,0.76,0.7,0.06,8.5714
2000-12-31,2001-01-22,1.24,1.24,0,0
2000-09-30,2000-10-16,1.2,1.04,0.16,15.3846
