fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-14,0.89,0.82,0.07,8.5366
2022-06-30,2022-08-08,0.86,0.82,0.04,4.878
2022-03-31,2022-05-09,0.83,0.78,0.05,6.4103
2021-12-31,2022-02-07,0.89,0.77,0.12,15.5844
2021-09-30,2021-11-15,0.81,0.77,0.04,5.1948
2021-06-30,2021-08-09,0.73,0.72,0.01,1.3889
2021-03-31,2021-05-10,0.67,0.64,0.03,4.6875
2020-12-31,2021-02-08,0.62,0.57,0.05,8.7719
2020-09-30,2020-11-16,0.6,0.57,0.03,5.2632
2020-06-30,2020-08-04,0.55,0.49,0.06,12.2449
2020-03-31,2020-05-05,0.55,0.5,0.05,10
2019-12-31,2020-02-03,0.46,0.67,-0.21,-31.3433
2019-09-30,2019-11-12,0.79,0.8,-0.01,-1.25
2019-06-30,2019-08-06,0.72,0.74,-0.02,-2.7027
2019-03-31,2019-05-08,0.69,0.63,0.06,9.5238
2018-12-31,2019-02-05,0.56,0.53,0.03,5.6604
2018-09-30,2018-11-12,0.83,0.82,0.01,1.2195
2018-06-30,2018-08-07,0.62,0.62,0,0
2018-03-31,2018-05-08,0.67,0.66,0.01,1.5152
2017-12-31,2018-02-06,0.57,0.54,0.03,5.5556
2017-09-30,2017-11-13,0.74,0.73,0.01,1.3699
2017-06-30,2017-08-08,0.78,0.78,0,0
2017-03-31,2017-05-09,0.89,0.59,0.3,50.8475
2016-12-31,2017-02-07,0.53,0.51,0.02,3.9216
2016-09-30,2016-11-14,0.65,0.71,-0.06,-8.4507
2016-06-30,2016-08-09,0.81,0.7,0.11,15.7143
2016-03-31,2016-05-10,0.87,0.72,0.15,20.8333
2015-12-31,2016-02-09,0.68,0.6,0.08,13.3333
2015-09-30,2015-11-10,0.95,0.93,0.02,2.1505
2015-06-30,2015-08-11,0.74,0.85,-0.11,-12.9412
2015-03-31,2015-05-12,0.58,0.53,0.05,9.434
2014-12-31,2015-02-10,0.71,0.56,0.15,26.7857
2014-09-30,2014-11-11,0.64,0.82,-0.18,-21.9512
2014-06-30,2014-08-05,0.65,0.64,0.01,1.5625
2014-03-31,2014-05-06,0.41,0.41,0,0
2013-12-31,2014-02-04,0.58,0.36,0.22,61.1111
2013-09-30,2013-11-12,0.77,0.79,-0.02,-2.5316
2013-06-30,2013-08-06,0.7,0.64,0.06,9.375
2013-03-31,2013-05-07,0.53,0.51,0.02,3.9216
2012-12-31,2013-02-05,0.36,0.3,0.06,20
2012-09-30,2012-11-13,0.83,0.82,0.01,1.2195
2012-06-30,2012-08-07,0.63,0.64,-0.01,-1.5625
2012-03-31,2012-05-03,0.43,0.45,-0.02,-4.4444
2011-12-31,2012-02-02,0.42,0.46,-0.04,-8.6957
2011-09-30,2011-11-10,0.75,0.73,0.02,2.7397
2011-06-30,2011-08-04,0.62,0.61,0.01,1.6393
2011-03-31,2011-05-05,0.49,0.49,0,0
2010-12-31,2011-02-08,0.48,0.48,0,0
2010-09-30,2010-11-11,0.58,0.56,0.02,3.5714
2010-06-30,2010-08-05,0.56,0.55,0.01,1.8182
2010-03-31,2010-05-06,0.51,0.46,0.05,10.8696
2009-12-31,2010-02-09,0.4,0.39,0.01,2.5641
2009-09-30,2009-11-12,0.48,0.46,0.02,4.3478
2009-06-30,2009-08-06,0.45,0.44,0.01,2.2727
2009-03-31,2009-05-07,0.4,0.4,0,0
2008-12-31,2009-02-10,0.38,0.38,0,0
2008-09-30,2008-11-12,0.4,0.37,0.03,8.1081
2008-06-30,2008-08-07,0.37,0.35,0.02,5.7143
2008-03-31,2008-05-08,0.35,0.31,0.04,12.9032
2007-12-31,2008-02-12,0.29,0.26,0.03,11.5385
2007-09-30,2007-11-27,0.29,0.28,0.01,3.5714
2007-06-30,2007-08-08,0.26,0.25,0.01,4
2007-03-31,2007-06-22,0.3225,None,None,None
