fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,-0.32,-0.38,0.06,15.7895
2022-06-30,2022-08-03,-0.37,-0.43,0.06,13.9535
2022-03-31,2022-05-04,-0.44,-0.46,0.02,4.3478
2021-12-31,2022-02-15,-0.43,-0.45,0.02,4.4444
2021-09-30,2021-11-03,-0.4,-0.42,0.02,4.7619
2021-06-30,2021-08-04,-0.35,-0.43,0.08,18.6047
2021-03-31,2021-05-05,-0.29,-0.41,0.12,29.2683
2020-12-31,2021-02-24,-0.33,-0.29,-0.04,-13.7931
2020-09-30,2020-11-10,-0.27,-0.28,0.01,3.5714
2020-06-30,2020-08-10,-0.26,-0.28,0.02,7.1429
2020-03-31,2020-05-12,-0.25,-0.2,-0.05,-25
2019-12-31,2020-02-26,-0.17,-0.2,0.03,15
2019-09-30,2019-11-12,-0.11,-0.24,0.13,54.1667
2019-06-30,2019-08-13,-1.23,-0.14,-1.09,-778.5714
2019-03-31,2019-06-27,-0.18,0,-0.18,None
