fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,1.97,1.63,0.34,20.8589
2022-06-30,2022-08-11,2.02,1.66,0.36,21.6867
2022-03-31,2022-04-28,1.75,1.52,0.23,15.1316
2021-12-31,2022-01-27,1.46,1.08,0.38,35.1852
2021-09-30,2021-10-27,1.36,1.26,0.1,7.9365
2021-06-30,2021-08-17,1.44,1.15,0.29,25.2174
2021-03-31,2021-04-29,1.37,1.03,0.34,33.0097
2020-12-31,2021-01-28,0.98,0.74,0.24,32.4324
2020-09-30,2020-10-28,0.89,0.64,0.25,39.0625
2020-06-30,2020-08-12,0.8,0.68,0.12,17.6471
2020-03-31,2020-04-30,1.02,1.01,0.01,0.9901
2019-12-31,2020-01-23,0.97,0.95,0.02,2.1053
2019-09-30,2019-10-30,1.02,0.99,0.03,3.0303
2019-06-30,2019-08-14,1.2,1.16,0.04,3.4483
2019-03-31,2019-04-26,1.16,1.15,0.01,0.8696
2018-12-31,2019-01-24,0.99,1.06,-0.07,-6.6038
2018-09-30,2018-10-31,1.24,1.12,0.12,10.7143
2018-06-30,2018-08-10,1.03,1,0.03,3
2018-03-31,2018-04-26,0.93,0.82,0.11,13.4146
2017-12-31,2018-01-25,0.79,0.71,0.08,11.2676
2017-09-30,2017-10-25,0.86,0.76,0.1,13.1579
2017-06-30,2017-08-11,0.78,0.78,0,0
2017-03-31,2017-04-27,0.75,0.63,0.12,19.0476
2016-12-31,2017-01-26,0.61,0.59,0.02,3.3898
2016-09-30,2016-10-26,0.7,0.61,0.09,14.7541
2016-06-30,2016-08-12,0.66,0.66,0,0
2016-03-31,2016-04-28,0.61,0.61,0,0
2015-12-31,2016-01-28,0.61,0.61,0,0
2015-09-30,2015-10-28,0.61,0.66,-0.05,-7.5758
2015-06-30,2015-08-12,0.7,0.73,-0.03,-4.1096
2015-03-31,2015-04-30,0.7,0.76,-0.06,-7.8947
2014-12-31,2015-01-29,0.72,0.68,0.04,5.8824
2014-09-30,2014-10-29,0.7,0.71,-0.01,-1.4085
2014-06-30,2014-08-13,0.71,0.75,-0.04,-5.3333
2014-03-31,2014-05-01,0.65,0.71,-0.06,-8.4507
2013-12-31,2014-01-30,0.61,0.59,0.02,3.3898
2013-09-30,2013-10-30,0.63,0.7,-0.07,-10
2013-06-30,2013-08-14,0.76,0.76,0,0
2013-03-31,2013-05-02,0.69,0.68,0.01,1.4706
2012-12-31,2013-01-31,0.64,0.65,-0.01,-1.5385
2012-09-30,2012-10-23,0.7,0.71,-0.01,-1.4085
2012-06-30,2012-08-09,0.75,0.71,0.04,5.6338
2012-03-31,2012-04-26,0.69,0.64,0.05,7.8125
2011-12-31,2012-01-25,0.56,0.54,0.02,3.7037
2011-09-30,2011-10-25,0.61,0.55,0.06,10.9091
2011-06-30,2011-08-09,0.68,0.61,0.07,11.4754
2011-03-31,2011-04-21,0.61,0.51,0.1,19.6078
2010-12-31,2011-01-21,0.49,0.44,0.05,11.3636
