fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,0.31,0.26,0.05,19.2308
2022-06-30,2022-07-28,0.24,0.22,0.02,9.0909
2022-03-31,2022-05-09,0.21,0.21,0,0
2021-12-31,2022-02-01,0.19,0.18,0.01,5.5556
2021-09-30,2021-10-28,0.2,0.18,0.02,11.1111
2021-06-30,2021-07-29,0.18,0.16,0.02,12.5
2021-03-31,2021-05-05,0.15,0.14,0.01,7.1429
2020-12-31,2021-02-02,0.13,0.12,0.01,8.3333
2020-09-30,2020-10-30,0.3,0.1012,0.1988,196.4427
2020-06-30,2020-09-02,0.07,0,0.07,None
2020-03-31,2020-06-26,0.48,0,0.48,None
2019-06-30,2019-09-27,1.1565,0,1.1565,None
2019-03-31,2019-06-28,0.3184,0,0.3184,None
2007-12-31,2008-01-29,0.14,0,0.14,None
