fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-31,4.4,None,None,None
2022-06-30,2022-08-01,4.32,None,None,None
2022-03-31,2022-05-02,4.26,None,None,None
2021-12-31,2022-02-14,4.23,2.95,1.28,43.3898
2021-09-30,2021-11-01,2.39,2.93,-0.54,-18.43
2021-06-30,2021-08-02,4.33,2.94,1.39,47.2789
2021-03-31,2021-05-03,3.49,3.07,0.42,13.6808
2020-12-31,2021-02-16,3.6,2.86,0.74,25.8741
2020-09-30,2020-11-02,1.29,1.22,0.07,5.7377
2020-06-30,2020-08-03,2.41,1.48,0.93,62.8378
2020-03-31,2020-05-04,0.89,3.33,-2.44,-73.2733
2019-12-31,2020-02-18,2.82,4.95,-2.13,-43.0303
2019-09-30,2019-10-28,3.22,4.74,-1.52,-32.0675
2019-06-30,2019-07-29,2.2,4.87,-2.67,-54.8255
2019-03-31,2019-04-29,3.49,4.66,-1.17,-25.1073
2018-12-31,2019-02-11,1.95,4.75,-2.8,-58.9474
2018-09-30,2018-10-29,2.93,4.39,-1.46,-33.2574
2018-06-30,2018-07-30,3.43,5.31,-1.88,-35.4049
2018-03-31,2018-04-30,2.76,-0.19,2.95,1552.6316
2017-12-31,2018-02-12,3.5,None,None,None
2017-09-30,2017-10-30,3.97,None,None,None
2017-06-30,2017-07-31,4.04,None,None,None
2017-03-31,2017-05-01,4.24,None,None,None
2016-12-31,2017-02-13,4.23,None,None,None
2016-09-30,2016-10-31,4.11,None,None,None
2016-06-30,2016-08-01,4.2565,None,None,None
2016-03-31,2016-05-02,4.3064,None,None,None
2015-12-31,2016-02-17,4.6101,None,None,None
2015-09-30,2015-11-02,3.554,None,None,None
2015-06-30,2015-08-04,3.3922,None,None,None
2015-03-31,2015-05-05,3.4869,None,None,None
2014-12-31,2015-02-23,3.5532,None,None,None
2014-09-30,2014-11-03,3.4614,None,None,None
2014-06-30,2014-08-04,3.2929,None,None,None
2014-03-31,2014-05-05,2.9833,None,None,None
2013-12-31,2014-02-24,3.0902,None,None,None
2013-09-30,2013-11-04,2.7054,None,None,None
2013-06-30,2013-08-05,2.5719,None,None,None
2013-03-31,2013-05-06,2.7725,None,None,None
2012-12-31,2013-02-26,120.8309,None,None,None
2012-09-30,2012-11-01,3.6915,None,None,None
2012-06-30,2012-08-06,3.6989,None,None,None
2012-03-31,2012-05-07,3.8148,None,None,None
2011-12-31,2012-02-27,4.0407,None,None,None
2011-09-30,2011-11-03,3.9994,None,None,None
2011-06-30,2011-08-01,3.9474,None,None,None
2011-03-31,2011-05-02,3.5659,None,None,None
2010-12-31,2011-02-22,3.504,None,None,None
2010-09-30,2010-11-01,3.5008,None,None,None
2010-06-30,2010-08-02,3.0452,None,None,None
2010-03-31,2010-05-03,2.96,None,None,None
2009-12-31,2010-02-22,2.9581,None,None,None
2009-09-30,2009-11-02,11.37,2.96,8.41,284.1216
2009-06-30,2009-08-03,2.547,None,None,None
2009-03-31,2009-05-04,9.0252,None,None,None
2008-12-31,2009-02-23,10.6158,None,None,None
2008-09-30,2008-11-03,-6.2019,None,None,None
2008-06-30,2008-08-04,7.5434,None,None,None
2008-03-31,2008-05-05,2.9751,None,None,None
2007-12-31,2008-02-25,6.66,None,None,None
2007-09-30,2007-10-29,5.6192,None,None,None
2007-06-30,2007-07-30,3.849,None,None,None
2007-03-31,2007-04-30,6.3157,None,None,None
2006-12-31,2007-02-26,-14.8014,None,None,None
2006-09-30,2006-10-30,-3.7047,None,None,None
2006-06-30,2006-07-31,7.2477,None,None,None
2006-03-31,2006-05-01,-3.7527,None,None,None
2005-12-31,2006-02-27,7.9354,None,None,None
2005-09-30,2005-10-27,-1.3445,None,None,None
2005-06-30,2005-07-28,3.437,None,None,None
2005-03-31,2005-04-28,6.1508,None,None,None
2004-12-31,2005-02-27,-0.2607,None,None,None
2004-09-30,2004-10-27,-2.3336,None,None,None
2004-06-30,2004-07-28,0.4985,None,None,None
2004-03-31,2004-04-28,-4.5964,None,None,None
2003-12-31,2004-03-02,-0.92,None,None,None
2003-09-30,2003-10-30,-2.7115,None,None,None
2003-06-30,2003-06-30,-0.879,None,None,None
2003-03-31,2003-03-31,0.9606,None,None,None
2002-12-31,2002-12-31,0.7611,None,None,None
2002-09-30,2002-09-30,3.4753,None,None,None
2002-06-30,2002-06-30,-0.2266,None,None,None
2002-03-31,2002-03-31,0.7061,None,None,None
2001-12-31,2001-12-31,-0.5065,None,None,None
2001-09-30,2001-09-30,0.4483,None,None,None
2001-06-30,2001-06-30,0.4139,None,None,None
2001-03-31,2001-03-31,5.1204,None,None,None
2000-12-31,2000-12-31,1.7899,None,None,None
2000-09-30,2000-09-30,-1.0844,None,None,None
2000-06-30,2000-06-30,0.0466,None,None,None
2000-03-31,2000-03-31,0.2821,None,None,None
1999-12-31,1999-12-31,0.0156,None,None,None
1999-09-30,1999-09-30,0.3231,None,None,None
1999-06-30,1999-06-30,0.4652,None,None,None
1999-03-31,1999-03-31,0.2949,None,None,None
1998-12-31,1998-12-31,0.77,None,None,None
1998-09-30,1998-09-30,-2.3879,None,None,None
1998-06-30,1998-06-30,0.2205,None,None,None
1998-03-31,1998-03-31,0.1819,None,None,None
