fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,0.14,0.12,0.02,16.6667
2022-06-30,2022-08-04,0.16,0.11,0.05,45.4545
2022-03-31,2022-05-05,0.16,0.11,0.05,45.4545
2021-12-31,2022-02-24,0.14,0.11,0.03,27.2727
2021-09-30,2021-11-04,0.11,0.07,0.04,57.1429
2021-06-30,2021-08-05,0.06,0.05,0.01,20
2021-03-31,2021-05-06,0.09,0.06,0.03,50
2020-12-31,2021-02-25,0.09,0.06,0.03,50
2020-09-30,2020-11-05,0.07,0.03,0.04,133.3333
2020-06-30,2020-08-06,0.05,0.03,0.02,66.6667
2020-03-31,2020-05-07,0.07,0.06,0.01,16.6667
2019-12-31,2020-02-27,0.08,0.06,0.02,33.3333
2019-09-30,2019-11-07,0.08,0.04,0.04,100
2019-06-30,2019-07-29,0.08,0.04,0.04,100
2019-03-31,2019-05-02,0.05,0.03,0.02,66.6667
2018-12-31,2019-02-21,0.06,0.05,0.01,20
2018-09-30,2018-11-01,0.05,0.05,0,0
2018-06-30,2018-08-02,-0.05,0.04,-0.09,-225
2018-03-31,2018-05-03,0.02,0.03,-0.01,-33.3333
2017-12-31,2018-02-22,-0.08,0.02,-0.1,-500
2017-09-30,2017-11-02,0.01,-0.01,0.02,200
2017-06-30,2017-08-03,-0.0007,0.01,-0.0107,-107
2017-03-31,2017-05-04,-0.01,0.259,-0.269,-103.861
2016-12-31,2017-02-23,-0.01,-0.04,0.03,75
2016-09-30,2016-11-03,-0.09,-0.05,-0.04,-80
2016-06-30,2016-08-04,-0.04,-0.06,0.02,33.3333
2016-03-31,2016-05-05,-0.02,-0.09,0.07,77.7778
2015-12-31,2016-02-25,-0.1,-0.09,-0.01,-11.1111
2015-09-30,2015-11-05,-0.14,-0.05,-0.09,-180
2015-06-30,2015-08-06,-0.08,-0.07,-0.01,-14.2857
2015-03-31,2015-05-07,-0.08,-0.07,-0.01,-14.2857
2014-12-31,2015-02-26,-0.09,-0.01,-0.08,-800
2014-09-30,2014-11-03,-0.11,-0.01,-0.1,-1000
2014-06-30,2014-08-04,-0.04,None,None,None
2014-03-31,2014-05-05,-0.06,-0.01,-0.05,-500
2013-12-31,2014-03-13,-0.08,0.02,-0.1,-500
2013-09-30,2013-11-07,-0.05,0.01,-0.06,-600
2013-06-30,2013-08-28,-0.0755,None,None,None
