fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,2.57,2.37,0.2,8.4388
2022-06-30,2022-08-04,3.31,2.97,0.34,11.4478
2022-03-31,2022-05-05,3.49,3.2,0.29,9.0625
2021-12-31,2022-02-17,2.95,2.66,0.29,10.9023
2021-09-30,2021-11-04,1.73,1.3,0.43,33.0769
2021-06-30,2021-08-05,1.64,1.43,0.21,14.6853
2021-03-31,2021-05-06,1.7,1.37,0.33,24.0876
2020-12-31,2021-02-18,1,0.88,0.12,13.6364
2020-09-30,2020-11-05,0.82,0.69,0.13,18.8406
2020-06-30,2020-08-06,0.83,0.64,0.19,29.6875
2020-03-31,2020-05-11,0.79,0.78,0.01,1.2821
2019-12-31,2020-02-13,0.85,0.73,0.12,16.4384
2019-09-30,2019-10-31,0.81,0.71,0.1,14.0845
2019-06-30,2019-08-06,0.77,0.68,0.09,13.2353
2019-03-31,2019-05-02,0.75,0.7,0.05,7.1429
2018-12-31,2019-02-14,0.81,0.79,0.02,2.5316
2018-09-30,2018-10-31,0.84,0.76,0.08,10.5263
2018-06-30,2018-08-02,0.83,0.78,0.05,6.4103
2018-03-31,2018-05-03,0.81,0.79,0.02,2.5316
2017-12-31,2018-02-15,0.63,0.64,-0.01,-1.5625
2017-09-30,2017-11-02,0.63,0.6,0.03,5
2017-06-30,2017-08-03,0.67,0.6,0.07,11.6667
2017-03-31,2017-05-04,0.63,0.61,0.02,3.2787
2016-12-31,2017-02-16,0.62,0.54,0.08,14.8148
2016-09-30,2016-11-03,0.62,0.54,0.08,14.8148
2016-06-30,2016-08-04,0.61,0.53,0.08,15.0943
2016-03-31,2016-05-05,0.6,0.5,0.1,20
2015-12-31,2016-02-18,0.47,0.41,0.06,14.6341
2015-09-30,2015-11-04,0.48,0.34,0.14,41.1765
2015-06-30,2015-08-04,0.38,0.26,0.12,46.1538
2015-03-31,2015-05-06,0.3,0.2,0.1,50
2014-12-31,2015-02-19,0.21,0.18,0.03,16.6667
2014-09-30,2014-10-30,0.18,0.17,0.01,5.8824
2014-06-30,2014-07-31,0.19,0.16,0.03,18.75
2014-03-31,2014-05-01,0.16,0.15,0.01,6.6667
2013-12-31,2014-02-20,0.17,0.16,0.01,6.25
2013-09-30,2013-10-31,0.18,0.16,0.02,12.5
2013-06-30,2013-08-01,0.18,0.15,0.03,20
2013-03-31,2013-05-02,0.16,0.13,0.03,23.0769
2012-12-31,2013-02-21,0.15,0.11,0.04,36.3636
2012-09-30,2012-11-01,0.12,0.1,0.02,20
2012-06-30,2012-08-02,0.11,0.07,0.04,57.1429
2012-03-31,2012-05-03,0.07,0.04,0.03,75
2011-12-31,2012-03-08,0.04,0.03,0.01,33.3333
2011-09-30,2011-11-03,0.05,0.03,0.02,66.6667
2011-06-30,2011-08-04,0.03,0.03,0,0
2011-03-31,2011-05-05,0.07,0.01,0.06,600
2010-12-31,2011-03-08,-0.01,0.01,-0.02,-200
2010-09-30,2010-11-04,-1.4824,0.03,-1.5124,-5041.3333
2010-06-30,2010-07-28,0.02,0.03,-0.01,-33.3333
2010-03-31,2010-05-06,0.02,0.01,0.01,100
2009-12-31,2010-03-04,-0.02,None,None,None
2009-09-30,2009-10-29,0.05,0.04,0.01,25
2009-06-30,2009-08-06,0.17,0.06,0.11,183.3333
2009-03-31,2009-05-07,0.11,0.1,0.01,10
2008-12-31,2009-02-26,0.23,0.21,0.02,9.5238
2008-09-30,2008-10-30,0.28,0.32,-0.04,-12.5
2008-06-30,2008-08-06,0.27,0.28,-0.01,-3.5714
2008-03-31,2008-05-07,0.28,0.25,0.03,12
2007-12-31,2008-02-26,0.26,0.26,0,0
2007-09-30,2007-10-30,0.29,0.28,0.01,3.5714
2007-06-30,2007-08-06,0.26,0.25,0.01,4
2007-03-31,2007-04-30,0.23,0.23,0,0
2006-12-31,2007-03-01,0.29,0.23,0.06,26.087
2006-09-30,2006-11-01,0.28,0.23,0.05,21.7391
2006-06-30,2006-08-07,0.19,0.2,-0.01,-5
2006-03-31,2006-05-01,0.24,0.19,0.05,26.3158
2005-12-31,2006-03-08,0.21,0.2,0.01,5
2005-09-30,2005-11-03,0.22,0.18,0.04,22.2222
2005-06-30,2005-08-03,0.14,0.15,-0.01,-6.6667
2005-03-31,2005-05-09,0.13,0.13,0,0
2004-12-31,2005-03-08,0.14,0.14,0,0
2004-09-30,2004-11-04,0.13,0.12,0.01,8.3333
2004-06-30,2004-07-28,0.14,0.14,0,0
2004-03-31,2004-04-28,0.15,0.16,-0.01,-6.25
2003-12-31,2004-02-25,0.17,0.17,0,0
2003-09-30,2003-11-04,0.22,0.21,0.01,4.7619
2003-06-30,2003-07-28,0.27,0.23,0.04,17.3913
2003-03-31,2003-04-29,0.29,0.29,0,0
2002-12-31,2003-02-13,0.32,0.31,0.01,3.2258
2002-09-30,2002-10-28,0.3,0.29,0.01,3.4483
2002-06-30,2002-07-29,0.27,0.25,0.02,8
2002-03-31,2002-04-23,0.24,0.21,0.03,14.2857
2001-12-31,2002-02-14,0.23,0.21,0.02,9.5238
