fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,0.73,0.75,-0.02,-2.6667
2022-06-30,2022-07-28,0.68,0.68,0,0
2022-03-31,2022-04-27,0.82,0.66,0.16,24.2424
2021-12-31,2022-02-22,-0.0028,0.9,-0.9028,-100.3111
2021-09-30,2021-10-27,1.02,0.77,0.25,32.4675
2021-06-30,2021-07-28,1.04,0.74,0.3,40.5405
2021-03-31,2021-04-29,0.76,0.73,0.03,4.1096
2020-12-31,2021-02-24,1.22,0.86,0.36,41.8605
2020-09-30,2020-10-28,1.16,0.72,0.44,61.1111
2020-06-30,2020-07-30,1,0.69,0.31,44.9275
2020-03-31,2020-04-29,0.88,0.79,0.09,11.3924
2019-12-31,2020-02-19,1.7,0.81,0.89,109.8765
2019-09-30,2019-10-31,1.09,0.8,0.29,36.25
2019-06-30,2019-07-31,0.9,0.8,0.1,12.5
2019-03-31,2019-05-01,0.91,0.8,0.11,13.75
2018-12-31,2019-02-27,1.07,0.87,0.2,22.9885
2018-09-30,2018-10-24,1.01,0.78,0.23,29.4872
2018-06-30,2018-08-01,0.92,0.77,0.15,19.4805
2018-03-31,2018-04-25,0.86,0.77,0.09,11.6883
2017-12-31,2018-02-26,0.69,0.85,-0.16,-18.8235
2017-09-30,2017-10-25,0.87,0.79,0.08,10.1266
2017-06-30,2017-07-27,0.82,0.77,0.05,6.4935
2017-03-31,2017-04-26,0.71,0.91,-0.2,-21.978
2016-12-31,2017-02-22,1.04,0.98,0.06,6.1224
2016-09-30,2016-10-26,0.93,0.9,0.03,3.3333
2016-06-30,2016-07-28,0.85,0.89,-0.04,-4.4944
2016-03-31,2016-04-27,1.26,0.83,0.43,51.8072
2015-12-31,2016-02-24,1.2,0.9,0.3,33.3333
2015-09-30,2015-10-28,0.94,0.84,0.1,11.9048
2015-06-30,2015-07-30,0.84,0.79,0.05,6.3291
2015-03-31,2015-04-29,0.79,0.74,0.05,6.7568
2014-12-31,2015-02-26,0.87,0.78,0.09,11.5385
2014-09-30,2014-10-29,0.72,0.66,0.06,9.0909
2014-06-30,2014-07-30,0.67,0.61,0.06,9.8361
2014-03-31,2014-04-30,0.56,0.63,-0.07,-11.1111
2013-12-31,2014-02-26,0.9,0.56,0.34,60.7143
2013-09-30,2013-10-31,0.54,0.48,0.06,12.5
2013-06-30,2013-07-31,0.45,0.5,-0.05,-10
2013-03-31,2013-05-01,0.47,0.48,-0.01,-2.0833
2012-12-31,2013-02-27,0.49,0.38,0.11,28.9474
2012-09-30,2012-11-01,0.35,0.36,-0.01,-2.7778
2012-06-30,2012-07-30,0.18,0.4,-0.22,-55
2012-03-31,2012-05-09,0.45,0.33,0.12,36.3636
2011-12-31,2012-03-01,0.32,0.35,-0.03,-8.5714
2011-09-30,2011-11-01,0.33,0.29,0.04,13.7931
2011-06-30,2011-08-02,0.23,0.37,-0.14,-37.8378
2011-03-31,2011-05-02,0.35,0.38,-0.03,-7.8947
2010-12-31,2011-03-03,0.38,0.4,-0.02,-5
2010-09-30,2010-11-04,0.26,0.46,-0.2,-43.4783
2010-06-30,2010-08-04,0.53,0.45,0.08,17.7778
2010-03-31,2010-05-03,0.45,0.44,0.01,2.2727
2009-12-31,2010-03-01,0.32,0.58,-0.26,-44.8276
2009-09-30,2009-11-05,0.67,0.54,0.13,24.0741
2009-06-30,2009-08-05,0.67,0.54,0.13,24.0741
2009-03-31,2009-04-29,0.54,0.54,0,0
2008-12-31,2009-02-23,0.94,0.56,0.38,67.8571
2008-09-30,2008-11-06,0.65,0.54,0.11,20.3704
2008-06-30,2008-08-06,0.63,0.54,0.09,16.6667
2008-03-31,2008-05-01,0.59,0.49,0.1,20.4082
2007-12-31,2008-02-27,0.92,0.96,-0.04,-4.1667
2007-09-30,2007-11-07,0.58,0.47,0.11,23.4043
2007-06-30,2007-08-06,0.56,0.48,0.08,16.6667
2007-03-31,2007-05-07,0.42,0.41,0.01,2.439
2006-12-31,2007-02-27,0.55,0.36,0.19,52.7778
2006-09-30,2006-10-31,0.42,0.31,0.11,35.4839
2006-06-30,2006-08-14,0.36,0.3,0.06,20
2006-03-31,2006-05-09,0.32,0.28,0.04,14.2857
2005-12-31,2006-02-28,0.39,0.2,0.19,95
