fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-20,0.62,0.53,0.09,16.9811
2022-06-30,2022-07-20,0.23,0.46,-0.23,-50
2022-03-31,2022-04-20,0.45,0.42,0.03,7.1429
2021-12-31,2022-01-19,0.52,0.4,0.12,30
2021-09-30,2021-10-20,0.45,0.39,0.06,15.3846
2021-06-30,2021-07-21,0.42,0.38,0.04,10.5263
2021-03-31,2021-04-28,0.38,0.25,0.13,52
2020-12-31,2021-01-29,0.24,0.13,0.11,84.6154
2020-09-30,2020-10-29,-0.09,0.06,-0.15,-250
2020-06-30,2020-07-24,-0.49,-0.09,-0.4,-444.4444
2020-03-31,2020-04-28,-0.09,0.17,-0.26,-152.9412
2019-12-31,2020-01-30,0.26,0.22,0.04,18.1818
2019-09-30,2019-10-29,0.3,0.3,0,0
2019-06-30,2019-07-26,0.35,0.31,0.04,12.9032
2019-03-31,2019-04-26,0.32,0.3,0.02,6.6667
2018-12-31,2019-01-29,0.47,0.3,0.17,56.6667
2018-09-30,2018-11-13,1.22,None,None,None
2018-06-30,2018-09-21,0.41,0,0.41,None
