fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-07,0.26,0.24,0.02,8.3333
2022-06-30,2022-08-04,0.29,0.23,0.06,26.087
2022-03-31,2022-05-05,0.08,0.05,0.03,60
2021-12-31,2022-02-22,0.06,0.06,0,0
2021-09-30,2021-11-04,0.14,0.1,0.04,40
2021-06-30,2021-08-05,0.09,-0.01,0.1,1000
2021-03-31,2021-05-06,-0.21,-0.14,-0.07,-50
2020-12-31,2021-02-23,-0.23,-0.14,-0.09,-64.2857
2020-09-30,2020-11-05,-0.18,-0.14,-0.04,-28.5714
2020-06-30,2020-08-06,-0.35,-0.29,-0.06,-20.6897
2020-03-31,2020-05-18,-0.01,0.04,-0.05,-125
2019-12-31,2020-02-24,0.11,0.12,-0.01,-8.3333
2019-09-30,2019-11-04,0.21,0.24,-0.03,-12.5
2019-06-30,2019-08-05,0.28,0.29,-0.01,-3.4483
2019-03-31,2019-05-08,0.17,0.17,0,0
2018-12-31,2019-02-25,0.15,0.14,0.01,7.1429
2018-09-30,2018-11-05,0.27,0.28,-0.01,-3.5714
2018-06-30,2018-08-06,0.29,0.31,-0.02,-6.4516
2018-03-31,2018-05-07,0.18,0.19,-0.01,-5.2632
2017-12-31,2018-02-22,-0.01,0.17,-0.18,-105.8824
2017-09-30,2017-11-06,0.28,0.3,-0.02,-6.6667
2017-06-30,2017-08-07,0.39,0.36,0.03,8.3333
2017-03-31,2017-05-04,0.15,0.19,-0.04,-21.0526
2016-12-31,2017-02-27,0.19,0.19,0,0
2016-09-30,2016-11-07,0.07,0.25,-0.18,-72
2016-06-30,2016-08-08,0.31,0.31,0,0
2016-03-31,2016-05-05,0.2,0.18,0.02,11.1111
2015-12-31,2016-02-25,0.16,0.17,-0.01,-5.8824
2015-09-30,2015-11-05,0.27,0.26,0.01,3.8462
2015-06-30,2015-08-06,0.2387,None,None,None
2015-03-31,2015-05-18,0.2353,None,None,None
