fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-15,0.45,0.32,0.13,40.625
2022-06-30,2022-08-02,0.22,0.23,-0.01,-4.3478
2022-03-31,2022-05-03,0.21,0.19,0.02,10.5263
2021-12-31,2022-02-01,0.12,0.08,0.04,50
2021-09-30,2021-11-16,0.32,0.29,0.03,10.3448
2021-06-30,2021-08-03,0.17,0.19,-0.02,-10.5263
2021-03-31,2021-05-05,0.12,0.11,0.01,9.0909
2020-12-31,2021-02-02,0.06,0.03,0.03,100
2020-09-30,2020-11-17,0.29,0.22,0.07,31.8182
2020-06-30,2020-08-04,0.2,0.08,0.12,150
2020-03-31,2020-05-06,0.14,0.09,0.05,55.5556
2019-12-31,2020-02-04,0.04,0.01,0.03,300
2019-09-30,2019-11-21,0.15,0.19,-0.04,-21.0526
2019-06-30,2019-08-06,0.08,0.14,-0.06,-42.8571
2019-03-31,2019-05-10,0.16,0.13,0.03,23.0769
2018-12-31,2019-02-05,-0.01,0.01,-0.02,-200
2018-09-30,2018-11-27,0.15,0.15,0,0
2018-06-30,2018-08-07,0.14,0.19,-0.05,-26.3158
2018-03-31,2018-05-08,0.18,0.16,0.02,12.5
2017-12-31,2018-02-06,0.07,0.05,0.02,40
2017-09-30,2017-11-03,0.19,0.2,-0.01,-5
2017-06-30,2017-07-18,0.03,0,0.03,None
