fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,0.32,0.28,0.04,14.2857
2022-06-30,2022-07-27,0.29,0.26,0.03,11.5385
2022-03-31,2022-04-27,0.28,0.26,0.02,7.6923
2021-12-31,2022-02-16,0.27,0.27,0,0
2021-09-30,2021-10-27,0.25,0.25,0,0
2021-06-30,2021-07-22,0.21,0.28,-0.07,-25
2021-03-31,2021-04-21,0.23,0.31,-0.08,-25.8065
2020-12-31,2021-02-17,0.32,0.34,-0.02,-5.8824
2020-09-30,2020-10-21,0.35,0.34,0.01,2.9412
2020-06-30,2020-07-22,0.19,0.26,-0.07,-26.9231
2020-03-31,2020-05-01,0.43,0.52,-0.09,-17.3077
2019-12-31,2020-02-19,0.55,0.54,0.01,1.8519
2019-09-30,2019-10-23,0.55,0.53,0.02,3.7736
2019-06-30,2019-07-24,0.63,0.58,0.05,8.6207
2019-03-31,2019-04-24,0.61,0.62,-0.01,-1.6129
2018-12-31,2019-02-14,0.64,0.62,0.02,3.2258
2018-09-30,2018-10-24,0.64,0.6,0.04,6.6667
2018-06-30,2018-07-25,0.65,0.6,0.05,8.3333
2018-03-31,2018-04-25,0.66,0.64,0.02,3.125
2017-12-31,2018-02-14,0.68,0.66,0.02,3.0303
2017-09-30,2017-10-25,0.69,0.66,0.03,4.5455
2017-06-30,2017-07-26,0.69,0.63,0.06,9.5238
2017-03-31,2017-05-01,0.69,0.62,0.07,11.2903
2016-12-31,2017-02-15,0.71,0.64,0.07,10.9375
2016-09-30,2016-11-02,0.68,0.63,0.05,7.9365
2016-06-30,2016-08-02,0.63,0.71,-0.08,-11.2676
2016-03-31,2016-05-02,0.72,0.91,-0.19,-20.8791
2015-12-31,2016-02-18,1.1,0.99,0.11,11.1111
2015-09-30,2015-11-06,1.11,0.99,0.12,12.1212
2015-06-30,2015-07-29,1.28,0.88,0.4,45.4545
2015-03-31,2015-04-29,0.72,0.71,0.01,1.4085
2014-12-31,2015-02-24,0.8,0.92,-0.12,-13.0435
2014-09-30,2014-10-29,1.04,1.17,-0.13,-11.1111
2014-06-30,2014-07-31,1.04,1.24,-0.2,-16.129
2014-03-31,2014-05-05,1.2,1.11,0.09,8.1081
2013-12-31,2014-02-26,1.2,1.06,0.14,13.2075
2013-09-30,2013-10-28,0.88,1.37,-0.49,-35.7664
2013-06-30,2013-08-01,1.44,1.53,-0.09,-5.8824
2013-03-31,2013-05-02,1.6,1.84,-0.24,-13.0435
2012-12-31,2013-02-22,1.76,2.19,-0.43,-19.6347
2012-09-30,2012-11-01,2.08,2.39,-0.31,-12.9707
2012-06-30,2012-08-01,2.56,2.51,0.05,1.992
2012-03-31,2012-05-02,2.8,2.42,0.38,15.7025
2011-12-31,2012-03-06,2.4,2.45,-0.05,-2.0408
2011-09-30,2011-11-03,3.44,2.85,0.59,20.7018
2011-06-30,2011-08-03,2.8,2.82,-0.02,-0.7092
2011-03-31,2011-05-04,2.72,2.92,-0.2,-6.8493
2010-12-31,2011-03-10,10.56,2.74,7.82,285.4015
2010-09-30,2010-11-12,-0.48,2.36,-2.84,-120.339
2010-06-30,2010-08-05,-1.76,2.32,-4.08,-175.8621
2010-03-31,2010-05-13,1.04,2.96,-1.92,-64.8649
