fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-10-31,2022-12-01,-0.26,-0.32,0.06,18.75
2022-07-31,2022-09-07,-0.34,-0.39,0.05,12.8205
2022-04-30,2022-06-02,-0.3,-0.36,0.06,16.6667
2022-01-31,2022-03-09,-0.25,-0.28,0.03,10.7143
2021-10-31,2021-12-02,-0.23,-0.26,0.03,11.5385
2021-07-31,2021-09-01,-0.23,-0.26,0.03,11.5385
2021-04-30,2021-06-03,-0.21,-0.27,0.06,22.2222
2021-01-31,2021-03-10,-0.22,-0.26,0.04,15.3846
2020-10-31,2020-12-09,-0.34,-0.37,0.03,8.1081
2020-07-31,2020-09-30,-0.1,None,None,None
2020-04-30,2020-07-01,-0.31,0,-0.31,None
