fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-18,5.52,5.08,0.44,8.6614
2022-06-30,2022-08-02,6.07,5.22,0.85,16.2835
2022-03-31,2022-05-03,5.39,3.75,1.64,43.7333
2021-12-31,2022-01-31,4.58,3.56,1.02,28.6517
2021-09-30,2021-11-18,4.39,3.84,0.55,14.3229
2021-06-30,2021-08-03,3.96,3.08,0.88,28.5714
2021-03-31,2021-04-29,2.79,1.84,0.95,51.6304
2020-12-31,2021-02-02,1.88,1.2,0.68,56.6667
2020-09-30,2020-11-19,1.18,0.68,0.5,73.5294
2020-06-30,2020-08-04,0.67,0.48,0.19,39.5833
2020-03-31,2020-05-05,0.99,0.85,0.14,16.4706
2019-12-31,2020-02-04,0.94,0.82,0.12,14.6341
2019-09-30,2019-11-22,1.01,0.98,0.03,3.0612
2019-06-30,2019-08-07,1.04,0.91,0.13,14.2857
2019-03-31,2019-05-07,0.83,0.75,0.08,10.6667
2018-12-31,2019-02-06,0.74,0.7,0.04,5.7143
2018-09-30,2018-11-28,0.79,0.71,0.08,11.2676
2018-06-30,2018-08-07,0.86,0.65,0.21,32.3077
2018-03-31,2018-05-08,0.63,0.46,0.17,36.9565
2017-12-31,2018-02-06,0.56,0.35,0.21,60
2017-09-30,2017-11-29,0.35,0.35,0,0
2017-06-30,2017-08-08,0.44,0.44,0,0
2017-03-31,2017-05-09,0.35,0.37,-0.02,-5.4054
2016-12-31,2017-02-07,0.28,0.23,0.05,21.7391
2016-09-30,2016-11-29,0.24,0.36,-0.12,-33.3333
2016-06-30,2016-08-02,0.33,0.31,0.02,6.4516
