fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-09,0.16,0.06,0.1,166.6667
2022-06-30,2022-08-09,0.12,0.1,0.02,20
2022-03-31,2022-05-09,0.12,0.11,0.01,9.0909
2021-12-31,2022-02-08,0.12,0.08,0.04,50
2021-09-30,2021-11-10,0.78,0.77,0.01,1.2987
2021-06-30,2021-08-05,0.72,0.68,0.04,5.8824
2021-03-31,2021-05-10,0.61,0.5,0.11,22
2020-12-31,2021-02-02,0.47,0.42,0.05,11.9048
2020-09-30,2020-11-10,0.47,0.36,0.11,30.5556
2020-06-30,2020-07-30,0.32,0.2,0.12,60
2020-03-31,2020-04-30,0.25,0.24,0.01,4.1667
2019-12-31,2020-02-06,0.23,0.24,-0.01,-4.1667
2019-09-30,2019-11-06,0.24,0.23,0.01,4.3478
2019-06-30,2019-08-01,0.2,0.16,0.04,25
2019-03-31,2019-04-29,0.17,0.1,0.07,70
2018-12-31,2019-02-05,0.17,0.13,0.04,30.7692
2018-09-30,2018-11-19,0.4,0.38,0.02,5.2632
2018-06-30,2018-08-06,0.46,0.43,0.03,6.9767
2018-03-31,2018-05-01,0.4,0.36,0.04,11.1111
2017-12-31,2018-02-01,0.32,0.29,0.03,10.3448
2017-09-30,2017-11-09,0.35,0.29,0.06,20.6897
2017-06-30,2017-08-02,0.36,0.3,0.06,20
2017-03-31,2017-04-27,0.28,0.25,0.03,12
2016-12-31,2017-02-01,0.25,0.21,0.04,19.0476
2016-09-30,2016-11-10,0.22,0.15,0.07,46.6667
2016-06-30,2016-07-28,0.16,0.13,0.03,23.0769
2016-03-31,2016-04-28,0.07,0.04,0.03,75
2015-12-31,2016-02-03,0.02,0.06,-0.04,-66.6667
2015-09-30,2015-11-05,0.17,0.13,0.04,30.7692
2015-06-30,2015-08-06,0.12,0.1,0.02,20
2015-03-31,2015-04-30,0.08,0.05,0.03,60
2014-12-31,2015-02-05,0.05,0.06,-0.01,-16.6667
2014-09-30,2014-11-12,0.07,0.06,0.01,16.6667
2014-06-30,2014-07-31,0.05,0.04,0.01,25
2014-03-31,2014-05-08,0.08,0.08,0,0
2013-12-31,2014-02-06,0.09,0.06,0.03,50
2013-09-30,2013-11-14,0.13,0.04,0.09,225
2013-06-30,2013-08-08,0.03,0.04,-0.01,-25
2013-03-31,2013-05-09,0.01,-0.02,0.03,150
2012-12-31,2013-01-31,-0.06,-0.11,0.05,45.4545
2012-09-30,2012-11-08,0.08,0.02,0.06,300
2012-06-30,2012-08-09,0.14,0.19,-0.05,-26.3158
2012-03-31,2012-05-10,0.2,0.18,0.02,11.1111
2011-12-31,2012-02-09,0.06,0.03,0.03,100
2011-09-30,2011-11-10,0.19,0.27,-0.08,-29.6296
2011-06-30,2011-08-04,0.36,0.36,0,0
2011-03-31,2011-05-05,0.41,0.42,-0.01,-2.381
2010-12-31,2011-02-03,0.36,0.33,0.03,9.0909
2010-09-30,2010-11-10,0.38,0.33,0.05,15.1515
2010-06-30,2010-08-05,0.26,0.21,0.05,23.8095
2010-03-31,2010-05-06,0.16,0.14,0.02,14.2857
2009-12-31,2010-02-05,-0.02,0,-0.02,None
2009-09-30,2009-11-12,-0.22,-0.25,0.03,12
2009-06-30,2009-08-06,-0.37,-0.42,0.05,11.9048
2009-03-31,2009-05-07,-0.58,-0.51,-0.07,-13.7255
2008-12-31,2009-02-09,-0.48,-0.22,-0.26,-118.1818
