fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-28,1.34,1.13,0.21,18.5841
2022-06-30,2022-07-29,1.13,1.07,0.06,5.6075
2022-03-31,2022-05-20,0.86,0.87,-0.01,-1.1494
2021-12-31,2022-01-28,1.02,0.99,0.03,3.0303
2021-09-30,2021-10-29,1.26,1.08,0.18,16.6667
2021-06-30,2021-07-30,1.07,0.97,0.1,10.3093
2021-03-31,2021-05-21,0.89,0.83,0.06,7.2289
2020-12-31,2021-01-29,1.04,0.93,0.11,11.828
2020-09-30,2020-10-30,1.03,0.92,0.11,11.9565
2020-06-30,2020-07-31,0.93,0.86,0.07,8.1395
2020-03-31,2020-05-26,0.73,0.71,0.02,2.8169
2019-12-31,2020-01-31,0.8,0.76,0.04,5.2632
2019-09-30,2019-11-01,0.81,0.72,0.09,12.5
2019-06-30,2019-07-29,0.83,0.73,0.1,13.6986
2019-03-31,2019-05-28,0.64,0.63,0.01,1.5873
2018-12-31,2019-02-01,0.72,0.59,0.13,22.0339
2018-09-30,2018-10-29,0.68,0.6,0.08,13.3333
2018-06-30,2018-07-30,0.72,0.58,0.14,24.1379
2018-03-31,2018-05-29,0.52,0.46,0.06,13.0435
2017-12-31,2018-02-05,0.48,0.43,0.05,11.6279
2017-09-30,2017-11-06,0.48,0.46,0.02,4.3478
2017-06-30,2017-08-07,0.53,0.47,0.06,12.766
2017-03-31,2017-05-22,0.45,0.43,0.02,4.6512
2016-12-31,2017-01-30,0.38,0.4,-0.02,-5
2016-09-30,2016-11-02,0.46,0.43,0.03,6.9767
2016-06-30,2016-07-27,0.46,0.44,0.02,4.5455
2016-03-31,2016-05-18,0.41,0.41,0,0
2015-12-31,2016-01-27,0.41,0.4,0.01,2.5
2015-09-30,2015-10-28,0.39,0.35,0.04,11.4286
2015-06-30,2015-07-29,0.44,0.43,0.01,2.3256
2015-03-31,2015-05-21,0.3,0.33,-0.03,-9.0909
2014-12-31,2015-01-28,0.36,0.34,0.02,5.8824
2014-09-30,2014-10-29,0.44,0.41,0.03,7.3171
2014-06-30,2014-07-30,0.5,0.42,0.08,19.0476
2014-03-31,2014-05-21,0.33,0.31,0.02,6.4516
2013-12-31,2014-01-31,0.33,0.33,0,0
2013-09-30,2013-10-30,0.47,0.37,0.1,27.027
2013-06-30,2013-07-31,0.5,0.4,0.1,25
2013-03-31,2013-05-22,0.4,0.37,0.03,8.1081
2012-12-31,2013-01-30,0.41,0.38,0.03,7.8947
2012-09-30,2012-10-31,0.39,0.38,0.01,2.6316
2012-06-30,2012-08-01,0.46,0.42,0.04,9.5238
2012-03-31,2012-05-30,0.44,0.41,0.03,7.3171
2011-12-31,2012-02-03,0.4,0.39,0.01,2.5641
2011-09-30,2011-11-03,0.36,0.36,0,0
2011-06-30,2011-08-09,0.41,0.39,0.02,5.1282
2011-03-31,2011-06-07,0.36,0.28,0.08,28.5714
2010-12-31,2011-02-09,0.27,0.24,0.03,12.5
2010-09-30,2010-12-01,0.1228,None,None,None
