fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,-0.2,-0.06,-0.14,-233.3333
2022-06-30,2022-08-09,-0.2,-0.17,-0.03,-17.6471
2022-03-31,2022-05-05,-0.32,-0.1,-0.22,-220
2021-12-31,2022-02-10,-0.05,-0.04,-0.01,-25
2021-09-30,2021-11-04,-0.2,-0.08,-0.12,-150
2021-06-30,2021-08-04,-0.23,-0.06,-0.17,-283.3333
2021-03-31,2021-05-05,-0.07,-0.07,0,0
2020-12-31,2021-02-10,-0.08,0.0015,-0.0815,-5433.3333
2020-09-30,2020-10-29,-0.04,-0.12,0.08,66.6667
2020-06-30,2020-07-28,-0.23,-0.21,-0.02,-9.5238
2020-03-31,2020-05-11,-0.34,-0.37,0.03,8.1081
2019-12-31,2020-03-16,-0.28,0.01,-0.29,-2900
2019-09-30,2019-11-07,0.01,0.01,0,0
2019-06-30,2019-08-12,-0.13,-0.16,0.03,18.75
2019-03-31,2019-05-06,-0.22,-0.24,0.02,8.3333
2018-12-31,2019-02-05,-0.12,-0.18,0.06,33.3333
2018-09-30,2018-11-05,-0.13,-0.17,0.04,23.5294
2018-06-30,2018-07-26,-0.64,-0.27,-0.37,-137.037
2018-03-31,2018-05-30,-0.11,0,-0.11,None
2017-12-31,2018-01-19,-0.68,0,-0.68,None
2017-06-30,2017-09-06,-0.6,0,-0.6,None
