fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,2.29,2.07,0.22,10.628
2022-06-30,2022-08-04,2.46,2.31,0.15,6.4935
2022-03-31,2022-05-05,0.93,0.51,0.42,82.3529
2021-12-31,2022-02-03,1.47,1.16,0.31,26.7241
2021-09-30,2021-11-18,1.57,1.54,0.03,1.9481
2021-06-30,2021-08-05,1.73,1.32,0.41,31.0606
2021-03-31,2021-05-06,0.28,0.03,0.25,833.3333
2020-12-31,2021-02-08,0.89,0.6,0.29,48.3333
2020-09-30,2020-11-19,1.32,0.99,0.33,33.3333
2020-06-30,2020-08-06,0.88,0.6,0.28,46.6667
2020-03-31,2020-05-07,-0.16,-0.21,0.05,23.8095
2019-12-31,2020-02-03,0.36,0.43,-0.07,-16.2791
2019-09-30,2019-11-25,1.04,1.21,-0.17,-14.0496
2019-06-30,2019-08-06,0.92,1.25,-0.33,-26.4
2019-03-31,2019-05-07,-0.45,-0.51,0.06,11.7647
2018-12-31,2019-02-07,0.6,0.55,0.05,9.0909
2018-09-30,2018-11-19,1.07,1.35,-0.28,-20.7407
2018-06-30,2018-08-07,1.18,1.31,-0.13,-9.9237
2018-03-31,2018-05-08,-0.35,-0.09,-0.26,-288.8889
2017-12-31,2018-02-08,0.68,0.54,0.14,25.9259
2017-09-30,2017-11-20,0.93,0.94,-0.01,-1.0638
2017-06-30,2017-08-02,0.84,0.9,-0.06,-6.6667
2017-03-31,2017-05-04,-0.04,-0.05,0.01,20
2016-12-31,2017-02-02,0.44,0.43,0.01,2.3256
2016-09-30,2016-11-21,0.88,0.91,-0.03,-3.2967
2016-06-30,2016-08-02,0.77,0.76,0.01,1.3158
2016-03-31,2016-05-02,0.03,-0.21,0.24,114.2857
2015-12-31,2016-02-05,0.41,0.35,0.06,17.1429
2015-09-30,2015-11-24,0.75,0.69,0.06,8.6957
2015-06-30,2015-08-06,0.56,0.63,-0.07,-11.1111
2015-03-31,2015-05-08,-0.2,-0.21,0.01,4.7619
2014-12-31,2015-02-06,0.26,0.28,-0.02,-7.1429
2014-09-30,2014-11-25,0.48,0.62,-0.14,-22.5806
2014-06-30,2014-08-08,0.54,0.58,-0.04,-6.8966
2014-03-31,2014-05-09,-0.25,-0.06,-0.19,-316.6667
2013-12-31,2014-02-07,0.3,0.35,-0.05,-14.2857
2013-09-30,2013-11-26,0.56,0.62,-0.06,-9.6774
2013-06-30,2013-08-09,0.55,0.71,-0.16,-22.5352
2013-03-31,2013-05-10,-0.02,0.01,-0.03,-300
2012-12-31,2013-02-08,0.37,0.41,-0.04,-9.7561
2012-09-30,2012-11-29,0.6,0.6,0,0
2012-06-30,2012-08-07,0.62,0.57,0.05,8.7719
2012-03-31,2012-05-10,0.07,-0.08,0.15,187.5
2011-12-31,2012-02-09,0.39,0.29,0.1,34.4828
2011-09-30,2011-11-29,0.56,0.53,0.03,5.6604
2011-06-30,2011-08-08,0.51,0.46,0.05,10.8696
2011-03-31,2011-05-09,-0.13,-0.08,-0.05,-62.5
2010-12-31,2011-02-09,0.22,0.15,0.07,46.6667
2010-09-30,2010-11-29,0.37,0.41,-0.04,-9.7561
2010-06-30,2010-08-05,0.35,0.46,-0.11,-23.913
2010-03-31,2010-05-07,-0.14,-0.09,-0.05,-55.5556
2009-12-31,2010-02-03,0.17,0.18,-0.01,-5.5556
2009-09-30,2009-12-01,0.42,0.38,0.04,10.5263
2009-06-30,2009-08-07,0.38,0.33,0.05,15.1515
2009-03-31,2009-05-08,-0.05,-0.1,0.05,50
2008-12-31,2009-02-06,0.41,0.21,0.2,95.2381
2008-09-30,2008-12-02,0.55,0.42,0.13,30.9524
2008-06-30,2008-08-08,0.41,0.31,0.1,32.2581
2008-03-31,2008-05-09,-0.18,-0.13,-0.05,-38.4615
2007-12-31,2008-02-08,0.12,0.12,0,0
2007-09-30,2007-11-28,0.25,0.25,0,0
2007-06-30,2007-08-08,0.26,0.34,-0.08,-23.5294
2007-03-31,2007-05-08,-0.14,-0.13,-0.01,-7.6923
2006-12-31,2007-02-08,0.2,0.27,-0.07,-25.9259
2006-09-30,2006-12-14,0.32,0.33,-0.01,-3.0303
2006-06-30,2006-08-09,0.38,0.36,0.02,5.5556
2006-03-31,2006-05-10,0.11,0.07,0.04,57.1429
2005-12-31,2006-02-09,0.31,0.25,0.06,24
2005-09-30,2005-12-07,0.25,0.23,0.02,8.6957
2005-06-30,2005-08-11,0.27,0.21,0.06,28.5714
2005-03-31,2005-05-11,0.06,0.05,0.01,20
2004-12-31,2005-02-14,0.23,0.2,0.03,15
2004-09-30,2004-12-17,0.17,0.18,-0.01,-5.5556
