fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,0.57,0.52,0.05,9.6154
2022-06-30,2022-08-03,0.5,0.41,0.09,21.9512
2022-03-31,2022-04-26,0.44,0.34,0.1,29.4118
2021-12-31,2022-02-03,0.48,0.41,0.07,17.0732
2021-09-30,2021-10-27,0.39,0.38,0.01,2.6316
2021-06-30,2021-07-28,0.27,0.26,0.01,3.8462
2021-03-31,2021-04-28,0.21,0.2,0.01,5
2020-12-31,2021-02-04,0.34,0.33,0.01,3.0303
2020-09-30,2020-10-28,0.32,0.28,0.04,14.2857
2020-06-30,2020-07-29,0.07,0.09,-0.02,-22.2222
2020-03-31,2020-04-29,0.22,0.16,0.06,37.5
2019-12-31,2020-02-06,0.27,0.29,-0.02,-6.8966
2019-09-30,2019-10-24,0.36,0.34,0.02,5.8824
2019-06-30,2019-07-24,0.36,0.32,0.04,12.5
2019-03-31,2019-04-24,0.33,0.33,0,0
2018-12-31,2019-02-07,0.41,0.35,0.06,17.1429
2018-09-30,2018-10-30,0.33,0.31,0.02,6.4516
2018-06-30,2018-07-24,0.3,0.3,0,0
2018-03-31,2018-04-25,0.41,0.36,0.05,13.8889
2017-12-31,2018-02-07,0.49,0.37,0.12,32.4324
2017-09-30,2017-10-18,0.39,0.34,0.05,14.7059
2017-06-30,2017-07-19,0.38,0.34,0.04,11.7647
2017-03-31,2017-04-19,0.34,0.26,0.08,30.7692
2016-12-31,2017-02-08,0.45,0.41,0.04,9.7561
2016-09-30,2016-10-20,0.36,0.35,0.01,2.8571
2016-06-30,2016-07-21,0.31,0.32,-0.01,-3.125
2016-03-31,2016-04-21,0.26,0.32,-0.06,-18.75
2015-12-31,2016-02-09,0.45,0.41,0.04,9.7561
2015-09-30,2015-10-22,0.41,0.4,0.01,2.5
2015-06-30,2015-07-23,0.42,0.38,0.04,10.5263
2015-03-31,2015-04-23,0.34,0.32,0.02,6.25
2014-12-31,2015-02-03,0.43,0.43,0,0
2014-09-30,2014-10-23,0.43,0.41,0.02,4.878
2014-06-30,2014-07-24,0.43,0.38,0.05,13.1579
2014-03-31,2014-04-24,0.35,0.31,0.04,12.9032
2013-12-31,2014-02-04,0.43,0.36,0.07,19.4444
2013-09-30,2013-10-24,0.31,0.31,0,0
2013-06-30,2013-07-25,0.31,0.27,0.04,14.8148
2013-03-31,2013-04-25,0.22,0.2,0.02,10
2012-12-31,2013-02-04,0.33,0.29,0.04,13.7931
2012-09-30,2012-10-25,0.31,0.3,0.01,3.3333
2012-06-30,2012-07-26,0.32,0.27,0.05,18.5185
2012-03-31,2012-04-26,0.25,0.2,0.05,25
2011-12-31,2012-02-02,0.17,0.08,0.09,112.5
2011-09-30,2011-10-27,0.18,0.31,-0.13,-41.9355
2011-06-30,2011-07-28,0.25,0.31,-0.06,-19.3548
2011-03-31,2011-04-28,0.25,0.29,-0.04,-13.7931
2010-12-31,2011-02-03,0.37,0.35,0.02,5.7143
2010-09-30,2010-10-26,0.38,0.35,0.03,8.5714
2010-06-30,2010-07-29,0.33,0.33,0,0
2010-03-31,2010-04-29,0.3,0.3,0,0
2009-12-31,2010-02-04,0.29,0.26,0.03,11.5385
2009-09-30,2009-10-27,0.27,0.2,0.07,35
2009-06-30,2009-07-29,0.19,0.16,0.03,18.75
2009-03-31,2009-04-23,0.16,0.2,-0.04,-20
2008-12-31,2009-02-05,0.27,0.26,0.01,3.8462
2008-09-30,2008-10-23,0.32,0.31,0.01,3.2258
2008-06-30,2008-07-24,0.33,0.36,-0.03,-8.3333
2008-03-31,2008-04-24,0.33,0.34,-0.01,-2.9412
2007-12-31,2008-02-05,0.34,0.33,0.01,3.0303
2007-09-30,2007-10-25,0.23,0.27,-0.04,-14.8148
2007-06-30,2007-07-26,0.38,0.38,0,0
2007-03-31,2007-04-24,0.38,0.39,-0.01,-2.5641
2006-12-31,2007-02-06,0.44,0.43,0.01,2.3256
2006-09-30,2006-10-19,0.45,0.43,0.02,4.6512
2006-06-30,2006-07-20,0.44,0.38,0.06,15.7895
2006-03-31,2006-04-20,0.38,0.35,0.03,8.5714
2005-12-31,2006-02-07,0.38,0.35,0.03,8.5714
2005-09-30,2005-10-20,0.31,0.31,0,0
2005-06-30,2005-07-21,0.29,0.29,0,0
2005-03-31,2005-04-21,0.27,0.28,-0.01,-3.5714
2004-12-31,2005-02-08,0.31,0.29,0.02,6.8966
2004-09-30,2004-10-21,0.29,0.27,0.02,7.4074
2004-06-30,2004-07-22,0.28,0.25,0.03,12
2004-03-31,2004-04-22,0.24,0.24,0,0
2003-12-31,2004-02-05,0.24,0.22,0.02,9.0909
