fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-10-31,2022-10-31,-0.07,-0.28,0.21,75
2022-07-31,2022-10-20,-0.07,-0.28,0.21,75
2022-04-30,2022-07-21,0.01,0.24,-0.23,-95.8333
2022-01-31,2022-02-17,-0.2,-0.02,-0.18,-900
2021-10-31,2021-10-31,-0.13,0.11,-0.24,-218.1818
2021-07-31,2021-10-21,-0.13,0.11,-0.24,-218.1818
2021-04-30,2021-07-29,0.26,0.18,0.08,44.4444
2021-01-31,2021-02-11,-0.8,-0.7,-0.1,-14.2857
2020-10-31,2020-10-31,-0.44,-0.72,0.28,38.8889
2020-07-31,2020-10-22,-0.44,-0.72,0.28,38.8889
2020-04-30,2020-05-07,-0.22,-0.14,-0.08,-57.1429
2020-01-31,2020-02-20,0.5,0.45,0.05,11.1111
2019-10-31,2019-10-31,0.18,0.1,0.08,80
2019-07-31,2019-10-24,0.18,0.1,0.08,80
2019-04-30,2019-07-25,0.68,0.73,-0.05,-6.8493
2019-01-31,2019-02-21,0.49,0.51,-0.02,-3.9216
2018-10-31,2018-10-31,0.3905,None,None,None
2018-07-31,2018-10-30,0.39,0.23,0.16,69.5652
2018-04-30,2018-07-26,0.79,0.64,0.15,23.4375
2018-01-31,2018-02-22,0.37,0.32,0.05,15.625
2017-07-31,2017-10-26,0.15,0.24,-0.09,-37.5
2017-04-30,2017-07-27,0.49,0.51,-0.02,-3.9216
2017-01-31,2017-02-23,0.55,0.4,0.15,37.5
2016-07-31,2016-10-19,0.3,0.33,-0.03,-9.0909
2016-04-30,2016-07-26,0.56,0.56,0,0
2016-01-31,2016-02-18,0.43,0.39,0.04,10.2564
2015-07-31,2015-10-22,0.39,0.29,0.1,34.4828
2015-04-30,2015-07-23,0.47,0.39,0.08,20.5128
2015-01-31,2015-02-18,0.31,0.21,0.1,47.619
2014-07-31,2014-10-23,0.23,0.13,0.1,76.9231
2014-04-30,2014-05-01,0.2,0.12,0.08,66.6667
2014-01-31,2014-02-19,0.06,0.06,0,0
2013-07-31,2013-10-24,0.13,0.17,-0.04,-23.5294
2013-04-30,2013-07-31,0.32,0.32,0,0
2013-01-31,2013-02-19,0.27,0.27,0,0
2012-07-31,2012-10-25,0.24,0.28,-0.04,-14.2857
2012-04-30,2012-07-26,0.32,0.32,0,0
2012-01-31,2012-02-16,0.34,0.32,0.02,6.25
2011-07-31,2011-10-20,0.24,0.24,0,0
2011-04-30,2011-07-21,0.29,0.27,0.02,7.4074
2011-01-31,2011-02-10,0.22,0.22,0,0
2010-07-31,2010-10-21,0.2,0.16,0.04,25
2010-04-30,2010-07-22,0.23,0.2,0.03,15
2010-01-31,2010-02-11,0.12,0.11,0.01,9.0909
2009-07-31,2009-10-22,0.12,0.13,-0.01,-7.6923
2009-04-30,2009-07-23,0.16,0.15,0.01,6.6667
2009-01-31,2009-02-12,0.13,0.1,0.03,30
2008-07-31,2008-10-23,0.08,0.11,-0.03,-27.2727
2008-04-30,2008-07-24,0.11,0.11,0,0
2008-01-31,2008-02-14,0.14,0.13,0.01,7.6923
2007-07-31,2007-10-25,0.12,0.12,0,0
2007-04-30,2007-07-26,0.12,0.12,0,0
2007-01-31,2007-02-15,0.11,0.11,0,0
2006-07-31,2006-10-26,0.1,0.1,0,0
2006-04-30,2006-07-27,0.1,0.1,0,0
2006-01-31,2006-02-23,0.1,0.09,0.01,11.1111
2005-07-31,2005-10-27,0.1,0.09,0.01,11.1111
2005-04-30,2005-07-27,0.09,0.08,0.01,12.5
2005-01-31,2005-02-23,0.08,0.07,0.01,14.2857
2004-07-31,2004-10-27,0.06,0.07,-0.01,-14.2857
2004-04-30,2004-07-27,0.07,0.06,0.01,16.6667
2004-01-31,2004-02-26,0.07,0.06,0.01,16.6667
2003-10-31,2003-11-04,0.05,0.05,0,0
2003-04-30,2003-07-29,0.05,0.05,0,0
2003-01-31,2003-03-13,-0.02,0.03,-0.05,-166.6667
2002-10-31,2002-11-12,0.02,0.04,-0.02,-50
2002-07-31,2002-08-06,0.05,0.05,0,0
2002-04-30,2002-05-06,0.06,0.07,-0.01,-14.2857
2002-01-31,2002-03-05,0.05,0.04,0.01,25
2001-10-31,2001-11-13,0.07,0.07,0,0
2001-07-31,2001-08-08,0.11,0.08,0.03,37.5
2001-04-30,2001-06-30,0.1077,None,None,None
2001-01-31,2001-03-31,0.0961,None,None,None
2000-07-31,2000-09-30,0.0996,None,None,None
2000-04-30,2000-06-30,0.0259,None,None,None
2000-01-31,2000-03-31,0.0226,None,None,None
1999-07-31,1999-09-30,0.0431,None,None,None
1999-04-30,1999-06-30,0.0283,None,None,None
1999-01-31,1999-03-31,-0.0167,None,None,None
1998-07-31,1998-09-30,0.0442,None,None,None
1998-04-30,1998-06-30,0.0278,None,None,None
1998-01-31,1998-03-31,-0.028,None,None,None
1997-10-31,1997-12-31,-0.0443,None,None,None
1997-07-31,1997-09-30,0.0035,None,None,None
1997-04-30,1997-06-30,0.0184,None,None,None
1997-01-31,1997-03-31,-0.0268,None,None,None
1996-10-31,1996-12-31,-0.15,None,None,None
