fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-24,1.28,1.43,-0.15,-10.4895
2022-06-30,2022-07-25,1.38,1.35,0.03,2.2222
2022-03-31,2022-04-25,1.32,1.19,0.13,10.9244
2021-12-31,2022-01-24,1.55,1.35,0.2,14.8148
2021-09-30,2021-10-25,1.52,1.33,0.19,14.2857
2021-06-30,2021-07-26,1.68,1.31,0.37,28.2443
2021-03-31,2021-04-26,1.5,1.15,0.35,30.4348
2020-12-31,2021-01-25,1.06,1.11,-0.05,-4.5045
2020-09-30,2020-10-26,0.95,0.84,0.11,13.0952
2020-06-30,2020-07-27,0.98,0.9,0.08,8.8889
2020-03-31,2020-04-20,0.87,0.73,0.14,19.1781
2019-12-31,2020-01-27,1.45,1.44,0.01,0.6944
2019-09-30,2019-10-28,1.29,1.38,-0.09,-6.5217
2019-06-30,2019-07-22,1.4,1.38,0.02,1.4493
2019-03-31,2019-04-22,1.43,1.36,0.07,5.1471
2018-12-31,2019-01-28,1.3,1.35,-0.05,-3.7037
2018-09-30,2018-10-22,1.36,1.34,0.02,1.4925
2018-06-30,2018-07-23,1.3,1.3,0,0
2018-03-31,2018-04-23,1.28,1.23,0.05,4.065
2017-12-31,2018-01-22,1.09,1.07,0.02,1.8692
2017-09-30,2017-10-23,1.09,1.08,0.01,0.9259
2017-06-30,2017-07-24,1.05,1.03,0.02,1.9417
2017-03-31,2017-04-24,1.2,1.08,0.12,11.1111
2016-12-31,2017-01-23,1.02,1.02,0,0
2016-09-30,2016-10-24,1.02,0.99,0.03,3.0303
2016-06-30,2016-07-25,1.03,0.93,0.1,10.7527
2016-03-31,2016-04-25,1.16,0.99,0.17,17.1717
2015-12-31,2016-01-25,0.99,0.93,0.06,6.4516
2015-09-30,2015-10-26,0.79,0.95,-0.16,-16.8421
2015-06-30,2015-07-27,0.95,0.92,0.03,3.2609
2015-03-31,2015-04-20,0.97,0.9,0.07,7.7778
2014-12-31,2015-01-26,0.94,0.93,0.01,1.0753
2014-09-30,2014-10-27,0.95,0.93,0.02,2.1505
2014-06-30,2014-07-28,0.94,0.89,0.05,5.618
2014-03-31,2014-04-21,0.87,0.86,0.01,1.1628
2013-12-31,2014-01-27,0.88,0.86,0.02,2.3256
2013-09-30,2013-10-28,0.85,0.83,0.02,2.4096
2013-06-30,2013-07-22,0.85,0.83,0.02,2.4096
2013-03-31,2013-04-22,0.81,0.87,-0.06,-6.8966
2012-12-31,2013-01-30,0.9,0.89,0.01,1.1236
2012-09-30,2012-10-22,0.92,0.89,0.03,3.3708
2012-06-30,2012-07-23,0.9,0.87,0.03,3.4483
2012-03-31,2012-04-23,0.95,0.81,0.14,17.284
2011-12-31,2012-01-23,0.85,0.82,0.03,3.6585
2011-09-30,2011-10-24,0.92,0.83,0.09,10.8434
2011-06-30,2011-07-25,0.74,0.78,-0.04,-5.1282
2011-03-31,2011-04-18,0.88,0.72,0.16,22.2222
2010-12-31,2011-01-24,0.84,0.69,0.15,21.7391
2010-09-30,2010-10-25,0.91,0.79,0.12,15.1899
2010-06-30,2010-07-26,0.96,0.74,0.22,29.7297
2010-03-31,2010-04-19,1.09,0.63,0.46,73.0159
2009-12-31,2010-01-25,0.84,0.75,0.09,12
2009-09-30,2009-10-26,0.76,0.68,0.08,11.7647
2009-06-30,2009-07-27,0.65,0.6,0.05,8.3333
2009-03-31,2009-04-20,0.75,0.74,0.01,1.3514
2008-12-31,2009-01-26,0.82,0.87,-0.05,-5.7471
2008-09-30,2008-10-27,0.99,0.99,0,0
2008-06-30,2008-07-28,1,0.93,0.07,7.5269
2008-03-31,2008-04-21,1.18,0.9,0.28,31.1111
2007-12-31,2008-01-28,0.83,0.94,-0.11,-11.7021
2007-09-30,2007-10-22,0.96,0.95,0.01,1.0526
2007-06-30,2007-07-23,0.95,0.93,0.02,2.1505
2007-03-31,2007-04-23,0.94,0.93,0.01,1.0753
2006-12-31,2007-01-22,1.01,0.95,0.06,6.3158
2006-09-30,2006-10-23,0.93,0.92,0.01,1.087
2006-06-30,2006-07-24,0.9,0.86,0.04,4.6512
2006-03-31,2006-04-24,0.87,0.87,0,0
2005-12-31,2006-01-23,0.86,0.85,0.01,1.1765
2005-09-30,2005-10-24,0.85,0.83,0.02,2.4096
2005-06-30,2005-07-25,0.87,0.84,0.03,3.5714
2005-03-31,2005-04-25,0.83,0.78,0.05,6.4103
2004-12-31,2005-01-24,0.82,0.75,0.07,9.3333
2004-09-30,2004-10-25,0.78,0.74,0.04,5.4054
2004-06-30,2004-07-26,0.79,0.71,0.08,11.2676
2004-03-31,2004-04-26,0.69,0.66,0.03,4.5455
2003-12-31,2004-01-26,0.66,0.65,0.01,1.5385
