fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-01,-2.23,-2.49,0.26,10.4418
2022-06-30,2022-08-02,-2.68,-2.23,-0.45,-20.1794
2022-03-31,2022-05-03,-1.79,-1.86,0.07,3.7634
2021-12-31,2022-02-16,-5.4,-1.65,-3.75,-227.2727
2021-09-30,2021-10-28,-2,-1.63,-0.37,-22.6994
2021-06-30,2021-07-29,-1.86,-1.86,0,0
2021-03-31,2021-04-29,-1.72,-1.87,0.15,8.0214
2020-12-31,2021-02-17,-1.53,-1.62,0.09,5.5556
2020-09-30,2020-10-29,11.16,7.72,3.44,44.5596
2020-06-30,2020-07-30,-2.28,-2.14,-0.14,-6.5421
2020-03-31,2020-05-06,-2.11,-2.08,-0.03,-1.4423
2019-12-31,2020-02-13,-1.35,-1.69,0.34,20.1183
2019-09-30,2019-11-05,-1.93,-2.18,0.25,11.4679
2019-06-30,2019-08-01,-2.04,-1.91,-0.13,-6.8063
2019-03-31,2019-05-09,-1.98,-1.86,-0.12,-6.4516
2018-12-31,2019-02-26,-1.83,-1.76,-0.07,-3.9773
2018-09-30,2018-10-30,-1.66,-1.51,-0.15,-9.9338
2018-06-30,2018-08-01,-0.62,-1.32,0.7,53.0303
2018-03-31,2018-05-02,-1.29,-1.13,-0.16,-14.1593
2017-12-31,2018-02-21,-1.23,-1.11,-0.12,-10.8108
2017-09-30,2017-10-31,-0.96,-0.91,-0.05,-5.4945
2017-06-30,2017-08-02,-0.86,-0.79,-0.07,-8.8608
2017-03-31,2017-05-03,-0.84,-0.76,-0.08,-10.5263
2016-12-31,2017-03-09,-0.75,-0.76,0.01,1.3158
2016-09-30,2016-11-10,-0.62,-0.79,0.17,21.519
2016-06-30,2016-08-09,-0.7,-0.73,0.03,4.1096
2016-03-31,2016-05-10,-0.57,-0.69,0.12,17.3913
2015-12-31,2016-03-11,-0.58,-0.52,-0.06,-11.5385
2015-09-30,2015-11-09,-0.47,-0.53,0.06,11.3208
2015-06-30,2015-08-10,-0.81,-0.52,-0.29,-55.7692
2015-03-31,2015-05-05,-8.23,-2.11,-6.12,-290.0474
