fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-07,-0.13,-0.08,-0.05,-62.5
2022-06-30,2022-08-09,-0.09,-0.07,-0.02,-28.5714
2022-03-31,2022-05-10,-0.18,-0.07,-0.11,-157.1429
2021-12-31,2022-03-01,-0.1,-0.08,-0.02,-25
2021-09-30,2021-11-10,-0.07,-0.07,0,0
2021-06-30,2021-08-11,-0.07,-0.08,0.01,12.5
2021-03-31,2021-05-12,-0.16,-0.04,-0.12,-300
2020-12-31,2021-03-24,-0.13,-0.04,-0.09,-225
2020-09-30,2020-12-02,-0.02,None,None,None
2020-06-30,2020-08-14,-0.01,None,None,None
2020-03-31,2020-05-08,-1.1455,None,None,None
2019-12-31,2020-03-20,-0.01,None,None,None
2019-09-30,2019-11-14,-1.8319,None,None,None
2019-06-30,2019-08-14,-2.6806,0,-2.6806,None
