fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-11-30,2022-11-30,1.15,1.12,0.03,2.6786
2022-08-31,2022-11-22,1.15,1.12,0.03,2.6786
2022-05-31,2022-08-23,1.38,1.32,0.06,4.5455
2022-02-28,2022-03-15,0.91,0.67,0.24,35.8209
2021-11-30,2021-11-30,1.59,1.14,0.45,39.4737
2021-08-31,2021-11-18,1.59,1.15,0.44,38.2609
2021-05-31,2021-08-31,1.19,0.54,0.65,120.3704
2021-02-28,2021-03-16,0.03,-0.1,0.13,130
2020-11-30,2020-11-30,0.48,0.04,0.44,1100
2020-08-31,2020-09-01,-0.57,-1.02,0.45,44.1176
2020-05-31,2020-06-04,-1.3,-0.86,-0.44,-51.1628
2020-02-29,2020-03-12,0.34,0.4,-0.06,-15
2019-11-30,2019-11-30,0.78,0.83,-0.05,-6.0241
2019-08-31,2019-11-25,0.78,0.83,-0.05,-6.0241
2019-05-31,2019-06-03,0.36,0.35,0.01,2.8571
2019-02-28,2019-03-21,0.38,0.45,-0.07,-15.5556
2018-08-31,2018-09-04,0.59,0.6,-0.01,-1.6667
2018-05-31,2018-06-01,0.3981,None,None,None
2018-02-28,2018-03-13,0.48,0.44,0.04,9.0909
2017-11-30,2018-02-03,0.48,0.44,0.04,9.0909
2017-08-31,2017-11-21,0.8,0.85,-0.05,-5.8824
2017-05-31,2017-08-29,0.48,0.44,0.04,9.0909
2017-02-28,2017-03-16,0.33,0.38,-0.05,-13.1579
2016-08-31,2016-11-22,0.81,0.8,0.01,1.25
2016-05-31,2016-08-30,0.46,0.5,-0.04,-8
2016-02-29,2016-03-15,0.26,0.23,0.03,13.0435
2015-08-31,2015-11-24,0.8,0.78,0.02,2.5641
2015-05-31,2015-08-27,0.5,0.44,0.06,13.6364
2015-02-28,2015-03-11,0.2,0.16,0.04,25
2014-08-31,2014-11-25,0.75,0.68,0.07,10.2941
2014-05-31,2014-08-27,0.41,0.35,0.06,17.1429
2014-02-28,2014-03-14,0.14,0.1,0.04,40
2013-08-31,2013-11-26,0.63,0.59,0.04,6.7797
2013-05-31,2013-08-27,0.33,0.22,0.11,50
2013-02-28,2013-03-15,0.14,0.08,0.06,75
2012-08-31,2012-11-20,0.6,0.46,0.14,30.4348
2012-05-31,2012-08-28,0.16,0.03,0.13,433.3333
2012-02-29,2012-03-07,0.1,0.2,-0.1,-50
2011-08-31,2011-11-21,0.51,0.51,0,0
2011-05-31,2011-08-25,-0.06,0.04,-0.1,-250
2011-02-28,2011-03-15,0.08,0.14,-0.06,-42.8571
2010-08-31,2010-11-23,0.42,0.39,0.03,7.6923
2010-05-31,2010-08-25,0.12,0.09,0.03,33.3333
2010-02-28,2010-03-03,0.16,0.16,0,0
2009-08-31,2009-11-24,0.38,0.37,0.01,2.7027
2009-05-31,2009-08-26,-0.1,-0.07,-0.03,-42.8571
2009-02-28,2009-03-04,-0.28,-0.37,0.09,24.3243
2008-08-31,2008-11-25,0.25,0.17,0.08,47.0588
2008-05-31,2008-08-27,0.05,0.06,-0.01,-16.6667
2008-02-29,2008-03-05,0.33,0.37,-0.04,-10.8108
2007-08-31,2007-11-28,0.61,0.64,-0.03,-4.6875
2007-05-31,2007-08-29,0.22,0.24,-0.02,-8.3333
2007-02-28,2007-03-08,0.31,0.42,-0.11,-26.1905
2006-08-31,2006-11-21,0.62,0.56,0.06,10.7143
2006-05-31,2006-08-23,0.35,0.27,0.08,29.6296
2006-02-28,2006-03-02,0.31,0.34,-0.03,-8.8235
2005-08-31,2005-11-22,0.46,0.46,0,0
2005-05-31,2005-08-23,0.1,0.12,-0.02,-16.6667
2005-02-28,2005-03-09,0.24,0.24,0,0
2004-08-31,2004-11-17,0.45,0.42,0.03,7.1429
2004-05-31,2004-08-18,0.18,0.18,0,0
2004-02-29,2004-05-19,0.2,0.2,0,0
2003-11-30,2004-02-25,0.23,0.22,0.01,4.5455
2003-08-31,2003-11-19,0.5,0.49,0.01,2.0408
2003-05-31,2003-08-19,0.28,0.24,0.04,16.6667
2003-02-28,2003-05-21,0.22,0.21,0.01,4.7619
2002-11-30,2003-02-26,0.2,0.19,0.01,5.2632
2002-08-31,2002-10-31,0.5251,None,None,None
2002-05-31,2002-07-31,0.1761,None,None,None
2002-02-28,2002-05-21,0.19,0.17,0.02,11.7647
2001-11-30,2002-02-27,0.11,0.1,0.01,10
2001-08-31,2001-10-31,0.3025,None,None,None
2001-05-31,2001-08-21,0.15,0.14,0.01,7.1429
2001-02-28,2001-05-22,0.16,0.16,0,0
