fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-31,21.7,14.64,7.06,48.224
2022-06-30,2022-08-01,15.94,11.48,4.46,38.8502
2022-03-31,2022-05-02,9.99,3.45,6.54,189.5652
2021-12-31,2022-02-14,7.08,6.15,0.93,15.122
2021-09-30,2021-11-01,10.74,6.52,4.22,64.7239
2021-06-30,2021-08-03,5.9,1.21,4.69,387.6033
2021-03-31,2021-05-03,-0.46,-2.16,1.7,78.7037
2020-12-31,2021-02-16,-0.36,-0.6,0.24,40
2020-09-30,2020-10-29,1.13,0.15,0.98,653.3333
2020-06-30,2020-07-28,-5.6,-5.68,0.08,1.4085
2020-03-31,2020-05-01,-1.4,-1.84,0.44,23.913
2019-12-31,2020-02-19,0.73,0.5,0.23,46
2019-09-30,2019-10-31,2.96,3.64,-0.68,-18.6813
2019-06-30,2019-08-05,0.79,0.74,0.05,6.7568
2019-03-31,2019-05-01,-0.78,-1.01,0.23,22.7723
2018-12-31,2019-02-20,0.53,0.37,0.16,43.2432
2018-09-30,2018-11-05,3.33,3.54,-0.21,-5.9322
2018-06-30,2018-08-07,0.57,0.57,0,0
2018-03-31,2018-05-02,-0.74,-1.02,0.28,27.451
2017-12-31,2018-02-21,0.45,0.22,0.23,104.5455
2017-09-30,2017-11-06,3.1,3.04,0.06,1.9737
2017-06-30,2017-08-07,0.3,0.52,-0.22,-42.3077
2017-03-31,2017-05-03,-0.94,-0.52,-0.42,-80.7692
2016-12-31,2017-02-15,0.15,0.17,-0.02,-11.7647
2016-09-30,2016-11-02,2.47,2.33,0.14,6.0086
2016-06-30,2016-08-02,0.63,0.69,-0.06,-8.6957
2016-03-31,2016-05-03,-0.28,-0.08,-0.2,-250
2015-12-31,2016-02-23,0.18,0.17,0.01,5.8824
2015-09-30,2015-11-02,1.98,2.02,-0.04,-1.9802
2015-06-30,2015-08-03,0.84,0.68,0.16,23.5294
2015-03-31,2015-05-04,0.17,0.14,0.03,21.4286
2014-12-31,2015-02-18,0.23,0.2,0.03,15
2014-09-30,2014-10-29,1.91,1.8,0.11,6.1111
2014-06-30,2014-08-04,0.68,0.61,0.07,11.4754
2014-03-31,2014-05-07,0.16,0.08,0.08,100
2013-12-31,2014-02-19,0.15,0.12,0.03,25
2013-09-30,2013-10-30,1.48,1.52,-0.04,-2.6316
2013-06-30,2013-08-06,0.5,0.5,0,0
2013-03-31,2013-05-01,0.08,0.02,0.06,300
2012-12-31,2013-02-13,-0.07,-0.07,0,0
2012-09-30,2012-11-01,1.46,1.51,-0.05,-3.3113
2012-06-30,2012-08-01,0.94,0.7,0.24,34.2857
2012-03-31,2012-05-07,0.12,-0.01,0.13,1300
2011-12-31,2012-02-15,-0.14,0.06,-0.2,-333.3333
2011-09-30,2011-11-02,1.02,0.99,0.03,3.0303
2011-06-30,2011-08-03,0.63,0.33,0.3,90.9091
2011-03-31,2011-05-03,0.11,-0.05,0.16,320
2010-12-31,2011-02-16,-0.06,-0.06,0,0
