fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-13,0.64,None,None,None
2022-06-30,2022-08-05,0.62,None,None,None
2022-03-31,2022-05-06,0.6,None,None,None
2021-12-31,2022-02-28,0.55,None,None,None
2021-09-30,2021-11-05,0.48,None,None,None
2021-06-30,2021-08-05,0.48,None,None,None
2021-03-31,2021-05-06,0.49,None,None,None
2020-12-31,2021-01-28,0.44,None,None,None
2020-09-30,2020-10-22,0.4,None,None,None
2020-06-30,2020-07-23,0.37,None,None,None
2020-03-31,2020-04-23,0.52,None,None,None
2019-12-31,2020-01-31,0.43,None,None,None
2019-09-30,2019-10-24,0.56,None,None,None
2019-06-30,2019-07-25,0.52,None,None,None
2019-03-31,2019-04-25,0.55,None,None,None
2018-12-31,2019-01-31,0.48,None,None,None
2018-09-30,2018-10-25,0.61,None,None,None
2018-06-30,2018-07-26,0.6,None,None,None
2018-03-31,2018-04-26,0.65,None,None,None
2017-12-31,2018-02-01,0.57,None,None,None
2017-09-30,2017-10-26,0.55,None,None,None
2017-06-30,2017-07-27,0.52,None,None,None
2017-03-31,2017-04-27,0.51,None,None,None
2016-12-31,2017-02-02,0.425,None,None,None
2016-09-30,2016-10-20,0.4369,None,None,None
2016-06-30,2016-07-21,0.4167,None,None,None
2016-03-31,2016-04-18,0.3939,None,None,None
2015-12-31,2016-02-04,0.3864,None,None,None
2015-09-30,2015-12-31,0.3999,None,None,None
2015-06-30,2015-07-23,0.3864,None,None,None
2015-03-31,2015-06-30,0.3636,None,None,None
2014-12-31,2015-03-31,0.3636,None,None,None
2014-09-30,2014-12-31,0.3649,None,None,None
2014-06-30,2014-08-04,0.4167,None,None,None
2014-03-31,2014-06-30,0.3939,None,None,None
2013-12-31,2014-03-31,0.3788,None,None,None
2013-09-30,2013-12-31,0.3409,None,None,None
2013-06-30,2013-09-30,0.4015,None,None,None
2013-03-31,2013-06-30,0.3939,None,None,None
2012-12-31,2013-03-31,0.3939,None,None,None
2012-09-30,2012-12-31,0.3476,None,None,None
2012-06-30,2012-09-30,0.4015,None,None,None
2012-03-31,2012-06-30,0.3939,None,None,None
2011-12-31,2012-03-31,0.3864,None,None,None
2011-09-30,2011-12-31,0.365,None,None,None
2011-06-30,2011-09-30,0.3994,None,None,None
2011-03-31,2011-06-30,0.3788,None,None,None
2010-12-31,2011-03-31,0.3788,None,None,None
2010-09-30,2010-10-21,0.37,0.32,0.05,15.625
