fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-11-30,2022-12-02,0.99,1.22,-0.23,-18.8525
2022-08-31,2022-09-27,1.57,1.38,0.19,13.7681
2022-05-31,2022-06-07,1.29,1.31,-0.02,-1.5267
2022-02-28,2022-05-23,1.71,1.37,0.34,24.8175
2021-11-30,2022-02-22,1.71,1.61,0.1,6.2112
2021-08-31,2021-09-21,2.25,2.33,-0.08,-3.4335
2021-05-31,2021-05-31,1.51,0.26,1.25,480.7692
2021-02-28,2021-05-25,1.51,0.27,1.24,459.2593
2020-11-30,2020-12-03,0.69,0.36,0.33,91.6667
2020-08-31,2020-09-15,-0.85,-1.05,0.2,19.0476
2020-05-31,2020-06-02,-1.81,-2.2,0.39,17.7273
2020-02-29,2020-02-29,2.55,2.58,-0.03,-1.1628
2019-11-30,2020-02-25,2.55,2.58,-0.03,-1.1628
2019-08-31,2019-09-17,2.7,2.48,0.22,8.871
2019-05-31,2019-06-04,2.09,2.08,0.01,0.4808
2018-11-30,2019-02-26,2.52,2.5,0.02,0.8
2018-08-31,2018-09-18,2.55,2.69,-0.14,-5.2045
2018-02-28,2018-05-22,2.03,1.95,0.08,4.1026
2017-11-30,2018-02-20,2.73,2.31,0.42,18.1818
2017-08-31,2017-09-13,2.23,2.17,0.06,2.765
2017-02-28,2017-05-23,1.95,1.85,0.1,5.4054
2016-11-30,2017-02-21,2.19,2.14,0.05,2.3364
2016-08-31,2016-09-14,2.12,2.13,-0.01,-0.4695
2016-05-31,2016-06-01,1.82,1.8,0.02,1.1111
2016-02-29,2016-05-31,1.82,1.8,0.02,1.1111
2015-11-30,2016-02-23,1.91,1.91,0,0
2015-08-31,2015-09-16,1.97,1.86,0.11,5.914
2015-05-31,2015-06-02,1.49,1.37,0.12,8.7591
2014-11-30,2015-02-24,1.93,1.62,0.31,19.1358
2014-08-31,2014-09-17,1.63,1.56,0.07,4.4872
2014-02-28,2014-05-28,1.23,1.22,0.01,0.8197
2013-11-30,2014-02-25,1.56,1.56,0,0
2013-08-31,2013-09-18,1.43,1.35,0.08,5.9259
2013-05-31,2013-06-03,1.02,0.94,0.08,8.5106
2012-11-30,2013-02-26,1.43,1.25,0.18,14.4
2012-08-31,2012-09-19,1.47,1.3,0.17,13.0769
2012-02-29,2012-05-22,0.86,0.75,0.11,14.6667
2011-11-30,2012-02-21,1.2,1.14,0.06,5.2632
2011-08-31,2011-09-13,1,0.91,0.09,9.8901
2011-02-28,2011-05-24,0.64,0.66,-0.02,-3.0303
2010-11-30,2011-02-22,1.2,1.21,-0.01,-0.8264
2010-08-31,2010-09-14,1.14,1.12,0.02,1.7857
2010-02-28,2010-05-25,0.61,0.58,0.03,5.1724
2009-11-30,2010-02-23,1.09,0.9,0.19,21.1111
2009-08-31,2009-09-15,0.99,0.95,0.04,4.2105
2009-02-28,2009-05-27,0.52,0.44,0.08,18.1818
2008-11-30,2009-02-24,0.81,0.76,0.05,6.5789
2008-08-31,2008-09-16,0.91,0.92,-0.01,-1.087
2008-02-29,2008-05-28,0.46,0.48,-0.02,-4.1667
2007-11-30,2008-02-26,0.85,0.69,0.16,23.1884
2007-08-31,2007-09-18,1.15,1.02,0.13,12.7451
2007-02-28,2007-05-22,0.44,0.45,-0.01,-2.2222
2006-11-30,2007-02-20,0.6,0.69,-0.09,-13.0435
2006-08-31,2006-09-19,1.03,0.78,0.25,32.0513
2006-02-28,2006-05-23,0.56,0.5,0.06,12
2005-11-30,2006-02-21,0.66,0.59,0.07,11.8644
2005-08-31,2005-09-08,0.74,0.74,0,0
2005-02-28,2005-05-19,0.52,0.55,-0.03,-5.4545
2004-11-30,2005-02-17,0.63,0.61,0.02,3.2787
2004-08-31,2004-09-09,0.6,0.66,-0.06,-9.0909
2004-02-29,2004-05-20,0.52,0.53,-0.01,-1.8868
2003-11-30,2004-02-19,0.57,0.56,0.01,1.7857
2003-08-31,2003-09-11,0.7,0.7,0,0
2003-02-28,2003-05-22,0.46,0.45,0.01,2.2222
2002-11-30,2003-02-20,0.48,0.48,0,0
2002-08-31,2002-09-12,0.56,0.54,0.02,3.7037
2002-02-28,2002-05-23,0.36,0.34,0.02,5.8824
2001-11-30,2002-02-21,0.37,0.35,0.02,5.7143
2001-08-31,2001-09-28,0.5,0.48,0.02,4.1667
2001-02-28,2001-05-17,0.26,0.27,-0.01,-3.7037
2000-11-30,2001-02-15,0.26,0.26,0,0
2000-08-31,2000-09-07,0.42,0.41,0.01,2.439
2000-05-31,2000-07-31,0.4181,None,None,None
2000-02-29,2000-05-18,0.25,0.25,0,0
1999-11-30,2000-02-16,0.2,0.2,0,0
1999-08-31,1999-09-08,0.21,0.22,-0.01,-4.5455
1999-05-31,1999-07-31,0.2094,None,None,None
1999-02-28,1999-05-19,0.25,0.25,0,0
1998-11-30,1999-02-17,0.28,0.29,-0.01,-3.4483
1998-08-31,1998-11-18,0.42,0.42,0,0
1998-02-28,1998-05-20,0.4,0.4,0,0
1997-11-30,1998-02-18,0.32,0.31,0.01,3.2258
1997-08-31,1997-11-19,0.38,0.38,0,0
1997-02-28,1997-05-21,0.33,0.33,0,0
1996-11-30,1997-02-19,0.26,0.25,0.01,4
1996-08-31,1996-11-20,0.31,0.31,0,0
1996-02-29,1996-05-15,0.27,0.28,-0.01,-3.5714
