fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-25,0.67,0.66,0.01,1.5152
2022-06-30,2022-07-26,0.51,0.53,-0.02,-3.7736
2022-03-31,2022-04-25,0.5,0.4,0.1,25
2021-12-31,2022-01-25,0.4,0.46,-0.06,-13.0435
2021-09-30,2021-10-26,0.57,0.5,0.07,14
2021-06-30,2021-07-27,0.54,0.55,-0.01,-1.8182
2021-03-31,2021-04-27,0.56,0.45,0.11,24.4444
2020-12-31,2021-01-26,0.46,0.5,-0.04,-8
2020-09-30,2020-10-27,0.62,0.42,0.2,47.619
2020-06-30,2020-07-21,0.55,0.3,0.25,83.3333
2020-03-31,2020-04-23,0.25,0.4,-0.15,-37.5
2019-12-31,2020-01-30,0.51,0.46,0.05,10.8696
2019-09-30,2019-10-29,0.5,0.45,0.05,11.1111
2019-06-30,2019-07-23,0.44,0.42,0.02,4.7619
2019-03-31,2019-04-22,0.38,0.37,0.01,2.7027
2018-12-31,2019-01-29,0.41,0.37,0.04,10.8108
2018-09-30,2018-10-23,0.33,0.33,0,0
2018-06-30,2018-07-24,0.27,0.3,-0.03,-10
2018-03-31,2018-04-23,0.25,0.3,-0.05,-16.6667
2017-12-31,2018-01-23,0.24,0.24,0,0
2017-09-30,2017-10-24,0.27,0.23,0.04,17.3913
2017-06-30,2017-07-25,0.21,0.2,0.01,5
2017-03-31,2017-04-24,0.16,0.18,-0.02,-11.1111
2016-12-31,2017-01-24,0.2,0.17,0.03,17.6471
2016-09-30,2016-10-25,0.17,0.15,0.02,13.3333
2016-06-30,2016-07-26,0.22,0.16,0.06,37.5
2016-03-31,2016-04-25,0.1,0.13,-0.03,-23.0769
2015-12-31,2016-01-26,0.16,0.13,0.03,23.0769
2015-09-30,2015-10-20,0.09,0.14,-0.05,-35.7143
2015-06-30,2015-07-21,0.22,0.11,0.11,100
2015-03-31,2015-04-27,0.06,0.12,-0.06,-50
2014-12-31,2015-01-27,0.11,0.12,-0.01,-8.3333
2014-09-30,2014-10-28,0.12,0.12,0,0
2014-06-30,2014-07-22,0.08,0.1,-0.02,-20
2014-03-31,2014-04-28,0.22,0.09,0.13,144.4444
2013-12-31,2014-01-28,0.16,0.08,0.08,100
2013-09-30,2013-10-29,0.09,0.06,0.03,50
2013-06-30,2013-07-23,0.05,0.06,-0.01,-16.6667
2013-03-31,2013-04-22,0.05,0.05,0,0
2012-12-31,2013-01-29,0.11,0.01,0.1,1000
2012-09-30,2012-10-23,0.07,-0.04,0.11,275
2012-06-30,2012-07-24,-0.1,-0.02,-0.08,-400
2012-03-31,2012-05-01,-0.07,None,None,None
2011-12-31,2012-01-27,-0.03,0.08,-0.11,-137.5
2011-09-30,2011-10-25,0.12,0.07,0.05,71.4286
2011-06-30,2011-07-26,0.12,0.02,0.1,500
2011-03-31,2011-04-25,0.08,0.02,0.06,300
2010-12-31,2011-01-25,0.07,-0.01,0.08,800
2010-09-30,2010-10-26,0.02,-0.04,0.06,150
2010-06-30,2010-07-20,0.04,-0.17,0.21,123.5294
2010-03-31,2010-04-19,-0.2,-0.15,-0.05,-33.3333
2009-12-31,2010-01-26,-0.2,-0.08,-0.12,-150
2009-09-30,2009-10-20,-0.08,0.02,-0.1,-500
2009-06-30,2009-07-21,0.04,-0.04,0.08,200
2009-03-31,2009-04-20,0.04,-0.03,0.07,233.3333
2008-12-31,2009-01-26,-0.1,0.2,-0.3,-150
2008-09-30,2008-10-21,0.29,0.32,-0.03,-9.375
2008-06-30,2008-07-22,0.28,0.32,-0.04,-12.5
2008-03-31,2008-04-22,0.42,0.38,0.04,10.5263
2007-12-31,2008-01-22,0.44,0.41,0.03,7.3171
2007-09-30,2007-10-23,0.41,0.45,-0.04,-8.8889
2007-06-30,2007-07-24,0.43,0.43,0,0
2007-03-31,2007-04-23,0.38,0.44,-0.06,-13.6364
2006-12-31,2007-01-23,0.48,0.46,0.02,4.3478
2006-09-30,2006-10-26,0.47,0.46,0.01,2.1739
2006-06-30,2006-07-27,0.44,0.44,0,0
2006-03-31,2006-04-25,0.4,0.43,-0.03,-6.9767
2005-12-31,2006-01-26,0.4,0.46,-0.06,-13.0435
2005-09-30,2005-10-27,0.46,0.44,0.02,4.5455
2005-06-30,2005-07-26,0.44,0.39,0.05,12.8205
2005-03-31,2005-04-26,0.36,0.41,-0.05,-12.1951
2004-12-31,2005-01-27,0.41,0.42,-0.01,-2.381
2004-09-30,2004-10-28,0.4,0.41,-0.01,-2.439
2004-06-30,2004-07-22,0.38,0.38,0,0
2004-03-31,2004-04-27,0.3,0.36,-0.06,-16.6667
2003-12-31,2004-01-29,0.37,0.38,-0.01,-2.6316
2003-09-30,2003-10-23,0.38,0.39,-0.01,-2.5641
2003-06-30,2003-07-24,0.39,0.38,0.01,2.6316
2003-03-31,2003-04-22,0.38,0.37,0.01,2.7027
2002-12-31,2003-01-27,0.4,0.35,0.05,14.2857
2002-09-30,2002-10-24,0.35,0.33,0.02,6.0606
2002-06-30,2002-07-25,0.33,0.31,0.02,6.4516
2002-03-31,2002-04-23,0.31,0.29,0.02,6.8966
2001-12-31,2002-01-24,0.29,0.26,0.03,11.5385
2001-09-30,2001-10-25,0.22,0.28,-0.06,-21.4286
2001-06-30,2001-07-31,0.26,0.28,-0.02,-7.1429
2001-03-31,2001-04-24,0.27,0.28,-0.01,-3.5714
2000-12-31,2001-01-25,0.29,0.29,0,0
2000-09-30,2000-10-26,0.29,0.29,0,0
2000-06-30,2000-07-27,0.26,0.27,-0.01,-3.7037
2000-03-31,2000-04-25,0.29,0.27,0.02,7.4074
1999-12-31,2000-01-27,0.27,0.27,0,0
1999-09-30,1999-10-19,0.28,0.26,0.02,7.6923
1999-06-30,1999-07-29,0.23,0.24,-0.01,-4.1667
1999-03-31,1999-04-27,0.23,0.24,-0.01,-4.1667
1998-12-31,1998-12-31,0.2433,None,None,None
1998-09-30,1998-09-30,0.2364,None,None,None
1998-06-30,1998-06-30,0.2498,None,None,None
1998-03-31,1998-03-31,0.2252,None,None,None
