fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,4.44,4.2,0.24,5.7143
2022-06-30,2022-07-27,4.78,4.46,0.32,7.1749
2022-03-31,2022-04-27,4.2,3.7,0.5,13.5135
2021-12-31,2022-02-02,4.78,4.07,0.71,17.4447
2021-09-30,2021-10-27,3.31,3.06,0.25,8.1699
2021-06-30,2021-07-28,3.47,2.84,0.63,22.1831
2021-03-31,2021-04-28,3,1.6,1.4,87.5
2020-12-31,2021-02-04,2.75,1.83,0.92,50.2732
2020-09-30,2020-10-28,1.48,0.93,0.55,59.1398
2020-06-30,2020-07-28,1.15,0.69,0.46,66.6667
2020-03-31,2020-04-29,0.78,0.64,0.14,21.875
2019-12-31,2020-02-06,1.5,1.27,0.23,18.1102
2019-09-30,2019-10-29,0.87,0.87,0,0
2019-06-30,2019-07-30,0.77,0.73,0.04,5.4795
2019-03-31,2019-05-02,0.6,0.45,0.15,33.3333
2018-12-31,2019-02-07,0.85,0.9,-0.05,-5.5556
2018-09-30,2018-11-06,0.56,0.68,-0.12,-17.6471
2018-06-30,2018-08-02,1.1,0.88,0.22,25
2018-03-31,2018-05-08,0.67,0.52,0.15,28.8462
2017-12-31,2018-02-13,0.6,0.6,0,0
2017-09-30,2017-11-02,0.37,0.41,-0.04,-9.7561
2017-06-30,2017-08-03,0.66,0.67,-0.01,-1.4925
2017-03-31,2017-05-04,0.4,0.33,0.07,21.2121
2016-12-31,2017-02-14,0.71,0.69,0.02,2.8986
2016-09-30,2016-11-01,0.63,0.62,0.01,1.6129
2016-06-30,2016-08-02,0.62,0.54,0.08,14.8148
2016-03-31,2016-05-05,0.38,0.35,0.03,8.5714
2015-12-31,2016-02-18,0.62,0.62,0,0
2015-09-30,2015-11-09,0.5,0.51,-0.01,-1.9608
2015-06-30,2015-08-06,0.46,0.39,0.07,17.9487
2015-03-31,2015-05-07,0.3,0.24,0.06,25
2014-12-31,2015-02-19,0.34,0.19,0.15,78.9474
2014-09-30,2014-11-13,0.19,0.39,-0.2,-51.2821
2014-06-30,2014-08-07,0.3,0.17,0.13,76.4706
