fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-01,4.25,2.96,1.29,43.5811
2022-06-30,2022-08-04,3.54,2.27,1.27,55.9471
2022-03-31,2022-05-03,-0.13,1.85,-1.98,-107.027
2021-12-31,2022-02-08,3.3,1.12,2.18,194.6429
2021-09-30,2021-11-02,-3.3,0.6,-3.9,-650
2021-06-30,2021-08-03,0.12,0.3,-0.18,-60
2021-03-31,2021-05-04,0.75,0.14,0.61,435.7143
2020-12-31,2021-02-09,0.49,0.93,-0.44,-47.3118
2020-09-30,2020-11-05,-0.28,-0.74,0.46,62.1622
2020-06-30,2020-08-10,-0.69,-0.82,0.13,15.8537
2020-03-31,2020-05-11,0.09,0.56,-0.47,-83.9286
2019-12-31,2020-02-11,0.54,0.6,-0.06,-10
2019-09-30,2019-11-05,0.16,0.57,-0.41,-71.9298
2019-06-30,2019-08-06,1.56,1.15,0.41,35.6522
2019-03-31,2019-05-08,1.21,1.01,0.2,19.802
2018-12-31,2019-02-07,1.41,0.85,0.56,65.8824
2018-09-30,2018-11-01,0.2,0.53,-0.33,-62.2642
2018-06-30,2018-08-02,1.58,1.43,0.15,10.4895
2018-03-31,2018-05-03,2.2,0.83,1.37,165.0602
2017-12-31,2018-02-06,1.05,0.92,0.13,14.1304
2017-09-30,2017-10-31,0.275,0,0.275,None
2017-06-30,2017-08-01,1.2,0,1.2,None
