fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-21,-0.04,0.01,-0.05,-500
2022-06-30,2022-08-03,1.39,1.27,0.12,9.4488
2022-03-31,2022-05-04,1.27,1.2,0.07,5.8333
2021-12-31,2022-02-02,0.16,0.01,0.15,1500
2021-09-30,2021-11-22,-0.06,-0.24,0.18,75
2021-06-30,2021-08-04,1.37,1.02,0.35,34.3137
2021-03-31,2021-05-05,1.32,0.93,0.39,41.9355
2020-12-31,2021-02-03,0.29,-0.01,0.3,3000
2020-09-30,2020-11-23,0.25,-0.06,0.31,516.6667
2020-06-30,2020-08-05,1.32,0.8,0.52,65
2020-03-31,2020-05-06,0.78,0.75,0.03,4
2019-12-31,2020-02-05,-0.08,-0.12,0.04,33.3333
2019-09-30,2019-11-26,0.04,0.17,-0.13,-76.4706
2019-06-30,2019-08-01,0.8,0.86,-0.06,-6.9767
2019-03-31,2019-05-06,0.72,0.7,0.02,2.8571
2018-12-31,2019-02-06,0.03,0.09,-0.06,-66.6667
2018-09-30,2018-11-27,0.1,0.09,0.01,11.1111
2018-06-30,2018-08-01,0.79,0.79,0,0
2018-03-31,2018-05-07,0.86,0.82,0.04,4.878
2017-12-31,2018-02-07,0.19,0.15,0.04,26.6667
2017-09-30,2017-11-28,0.08,0.1,-0.02,-20
2017-06-30,2017-08-02,0.62,0.51,0.11,21.5686
2017-03-31,2017-05-03,0.67,0.64,0.03,4.6875
2016-12-31,2017-02-02,0.12,0.03,0.09,300
2016-09-30,2016-12-01,0.13,0.05,0.08,160
2016-06-30,2016-08-02,0.48,0.43,0.05,11.6279
2016-03-31,2016-05-04,0.65,0.59,0.06,10.1695
2015-12-31,2016-02-02,0.01,-0.11,0.12,109.0909
2015-09-30,2015-12-07,0.01,-0.09,0.1,111.1111
2015-06-30,2015-08-04,0.38,0.28,0.1,35.7143
2015-03-31,2015-05-05,0.47,0.43,0.04,9.3023
2014-12-31,2015-02-03,-0.12,-0.21,0.09,42.8571
2014-09-30,2014-12-10,-0.12,-0.24,0.12,50
2014-06-30,2014-08-07,0.28,0.33,-0.05,-15.1515
2014-03-31,2014-05-06,0.43,0.47,-0.04,-8.5106
2013-12-31,2014-02-04,-0.26,-0.31,0.05,16.129
2013-09-30,2013-12-10,-0.31,-0.18,-0.13,-72.2222
2013-06-30,2013-08-07,0.28,0.43,-0.15,-34.8837
2013-03-31,2013-05-08,0.46,0.55,-0.09,-16.3636
2012-12-31,2013-02-07,-0.32,-0.28,-0.04,-14.2857
2012-09-30,2012-12-11,-0.21,-0.2,-0.01,-5
2012-06-30,2012-08-01,0.47,0.47,0,0
2012-03-31,2012-05-02,0.45,0.54,-0.09,-16.6667
2011-12-31,2012-02-01,-0.27,-0.26,-0.01,-3.8462
2011-09-30,2011-11-17,-0.21,-0.06,-0.15,-250
2011-06-30,2011-08-03,0.31,0.47,-0.16,-34.0426
2011-03-31,2011-05-04,0.54,0.49,0.05,10.2041
2010-12-31,2011-02-02,-0.16,-0.09,-0.07,-77.7778
2010-09-30,2010-11-18,-0.02,0.14,-0.16,-114.2857
2010-06-30,2010-08-04,0.4,0.44,-0.04,-9.0909
2010-03-31,2010-05-05,0.49,0.47,0.02,4.2553
2009-12-31,2010-02-03,-0.04,-0.05,0.01,20
2009-09-30,2009-11-19,0.12,0.12,0,0
2009-06-30,2009-08-05,0.44,0.29,0.15,51.7241
2009-03-31,2009-05-06,0.47,0.31,0.16,51.6129
2008-12-31,2009-02-04,-0.09,-0.13,0.04,30.7692
2008-09-30,2008-11-25,0.06,0.02,0.04,200
2008-06-30,2008-08-06,0.22,0.24,-0.02,-8.3333
2008-03-31,2008-05-07,0.28,0.25,0.03,12
2007-12-31,2008-02-07,-0.11,-0.12,0.01,8.3333
2007-09-30,2007-11-27,-0.02,0.03,-0.05,-166.6667
2007-06-30,2007-08-08,0.22,0.3,-0.08,-26.6667
2007-03-31,2007-05-07,0.3,0.28,0.02,7.1429
2006-12-31,2007-02-07,-0.04,-0.13,0.09,69.2308
2006-09-30,2006-12-07,0.49,0.49,0,0
2006-06-30,2006-08-02,1.05,1.04,0.01,0.9615
2006-03-31,2006-05-03,1.17,1.16,0.01,0.8621
2005-12-31,2006-02-01,0.12,0.11,0.01,9.0909
2005-09-30,2005-12-07,0.31,0.3,0.01,3.3333
2005-06-30,2005-08-03,1.03,1.02,0.01,0.9804
2005-03-31,2005-05-04,1.04,1.02,0.02,1.9608
2004-12-31,2005-02-02,0.12,0.11,0.01,9.0909
2004-09-30,2004-11-18,0.25,0.25,0,0
2004-06-30,2004-08-05,0.86,0.85,0.01,1.1765
2004-03-31,2004-05-06,0.91,0.82,0.09,10.9756
2003-12-31,2004-02-05,-0.03,-0.04,0.01,25
2003-09-30,2003-11-20,0.23,0.21,0.02,9.5238
2003-06-30,2003-08-05,0.86,0.86,0,0
2003-03-31,2003-05-01,0.68,0.67,0.01,1.4925
2002-12-31,2003-01-22,-0.04,-0.11,0.07,63.6364
2002-09-30,2002-09-30,-5.8245,None,None,None
2002-06-30,2002-06-30,0.8384,None,None,None
2002-03-31,2002-03-31,0.5261,None,None,None
2001-12-31,2001-12-31,-0.0818,None,None,None
2001-09-30,2001-09-30,-0.8218,None,None,None
2001-06-30,2001-08-08,0.38,0.5,-0.12,-24
2001-03-31,2001-05-11,0.15,0.13,0.02,15.3846
2000-12-31,2000-12-31,-0.2428,None,None,None
2000-09-30,2000-12-19,-0.21,0.15,-0.36,-240
2000-06-30,2000-08-03,0.61,0.58,0.03,5.1724
2000-03-31,2000-05-04,0.58,0.55,0.03,5.4545
1999-12-31,2000-02-03,-0.33,-0.35,0.02,5.7143
1999-09-30,1999-12-16,0.12,0.1,0.02,20
1999-06-30,1999-08-05,0.47,0.47,0,0
1999-03-31,1999-05-06,0.55,0.5,0.05,10
1998-12-31,1999-02-04,-0.01,-0.02,0.01,50
1998-09-30,1998-12-17,0.22,0.28,-0.06,-21.4286
1998-06-30,1998-08-06,0.56,0.55,0.01,1.8182
1998-03-31,1998-05-07,0.39,0.38,0.01,2.6316
1997-12-31,1998-02-05,-0.02,-0.03,0.01,33.3333
1997-09-30,1997-11-10,0.13,0.11,0.02,18.1818
1997-06-30,1997-08-07,0.65,0.63,0.02,3.1746
1997-03-31,1997-05-08,0.31,0.31,0,0
1996-12-31,1997-02-06,-0.12,-0.13,0.01,7.6923
1996-09-30,1996-12-10,0.1,0.05,0.05,100
1996-06-30,1996-08-08,0.55,0.52,0.03,5.7692
1996-03-31,1996-05-02,0.24,0.21,0.03,14.2857
