fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-17,0.35,0.34,0.01,2.9412
2022-06-30,2022-07-18,0.33,0.32,0.01,3.125
2022-03-31,2022-04-18,0.33,0.3,0.03,10
2021-12-31,2022-01-24,0.4,0.33,0.07,21.2121
2021-09-30,2021-10-18,0.5,0.31,0.19,61.2903
2021-06-30,2021-07-22,0.27,0.26,0.01,3.8462
2021-03-31,2021-04-22,0.23,0.19,0.04,21.0526
2020-12-31,2021-01-28,0.15,0.16,-0.01,-6.25
2020-09-30,2020-10-20,0.15,0.14,0.01,7.1429
2020-06-30,2020-07-23,-0.14,0.06,-0.2,-333.3333
2020-03-31,2020-04-23,0.07,0.17,-0.1,-58.8235
2019-12-31,2020-01-23,0.22,0.21,0.01,4.7619
2019-09-30,2019-10-21,0.21,0.19,0.02,10.5263
2019-06-30,2019-08-14,0.2,0.21,-0.01,-4.7619
2019-03-31,2019-05-29,0.17,0,0.17,None
